feature_type,feature_name,verified_definition,same_concept_aliases_json,definition_source
CANONICAL_NOTE,Fenugreek,,"[""Fenugreek""]",
CANONICAL_NOTE,Floral,IFRA states that floral notes belong to the large floral family and can represent single or multi-faceted flower character.,"[""Floral Notes""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Frangipani,,"[""Frangipani""]",
CANONICAL_NOTE,Fruity,"IFRA's Fruity entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: Fruity notes belong to the non-citrus fruit family. This is a very large family that includes many fruit notes such as banana, apple and mango. Some fruit fragrance materials have smells that are not one fruit but multi-faceted, with a complex fruity character.","[""Fruity Notes""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Galbanum,,"[""Galbanum""]",
CANONICAL_NOTE,Gardenia,,"[""Gardenia""]",
CANONICAL_NOTE,Garlic,,"[""Garlic""]",
CANONICAL_NOTE,Geranium,,"[""Geranium""]",
CANONICAL_NOTE,Ginger,,"[""Ginger""]",
CANONICAL_NOTE,Grapefruit,,"[""Grapefruit""]",
CANONICAL_NOTE,Green,IFRA calls Green a broad descriptor and uses the expression green notes within the definition.,"[""Green Notes""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Guaiacol,,"[""Guaiacol""]",
CANONICAL_NOTE,Gurjun Balsam,,"[""Gurjun Balsam""]",
CANONICAL_NOTE,Hawthorn,,"[""Hawthorn""]",
CANONICAL_NOTE,Hay,,"[""Hay""]",
CANONICAL_NOTE,Heliotrope,,"[""Heliotrope""]",
CANONICAL_NOTE,Herbal,"IFRA's Herbal entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: Herbal notes include culinary herbs (e.g. thyme, rosemary) that often have a green note and impart fresh nuances to a complex fragrance.","[""Herbal Notes""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Hexyl acetate,,"[""Hexyl acetate""]",
CANONICAL_NOTE,Ho Wood,,"[""Ho Wood""]",
CANONICAL_NOTE,Honey,"Honey is used to describe materials that have honey characteristics – often sweet and cloying, but sometimes quite harsh and acidic.","[""Honey""]",IFRA primary descriptor definition
CANONICAL_NOTE,Honeysuckle,,"[""Honeysuckle""]",
CANONICAL_NOTE,Hyacinth,,"[""Hyacinth""]",
CANONICAL_NOTE,Incense,,"[""Incense""]",
CANONICAL_NOTE,Indole,,"[""Indole""]",
CANONICAL_NOTE,Iris,,"[""Iris""]",
CANONICAL_NOTE,Juniper,,"[""Juniper""]",
CANONICAL_NOTE,Kiwi,,"[""Kiwi""]",
CANONICAL_NOTE,Labdanum,,"[""Labdanum""]",
CANONICAL_NOTE,Lavender,,"[""Lavender""]",
CANONICAL_NOTE,Lavender Extract,,"[""Lavender Extract""]",
CANONICAL_NOTE,Leather,"IFF lists Leather as the exact name of an olfactive collection, separate from individual ingredients.","[""Leather""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Lemon,,"[""Lemon""]",
CANONICAL_NOTE,Lemongrass,,"[""Lemongrass""]",
CANONICAL_NOTE,Licorice,,"[""Licorice""]",
CANONICAL_NOTE,Lily,,"[""Lily""]",
CANONICAL_NOTE,Lime,,"[""Lime""]",
CANONICAL_NOTE,Magnolia,,"[""Magnolia""]",
CANONICAL_NOTE,Maltol,,"[""Maltol""]",
CANONICAL_NOTE,Mandarin,,"[""Mandarin""]",
CANONICAL_NOTE,Mango,,"[""Mango""]",
CANONICAL_NOTE,Maple,,"[""Maple""]",
CANONICAL_NOTE,Marigold,,"[""Marigold""]",
CANONICAL_NOTE,Marine,"IFRA's Marine entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: Marine covers smells that you expect to fine at the seashore – they tend to be fresh and sometimes ozonic, and often sea water-like.","[""Marine notes""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Melon,,"[""Melon""]",
CANONICAL_NOTE,Menthol,,"[""Menthol""]",
CANONICAL_NOTE,Mimosa,,"[""Mimosa""]",
CANONICAL_NOTE,Mimosa absolute,,"[""Mimosa absolute""]",
CANONICAL_NOTE,Muguet,dsm-firmenich explicitly describes muguet as lily-of-the-valley and presents a molecule collection for constructing the note.,"[""Lily of the Valley"", ""Lily-of-the-Valley""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Mushroom,,"[""Mushroom""]",
CANONICAL_NOTE,Musk-Like,"IFRA's Musk-Like entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: These materials belong to an important fragrance note – while they are not obtained from animals, they are created to have an animal-like quality, often powdery and sometimes warm and sweet.","[""Musk""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Myrrh,,"[""Myrrh""]",
CANONICAL_NOTE,Myrrh Oil,,"[""Myrrh Oil""]",
CANONICAL_NOTE,Narcissus,,"[""Narcissus"", ""Narciussus""]",
CANONICAL_NOTE,Nasturtium,,"[""Nasturtium""]",
CANONICAL_NOTE,Neroli,,[],
CANONICAL_NOTE,Nutmeg,,"[""Nutmeg""]",
CANONICAL_NOTE,Oak,,"[""Oak""]",
CANONICAL_NOTE,Orange,,"[""Orange""]",
CANONICAL_NOTE,Orris,,"[""Orris""]",
CANONICAL_NOTE,Osmanthus,,"[""Osmanthus""]",
CANONICAL_NOTE,Ozonic,"IFRA's Ozonic entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: Ozonic notes are fresh-smelling materials that don’t have a more specific note but may remind you of a fresh windy day. Sometimes they have a weak, almost chlorine-like smell.","[""Ozonic notes""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Parsley,,"[""Parsley""]",
CANONICAL_NOTE,Passion Fruit,,"[""Passion Fruit"", ""Passionfruit""]",
CANONICAL_NOTE,Patchouli,,"[""Patchouli""]",
CANONICAL_NOTE,Pea,,"[""Pea""]",
CANONICAL_NOTE,Peach,,"[""Peach""]",
CANONICAL_NOTE,Peanut,,"[""Peanut""]",
CANONICAL_NOTE,Pear,,"[""Pear""]",
CANONICAL_NOTE,Peony,,"[""Peony""]",
CANONICAL_NOTE,Peppermint,,[],
CANONICAL_NOTE,Petitgrain,,"[""Petitgrain""]",
CANONICAL_NOTE,Pine,,"[""Pine""]",
CANONICAL_NOTE,Pineapple,,"[""Pineapple""]",
CANONICAL_NOTE,Plastic,,"[""Plastic""]",
CANONICAL_NOTE,Plum,,"[""Plum"", ""plum""]",
CANONICAL_NOTE,Popcorn,,"[""Popcorn""]",
CANONICAL_NOTE,Potato,,"[""Potato""]",
CANONICAL_NOTE,Powdery,"IFRA's Powdery entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: Powdery fragrance ingredients are from a larger complex group that impart a warm, sometimes sweet or musky powdery smell.","[""Powdery Notes""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Privet,,"[""Privet""]",
CANONICAL_NOTE,Raspberry,,"[""Raspberry""]",
CANONICAL_NOTE,Rhodinol,,"[""Rhodinol""]",
CANONICAL_NOTE,Rhubarb,,"[""Rhubarb""]",
CANONICAL_NOTE,Rice,,"[""Rice""]",
CANONICAL_NOTE,Rose,,"[""Rose""]",
CANONICAL_NOTE,Rose Oil,,"[""Rose Oil""]",
CANONICAL_NOTE,Rosemary,,"[""Rosemary""]",
CANONICAL_NOTE,Rum,,"[""Rum""]",
CANONICAL_NOTE,Saffron,,"[""Saffron""]",
CANONICAL_NOTE,Sage,,"[""Sage""]",
CANONICAL_NOTE,Sandalwood,,"[""Sandalowood"", ""Sandalwood""]",
CANONICAL_NOTE,Seaweed,,"[""Seaweed""]",
CANONICAL_NOTE,Sesame,,"[""Sesame""]",
CANONICAL_NOTE,Skatole,,"[""Skatole""]",
CANONICAL_NOTE,Smoky,"IFRA's Smoky entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: These ingredients have a smoked or phenolic quality, reminding you of the smell from a bonfire or the smell of food burning.","[""Smoke""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Spearmint,,"[""Spearmint""]",
CANONICAL_NOTE,Spicy,"IFRA's Spicy entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: These ingredients belong to a broad spicy family, characterized by many spicy notes from cinnamon to other culinary spices such as pepper, nutmeg and clove. They sometimes have a sweet note and impart warm nuances to a complex fragrance.","[""Spices"", ""Spicy Notes""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Strawberry,,"[""Strawberry""]",
CANONICAL_NOTE,Sweet,"IFRA applies the descriptor 'Sweet' to 351 ingredient rows; the source term differs only by notes-label, plural, spacing, or hyphen form.","[""Sweet Notes""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Sweet Pea,,"[""Sweet Pea""]",
CANONICAL_NOTE,Tangerine,,"[""Tangerine""]",
CANONICAL_NOTE,Tarragon,,"[""Tarragon""]",
CANONICAL_NOTE,Tea,,"[""Tea""]",
CANONICAL_NOTE,Tea Tree Oil,,"[""Tea Tree Oil""]",
CANONICAL_NOTE,Terpineol,,"[""Terpineol""]",
CANONICAL_NOTE,Thyme,,"[""Thyme""]",
CANONICAL_NOTE,Tobacco,,"[""Tobacco""]",
CANONICAL_NOTE,Toffee,,"[""Toffee""]",
CANONICAL_NOTE,Tonka,,"[""Tonka""]",
CANONICAL_NOTE,Tropical Fruit,,"[""Tropical Fruit"", ""Tropical Fruits""]",
CANONICAL_NOTE,Truffle,,"[""Truffle""]",
CANONICAL_NOTE,Tuberose,,"[""Tuberose""]",
CANONICAL_NOTE,Turmeric,,"[""Turmeric""]",
CANONICAL_NOTE,Valerian,,"[""Valerian""]",
CANONICAL_NOTE,Vanilla,,"[""Vanilla""]",
CANONICAL_NOTE,Vanilla Absolute,,"[""Vanilla Absolute""]",
CANONICAL_NOTE,Vanillin,,"[""Vanillin""]",
CANONICAL_NOTE,Verbena,,"[""Verbena""]",
CANONICAL_NOTE,Vetiver,,"[""Vetiver""]",
CANONICAL_NOTE,Violet,,"[""Violet""]",
CANONICAL_NOTE,Watermelon,,"[""Watermelon""]",
CANONICAL_NOTE,Watery,"IFRA applies the descriptor 'Watery' to 8 ingredient rows; the source term differs only by notes-label, plural, spacing, or hyphen form.","[""Watery Notes""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Wine Lees,,"[""Wine Lees""]",
CANONICAL_NOTE,Woody,IFRA defines Woody by explicitly describing woody notes as a large odor family that includes sandalwood and cedarwood facets.,"[""Woody Notes""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Yeast,,"[""Yeast""]",
