query_id,query_text,source,source_row,selection_hash,r1_eligibility,r1_ineligible_reason,r1_resolution_type,r1_primary_expression_type,r1_secondary_expression_types_json,r1_direct_accords_json,r1_direct_canonical_notes_json,r1_seasons_json,r1_dayparts_json,r1_avoid_accords_json,r1_avoid_canonical_notes_json,r1_bridge_phrase,r1_bridge_evaluation_text,r1_excluded_other_requirements,r1_bridge_applicability,r1_notes,r2_eligibility,r2_ineligible_reason,r2_resolution_type,r2_primary_expression_type,r2_secondary_expression_types_json,r2_direct_accords_json,r2_direct_canonical_notes_json,r2_seasons_json,r2_dayparts_json,r2_avoid_accords_json,r2_avoid_canonical_notes_json,r2_bridge_phrase,r2_bridge_evaluation_text,r2_excluded_other_requirements,r2_bridge_applicability,r2_notes,adj_eligibility,adj_ineligible_reason,adj_resolution_type,adj_primary_expression_type,adj_secondary_expression_types_json,adj_direct_accords_json,adj_direct_canonical_notes_json,adj_seasons_json,adj_dayparts_json,adj_avoid_accords_json,adj_avoid_canonical_notes_json,adj_bridge_phrase,adj_bridge_evaluation_text,adj_excluded_other_requirements,adj_bridge_applicability,adj_notes,adjudication_note
SQ0011,너무 비싸지 않지만 남들이 쓰는 흔한 향수 말고 힙하면서 노트는 단순하거나 리니어하지 않고 복잡하면서도 탑에서 오는 존재감이 뚜렷하고 베이스는 바닐라나 럼 같은 쪽 말고 우드나 그나마 앰버 정도로 가되 너무 싼티나는 인공적인 향은 아니었으면 좋겠네,survey_2026_08,12,e1b9b2c397f4bab6434bd3e0792335fade9c7ff03e370a1df54779952ae3afe8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0012,샤워하고 나온듯한 따뜻하고 포근한 느낌의 향기를 추천해줘,survey_2026_08,13,02d0888d3fa2400652451d363357f4afb83689dcca363c0e718542bd38b9b84f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0013,"음,, 클린웜코튼과 같은 샤워하고 나온 향기로운 냄새를 좋아하기도 하고, 포맨트 블랙처럼 무난한 향을 좋아하기도 해.",survey_2026_08,14,5a812ebc930f41a40743b62dc51b3942d27d0c2ffaf3fd74dfe4eb9df8090e7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0014,꽃냄새와 우드의 중간 계열이고 가볍지 않은 조금 무거운 향이 났으면 해. 무거운 향이지만 달달한 냄새로,survey_2026_08,15,8a0519067b4c1518b30e8db8db8f3c771a5aa8d6267a31a9e9971321263e64c8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0015,여름 향수 추천해줘,survey_2026_08,16,87040ca1670ebdfaa9e68569f9fd98e5a927cbc5303a5991f697cada61a26283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0016,"달달한 플로럴한 계열이 좋은데 남자가 사용할 거라 너무 여성스러운 느낌이 안 났으면 좋겠고, 또 너무 과한 시트러스 때문에 세제 냄새는 안 났으면 좋겠어.",survey_2026_08,17,63102e85583ab146bd6841fb052df81a8a5dd3efaf0f28f462e1d14ab5ac1b54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0017,싸가지 없어 보이지만 능력이 좋아서 재수없는 와중에 내사람이 되면 따뜻하고 유머있게 변하는 사람이 쓸만한 향수 추천해줘,survey_2026_08,18,5a726c989d8027979b6c0881640d85cc5bbcac9049b4e25ee2a937bee43b8439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0018,"중성적인 향, 너무 강하지 않게, 산뜻하고 가벼운 느낌의 향수를 추천해줘.",survey_2026_08,19,d28f9fe208507329a412210e8b28fdd74601d8642157b92bc34e525dea29329e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0019,"상큼한 향 그리고, 맡으면 시원해지는 향수 추천해줘",survey_2026_08,20,dcaa25d86f3514e15926e73aa3f31dabafc79d372119947bf3b7f3ee110db442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0020,아로마티카 같이 허브 향이 나는 향수를 추천해줘.,survey_2026_08,21,8cd177412a591422b03c5137cabf8011f26413794157e529695aabefa7770458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0021,꽃향기가 나면서도 시원한 느낌을 원해. 여자에게 이 남자 조금 신경 쓰는 남자라는 인상을 주고 싶어!,survey_2026_08,22,e4fd2b1eeca8dd28296321c92e6b48418e4e1e31cffe81b8ecc90edcd35084b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0022,"나 향수를 잘 모르는데, 깔끔한 스타일의 향을 필요로 해. 최대 15만원 안팎",survey_2026_08,23,11e2cb0ef474d33c13197edb2dab228b0bbde1522eba1d79e234f4b5ca0da725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0023,"나 비누향 엄청 좋아하는데 은은하면서 포근한, 부담스럽지 않은 향수를 추천해줘. 나는 20대 후반의 남자이고, 과한 향은 어지러워 하는 편이야. 특히 목욕탕 스킨 냄새는 진짜 싫어해.",survey_2026_08,24,e367cbbcbd47438b1b201157baf24f725877d0597a5148a1e16a04ee597fc684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0024,이 편지는 영국에서 최초로 시작되어 일년에 한바퀴를 돌면서 받는 사람에게 행운을 주었고 지금은 당신에게로 옮겨진 이 편지는 4일 안에 당신 곁을 떠나야 합니다. 이 편지를 포함해서 7통을 행운이 필요한 사람에게 보내 주셔야 합니다. 복사를 해도 좋습니다. 혹 미신이라 하실지 모르지만 사실입니다. 영국에서 HGXWCH이라는 사람은 1930년에 이 편지를 받았습니다. 그는 비서에게 복사해서 보내라고 했습니다. 며칠 뒤에 복권이 당첨되어 20억을 받았습니다. 어떤 이는 이 편지를 받았으나 96시간 이내 자신의 손에서 떠나야 한다는 사실을 잊었습니다. 그는 곧 사직되었습니다. 나중에야 이 사실을 알고 7통의 편지를 보냈는데 다시 좋은 직장을 얻었습니다. 미국의 케네디 대통령은 이 편지를 받았지만 그냥 버렸습니다. 결국 9일 후 그는 암살당했습니다. 기억해 주세요. 이 편지를 보내면 7년의 행운이 있을 것이고 그렇지 않으면 3년의 불행이 있을 것입니다. 그리고 이 편지를 버리거나 낙서를 해서는 절대로 안됩니다. 7통입니다. 이 편지를 받은 사람은 행운이 깃들 것입니다. 힘들겠지만 좋은 게 좋다고 생각하세요. 7년의 행운을 빌면서... 가 연상되는 향수가 뭐가 있을까?,survey_2026_08,25,25a069199f857e87eba9743b7c9b770a7f57dc21ff461e3e03ed45e3b1986aeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0025,내가 쓰는 향수랑 비슷한 향이 나는 다른 향수가 궁금하다,survey_2026_08,26,be77d45843e4a1ef157027fdb19b50be0ba3415905460ceac3c4b6f9859282dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0026,플로럴? 꽃 냄새는 별로고 좀 포근하고 딱 맡았을 때 와 진짜 어른 여자<< 같은 느낌이 되고싶은데 어떤 향수가 좋을까요?,survey_2026_08,27,2d57dbaa71d3ebb5f1d5f790468f80776e29888aaaca2f00c353eb2f6be120f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0027,직장에서 매일 쓸거고 신중하게 결정한 다음에 변경하지 않을것임. 남자 향수 추천 해봐라. 취향은 딱히 없고 무난하면 됨.,survey_2026_08,28,740d81b05daea4cdfa0f61965b7b220a83c0f9d2364c1b5236230b372978982c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0028,난 평소 클로에 EDP를 좋아하는데 비슷한 향수 추천해줘,survey_2026_08,29,428ed3776689f363a0275fb8c9cb833748753e721518b262662c940b3bc1c1a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0029,꽃향은 좋은데 로즈는 싫어,survey_2026_08,30,c5fc0d75ea9460f32b2ace223fde1541b9985bc54f29484fefe325df41926303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0030,"나는 가벼우면서도 중성적인 향을 원해. 너무 달달하지 않고, 시원하면서도 너무 남성적이지 않은 향이 좋다. 참고로 기존에 사용하는 향수로는 조르지오 아르마니의 프리베 테 울롱 , 조말론 와일드 블루벨을 사용한다. 가격은 신경쓰지 말고 다양한 가격대 별로 추천해줘.",survey_2026_08,31,aca1f96091a1676a5826126e54ca273a8ef64dbfc4e04edc50d8904cc883bc61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0031,나는 쎈 향은 안 좋아하는데 향수 추천해줘,survey_2026_08,32,2ef63b5d5061abfd71dbe8ea96020ff70f680c97d7f6682bd5d24e714726e86d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0032,여름에 어울리는 숲 속에 온 듯한 향을 추천해줘,survey_2026_08,33,2c263370f25baf50dc97737efbe8ae0c757a7e614a1bccfb1eae8616d18db888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0033,라이트한 시트러스향이 있으면 좋겠고 너무 달달한 향이 안나면 좋겠어. 잔향은 조오금 오래가는 편이 좋을거같아,survey_2026_08,34,65301684f3a227306b8aefdfbe45b0ab14de5ae88732bc75694ca671ee6fc2c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0034,우디향이나 코튼 향 좋아합니다,survey_2026_08,35,76bcdc4ae74a880ece5051ab09983fb25665cc5b2172860f9e6eadbe392d0722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0035,전체적으로는 달달한 향이면 좋겠고 캐주얼룩에도 어울리면 좋겠어. 여름에 쓸 거니까 너무 과하게 달지 않은 향으로 추천해줘. 여름을 중심으로 4계절 내내 쓸 수 있으면 좋겠어. 우디향과 레이어드 할 거니까 조합까지 생각해서.,survey_2026_08,36,29ebda8ff496d5721151866bad9b8f40613774ca2df396ccf302da76dc5dc7fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0036,넵!,survey_2026_08,37,4810b432728c2ce8a307ecca912e8a4d40b15031f9df6c7c2eadf39083e2cc70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0037,여름이니까 가벼운 향을 추천받고 싶어. 약간 비누향도 좋고. 여성스러운 느낌이면좋겠어. 가격은 5만원 아래로. 향이 오래 가면 좋겠다.,survey_2026_08,38,e775908267a68f8b56b0faff39b9c1129844c0a3bb032bc92e833d851a39ffe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0038,"자연계열 향수 좋아하고 특히 우디계열 좋아해. 바닐라처럼 달거나 파우더리한 향은 선호하지 않아. 좋아하는 향은 톰포드 오우드, 조말론 씨 솔트 앤 베르가못 좋아하는데, 이런 느낌으로 봄/여름에 뿌리기 좋은 향수 추천해줘",survey_2026_08,39,69ed968435875905dca347d10bf1a3c937c43d4ef247e7039e84d76ff96c0a3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0039,우디향 나는 20대 남자 향수 추천해줘,survey_2026_08,40,f7d977b7da87fa89539dc6ddf93af7fe232292656116e1a4bf1d956a6c29a13c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0040,너는 향수 전문가야. 나에게 향수를 추천해줘. 내가 원하는 향수의 향은 다음과 같아. [향수 정보] - 너무 진하지 않은 향 - 적당히 달콤하고 적당히 시원한 향 - [봄/여름/가을/겨울]에 어울리는 향 검색된 향수의 리뷰도 같이 검색해서 테이블 형태로 보여줘,survey_2026_08,41,c5f78ea64e52e0b9bc5236f2e13e31b80d3c63b0278161e7c4b331024dccaba7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0041,산뜻하면서 바람이 불고 푸른색의 느낌이 나며 자유로운 향을 찾고있어 추천해줘,survey_2026_08,42,76e34337a143d04701ccda16f07e46a39c8f5b5bced8c0a24ab125afd5052dfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0042,"머스크향이 베이스에 깔렸으면 좋겠고, 플로럴 향도 조금 섞였으면 좋겠어. 너무 스파이시한거는 불호이고 잔향이 은은했으면 좋겠어. 너무 빨리 발향 되는건 싫으니 지속력이 좋은거로 브랜드랑 향 추천 종류별로 부탁해.",survey_2026_08,43,5d4687afba73cbea786f375cfe6e6bf9d8d194cb94f35fa041fb903369df0ebf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0043,"데일리로 가볍게 쓸 수 있는 향수를 찾고 싶어. 나는 학생이라 가격대가 그렇게 높은 것은 부담스럽고, 10만원대 안팎으로 추천해줘. 향수를 많이 써본 적이 없어서 향에 대해서 설명하는 메세지를 잘 몰라. 실제 향이랑 향에 대한 설명이 매치되지 않아. 일단 좋아하는 냄새는 비누향, 코튼향인것 같고 특히 싫어했던 냄새는 장미향인 것 같아. 향수를 뿌렸을 때, 깨끗하고 여성스러운 이미지로 보였으면 좋겠어. 그리고 밀폐된 강의실에서도 사용해도 주변 사람에게 부담스럽지 않을 정도면 좋겠어. 여름이랑 겨울에 각각 사용할만한 향수를 추천해줘.",survey_2026_08,44,81a6c94371b88f710a168e6532373080d515c2d7eae5abf779ca75d44464554c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0044,너무 달지 않고 피코디아말피는 여름 느낌인데 겨울 느낌 나는 향 추천해줘.,survey_2026_08,45,dc0da98b7796f8ab3d1c61fc8b6d92ccdb2affe2945fb517bf206653d5b28a53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0045,"나 바카라루쥬, 어벤투스, 포비앤바알리 좋아하는데 내가 좋아하는 향이 무엇인지 정리해주고 내가 좋아할만한 향 추천해줘.",survey_2026_08,46,86d027c9592dc20c45013b732c9e7ab1bf7e5f2182f50ff0641afcde86387da4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0046,"꽃 향기가 나면 좋겠는데, 달달한 정도를 1~5점으로 표현했을 때, 3정도였으면 좋겠고 알싸한 정도는 거의 없으면 좋겠어. 장미향 같은 향도 좋고 대부분의 꽃향기면 다 좋아. 이와 유사한 향을 가진 향수의 종류가 무엇이 있을까?",survey_2026_08,47,1f333c2cd54d94a506bd737e359fd28701c3a7d1bbf8833ac4527acea0525e92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0047,"여름에 쓰기 좋은 가벼우면서 시원한 느낌의 비누향, 머스크향, 약간의 우드향이 들어간 향수를 추천해줘.",survey_2026_08,48,2f12dc7dbdef31348e948ca1f6937f8c929d5cddf33799c5ecaffc70a78befcb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0048,여름에 레이어링할 가볍고 상쾌한 향의 향수를 추천해줘,survey_2026_08,49,4f6de3c8dc60f33af8caf8d60faea100344ec87db773ec026b076d06381daba1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0049,랄프로렌 스타일과 어울리는 향수는?,survey_2026_08,50,af5d87a22696af7e91021a62dd54ae9b9a71097c3c311bda4d7c0d2a0dcc62bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0050,"상큼하고 밝은 향을 원해, 무게감이 가벼운 향을 선호하고 이끼, 물비린내는 안좋아해 가장 선호하는 향 종류는 시트러스, 우디, 레몬 계열이고 달달한 느낌은 선호하지 않아",survey_2026_08,51,74c0523ba906e73da74b7db18c92c24b31eca9e7440fd6c559ae4274d86def95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0051,"너는 최고급 니치 향수 전문 컨설턴트야. 내가 좋아하는 향을 설명해 줄테니까, 이 향의 핵심 포인트를 정확히 이해하고 나와 어울리는 향수를 추천해줘. [내가 좋아하는 향수 포인트] - 톡 쏘는 듯한 청량함과 방금 막 세탁된 코튼 향처럼 깨끗한 공기향 - 과하지 않은 은은한 복숭아 향 - 단순한 비누향이 아닌, 니치 향수 특유의 깊고 크리미한 잔향 위의 포인트와 결이 비슷한 향수 3가지를 추천해 줘. 각 향수마다 왜 이 향수를 골랐는지, 그리고 어떤 매력이 있는지 자세히 설명해 줬으면 좋겠어.",survey_2026_08,52,ede6dffd71bee8a15ba1f67fa2ee9bc5a94204a05bbcf5c391f50f4a8a5ac067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0052,"나는 우디향을 좋아하는데, 남성적인 향은 싫어. 중성적인 향도 별로야. 너무 향이 빨리 날아가지 않았으면 좋겠는데 잔향도 좋았으면 좋겠어. 그렇다고 너무 흔한 향수는 싫고, 너무 비싼 향수는 내가 아직 부담스러워. 어떤 향수가 나에게 좋을까? 우디, 머스크 이런 쪽을 좋아하는 것 같아. 딥티크의 도손 써본적있어",survey_2026_08,53,e04fd1916136c4ea64b48e04017a46505407ba29ea99c0c8bd1c6dbaa707d575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0053,"자연의 향을 좋아해. 우디, 시트러스, 베르가못 계열같은 향들. 달콤한 냄새는 별로 좋아하지 않고 우디, 시트러스 향이 나면서 자연스러운 향이 좋아. 그리고 머스크향 같은 것도 좋아해. 너무 향이 쎄지 않았으면 좋겠어.",survey_2026_08,54,bb5bc26ca3a95539774d224ed73b86151e4bd81a201f238f16b30ec185b57080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0054,네,survey_2026_08,55,92beda0ea54a5c6ae481f1b9bd97ca441770c90a0c4664b0f037d562d1c735e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0055,여름에 쓰려고 하는데 시트러스하지만 머스크한 느낌을 품고 있으면서 그렇다고 너무 무겁지 않은 향을 추천받고싶어 그리고 달달한 느낌보다는 화이트플로럴계열이 더 나은것같아,survey_2026_08,56,524da1dd26bedfb7f1cb73cf1ef1307c02eb98bc87f10afe20e443dbcc87b5b8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0056,데일리로 쓰고 싶고 너무 남자 향수 같은 느낌이 들지 않았으면 좋겠어요. 그리고 플로럴 계열이나 프룻티한 느낌이 좋아요. 그런데 시트러스한 느낌은 좀 적었으면 좋겠어요,survey_2026_08,57,1f3f34c004712790e07909705a24a1476159a157a492d4a9fe3b4c297be3243f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0057,나는 묵직한 우드향을 좋아하고 향수 용량이 큰 걸 찾고 있어. 전체적으로 디자인이 깔끔하고 퓨어한 이미지면 좋을 것 같아. 가격대는 10만원대로 찾고 있고 하루동안 향이 나왔으면 좋겠어.,survey_2026_08,58,bb9758ca8734e9f17417f100fe7f44d3445636f746338736de8f8d7e1ba2d65d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0058,"여름 바다가 생각나는 시원한 향으로 향수 추천해줘. 가격이 10만원 미만이고 지속력이 은은하게 긴 향수면 좋겠어. 여자고 너무 진한향이나 우드, 머스크는 좋아하지않으니까 제외하고 추천해줘.",survey_2026_08,59,559146217a8ef9b6fe92f04814b60ae72a738ca8879ecf661968e8f0d1b81858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0059,은은하면서 달달하고 그렇게 역하지 않은 향수 추천 부탁해,survey_2026_08,60,10861adcda32d2de35efc82afa22ece9f67809911ab4d5a110fc6354469b1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0060,여름에 뿌릴만한 남성용 향수 추천해줘 예산은 20만원 이하로 부탁해,survey_2026_08,61,475ec56cb6fbd3a8c5f93c4fc4de354bf459b0c343e3ba37e4e5de28507b3181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0061,비 온 뒤의 숲의 냄새,survey_2026_08,62,2b11b67b8a58322cb253543b61cec50aff4aa9130769838f37d82744a402b540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0062,"내가 주로 사용했던 향수는 베르사체 딜런퍼플, 아쿠아 디파르마, 르라보 모하비고스트, 티파니앤코 러브포힘,딥디크 플레르드뽀 인데 비슷한 향을 가진 향수 추천해줘.",survey_2026_08,63,d45e3be138ba2c344ceecf01e97fa6e0f766f4ece6a3107773055222ba6f6aab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0063,넵,survey_2026_08,64,521d9795952248b63af4e5c92adc6ccbb30a96c5c0c6ba43fc4ede5f20ae742d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0064,로즈마리 녹차 레몬 사과같은 가볍고 청량한 향에 살짝 우디한 향이 가미되서 무게감이 있으면 좋겠고 파우더리한 향이나 머스크향은 없으면 좋겠어,survey_2026_08,65,bacbcad9d203e2eb4feee527150a998aa596ae8257344e18169630d7f376aa0b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0065,내 최애캐를 이미지화한 향수를 만들어줘.,survey_2026_08,66,f76a1c9cf2dcfc5d2bf65e94be7c4d3b31b267cc7c7fcbc8b5352afca4828fdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
