query_id,글자 수,scent,additional,season,daypart,gender,intensity,longevity,원인,판정,유형
SQ0087,172,0,4,0,0,2,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,가격|장면·상황|성별·나이|분위기·인상|향 묘사
SQ0088,19,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,미분류,
SQ0090,67,0,2,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,가격|제품 특성|향 묘사
SQ0092,32,0,2,1,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0096,38,1,2,1,0,1,0,0,scent 는 뽑았으나 accord 로 안 바뀜,번역 가능 — 향을 묘사했다,성별·나이|향 묘사
SQ0097,60,0,3,0,0,0,0,1,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,제품 특성|분위기·인상|향 묘사
SQ0098,136,0,7,1,0,1,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,성별·나이|분위기·인상|향 묘사
SQ0101,1,0,0,0,0,0,0,0,scent 를 아예 못 뽑음,미분류,
SQ0102,53,0,3,0,1,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,장면·상황|향 묘사
SQ0108,48,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,분위기·인상|향 묘사
SQ0109,20,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,개인화|분위기·인상|향 묘사
SQ0110,64,0,2,0,0,0,1,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0114,15,0,0,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,개인화|향 묘사
SQ0116,15,0,0,1,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0117,149,0,2,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,가격|개인화|성별·나이|향 묘사
SQ0118,31,0,3,0,0,0,1,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0119,1,0,0,0,0,0,0,0,scent 를 아예 못 뽑음,미분류,
SQ0122,81,0,5,1,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,제품 특성|분위기·인상|향 묘사
SQ0123,20,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,개인화|향 묘사
SQ0125,1,0,0,0,0,0,0,0,scent 를 아예 못 뽑음,미분류,
SQ0126,19,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,분위기·인상|향 묘사
SQ0128,17,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0130,46,0,3,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,분위기·인상|향 묘사
SQ0133,24,0,2,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0134,6,0,0,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0135,2,0,0,0,0,0,0,0,scent 를 아예 못 뽑음,미분류,
SQ0138,1,0,0,0,0,0,0,0,scent 를 아예 못 뽑음,미분류,
SQ0141,25,0,3,0,0,1,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0142,21,1,1,0,0,1,0,0,scent 는 뽑았으나 accord 로 안 바뀜,번역 가능 — 향을 묘사했다,성별·나이|향 묘사
SQ0143,81,0,3,0,0,1,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0144,12,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0145,27,0,3,0,0,0,1,1,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,분위기·인상|향 묘사
SQ0147,1,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,미분류,
SQ0148,24,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0149,16,0,0,0,0,1,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,성별·나이|향 묘사
SQ0152,1,0,0,0,0,0,0,0,scent 를 아예 못 뽑음,미분류,
SQ0155,41,1,2,0,0,0,1,0,scent 는 뽑았으나 accord 로 안 바뀜,번역 가능 — 향을 묘사했다,향 묘사
