query_id,query_text,selection_reason,gold_scent,gold_context,gold_performance,gold_avoid,gold_additional,extended_scent,extended_context,extended_performance,extended_avoid,extended_additional,llm_scent,llm_context,llm_performance,llm_avoid,llm_additional,extended_exact,llm_exact,avoid_exact,additional_exact,avoid_normalized_equal,additional_normalized_equal,avoid_item_count_gold,avoid_item_count_llm,additional_item_count_gold,additional_item_count_llm,diff_fields,manual_decision,manual_issue_type,manual_comment
UQ0027,지나갈 때 은은하게 좋은 냄새가 나는 정도의 향수를 찾고 있어.,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""지나갈 때 은은"",""좋은 냄새""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],"[""지나갈 때 은은하게 좋은 냄새가 나는 정도""]",False,False,True,False,True,False,0,0,2,1,performance|additional,,,
UQ0030,사람 많은 곳에서도 너무 강하게 느껴지지 않는 은은한 향수를 추천해줘.,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}","[""강하게""]","[""사람 많은 곳"",""은은한""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],"[""사람 많은 곳에서도 너무 강하게 느껴지지 않는 향""]",False,False,False,False,False,False,1,0,2,1,avoid|additional,,,
UQ0032,향수 냄새가 강하면 머리가 아파서 최대한 부드럽고 편안한 향을 찾고 있어.,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""강하면""]","[""부드럽"",""편안한 향""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],"[""향이 강하면 머리가 아픔"",""최대한 부드럽고 편안한 향""]",False,False,False,False,False,False,1,0,2,2,performance|avoid|additional,,,
UQ0033,내가 20대 후반인데 너무 어려 보이지 않으면서 세련된 향수를 찾고 있어.,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""어려 보이지""]","["" 20대 후반"",""세련된 향수""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""20대 후반"",""너무 어려 보이지 않게"",""세련된 향수""]",False,False,False,False,False,False,1,0,2,3,avoid|additional,,,
UQ0037,남자친구한테서 났으면 하는 향 찾아줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""남자친구""]",[],"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""남자친구에게서 났으면 하는 향""]",False,False,True,False,True,False,0,0,1,1,additional,,,
UQ0045,헬스장에서 반응 좋은 향수 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""헬스장"",""반응 좋은""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""헬스장에서 반응 좋은 향수 추천""]",False,False,True,False,True,False,0,0,2,1,additional,,,
UQ0050,향수 입문자에게 괜찮은 향수 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""향수 입문자"",""괜찮은 향수""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""향수 입문자에게 괜찮은 향수 추천""]",False,False,True,False,True,False,0,0,2,1,additional,,,
UQ0052,향수 사보려고 하는데 난 달콤한 향기는 별로 안 좋아하거든 좀 화한거 사고싶어,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""달콤한 향기""]","[""화한거""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""향수 사보려고 하는데 난 달콤한 향기""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""sweet (달콤한)""]","[""좀 화한 향기(화한 느낌) 선호""]",False,False,False,False,False,False,1,1,1,1,avoid|additional,,,
UQ0054,홍차향 같은 향수도 있나? 근데 너무 음식같은 느낌 안 났으면 좋곘음,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""너무 음식같은 느낌""]","[""홍차향""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],"[""black tea""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""too food-like""]","[""홍차향 같은 향수 찾아보기""]",False,False,False,False,False,False,1,1,1,1,scent|avoid|additional,,,
UQ0056,아로마 계열이면 다 좋은데 너무 진한 향 아니고 은은한 게 좋아,AVOID_MISMATCH,"[""aromatic""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}","[""너무 진한 향""]","[""아로마 계열""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],"[""아로마 계열을 선호"",""너무 진한 향은 싫고 은은한 향을 원함""]",False,False,False,False,False,False,1,0,1,2,scent|avoid|additional,,,
UQ0065,은은하게 잔향 좋은 거. 향은 딱히 선호 없음 모름 잘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],"[""잔향 좋은 거"",""선호 없음""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],"[""은은하게 잔향 좋은 거"",""향은 딱히 선호 없음/모름""]",False,False,True,False,True,False,0,0,2,2,additional,,,
UQ0074,비 오는 날에 뿌릴 만한 30대 여성 향수 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}",[],"[""비 오는 날"",""30대""]",[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],False,False,True,False,True,False,0,0,2,0,context|additional,,,
UQ0078,가볍고 부드러운 느낌의 향수,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""가볍고"",""부드러운""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""가볍고 부드러운 느낌""]",False,False,True,False,True,False,0,0,2,1,additional,,,
UQ0087,가을에 잘 어울리는 우디 향수 추천해줘,LLM_REGRESSED,"[""woody""]","{""season"":[""autumn""],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],"[""woody""]","{""season"":[""autumn""],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],"[""woody""]","{""season"":[""autumn""],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""가을에 잘 어울리는 우디 향수 추천해줘""]",True,False,True,False,True,False,0,0,0,1,additional,,,
UQ0090,데이트할 때 반응 좋은 향수 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""데이트"",""반응 좋은""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""데이트할 때 반응 좋은 향수 추천""]",False,False,True,False,True,False,0,0,2,1,additional,,,
UQ0092,향이 너무 세지 않은 향수 추천해줘,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}","[""향이 너무 세""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],[],False,False,False,True,False,True,1,0,0,0,avoid,,,
UQ0093,인기많은 남자 향수 추천해줘.,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],"[""인기많은 남자""]",[],"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],"[""인기 많은 남자 향수""]",False,False,True,False,True,False,0,0,1,1,additional,,,
UQ0094,너무 흔하지 않으면서 섹시한 느낌의 향수 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""흔하지 않으면서"",""섹시한""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""너무 흔하지 않음"",""섹시한 느낌""]",False,False,True,False,True,False,0,0,2,2,additional,,,
UQ0105,시향 없이 블라인드 구매해도 괜찮은 향수 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""시향 없이"",""블라인드 구매""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""시향 없이 블라인드 구매해도 괜찮은 향수 추천""]",False,False,True,False,True,False,0,0,2,1,additional,,,
UQ0111,남자가 쓰기 좋은 파우더리 향수 추천해줘,LLM_REGRESSED,"[""powdery""]","{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],[],"[""powdery""]","{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],"[""파우더리 향수"",""남자가 쓰기 좋은 향수 추천""]",True,False,True,False,True,False,0,0,0,2,scent|additional,,,
UQ0114,부드러운 우디 향수 추천해줘,ADDITIONAL_SAMPLE,"[""woody""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""부드러운""]","[""woody""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],"[""woody""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""부드러운 우디 향수 추천""]",False,False,True,False,True,False,0,0,1,1,additional,,,
UQ0116,달달하지만 너무 느끼하지 않은 향수 추천해줘,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""느끼""]","[""달달하지만""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""너무 느끼""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""달달한 향"",""너무 느끼하지 않은 향""]",False,False,False,False,False,False,1,0,1,2,avoid|additional,,,
UQ0140,중성적인 향수에는 뭐가 있을까?,LLM_REGRESSED,[],"{""season"":[],""daypart"":[],""gender"":[""neuter""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[""neuter""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[""neuter""]}","{""intensity"":"""",""longevity"":""""}",[],"[""중성적인 향수 추천""]",True,False,True,False,True,False,0,0,0,1,additional,,,
UQ0143,카리스마 있어보이는 딱딱한 향수 근데 여자걸로 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}",[],"[""카리스마"",""딱딱한""]",[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}",[],"[""카리스마 있어보이는"",""딱딱한 느낌""]",False,False,True,False,True,False,0,0,2,2,additional,,,
UQ0148,"향추 추천해줘. 달콤한 향은 좋은데, 바닐라는 싫어.",AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""바닐라""]","[""달콤한 향""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""vanilla""]",[],"[""sweet""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""Vanilla""]",[],False,False,False,False,False,False,1,1,1,0,scent|avoid|additional,,,
UQ0149,"시원한 향은 좋은데, 남자 스킨 냄새는 진짜 별로야. 안 그런 거 있어?",AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""남자 스킨 냄새""]","[""시원한 향""]",[],"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""male skin scent""]","[""시원한 향을 선호"",""남자 스킨 냄새는 피하고 싶음"",""안 그런(남자 스킨 냄새가 아닌) 향이 있는지 문의""]",False,False,False,False,False,False,1,1,1,3,avoid|additional,,,
UQ0150,우디 향 좋아하는데 무겁거나 중후한 건 싫어. 추천 좀.,AVOID_MISMATCH,"[""woody""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""무겁거나"",""중후한""]",[],"[""woody""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""우디 향 좋아하는데 무겁거나 중후한""]",[],"[""woody""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""heavy"",""heavy and mature""]","[""우디 향 선호"",""무겁거나 중후한 느낌은 싫음"",""추천 요청""]",False,False,False,False,False,False,2,2,0,3,avoid|additional,,,
UQ0151,"꽃향은 좋은데, 화장품 냄새 같은 꽃향은 싫음.",AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""화장품 냄새""]","[""꽃향""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""화장품 냄새 같은 꽃향""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""cosmetic-smelling floral""]","[""floral is okay, but not the kind that smells like cosmetics""]",False,False,False,False,False,False,1,1,1,1,avoid|additional,,,
UQ0152,패출리 들어간 향은 싫어. 그거 뺀 걸로 추천 좀.,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""패출리""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""패출리 들어간 향""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""Patchouli""]","[""패출리 들어간 향은 싫음""]",False,False,False,False,False,False,1,1,0,1,avoid|additional,,,
UQ0153,인센스나 절 냄새 나는 향수 개극혐이니까 그거 말고 다양한 종류로 추천 좀.,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""인센스"",""절 냄새""]","[""다양한 종류로 추천""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""인센스나 절 냄새 나는 향수 개극혐이니까 그거""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""incense"",""incense/절 냄새""]","[""다양한 종류로 추천 요청""]",False,False,False,False,False,False,2,2,1,1,avoid|additional,,,
UQ0154,"과일 향수 추천하는데 복숭아, 체리는 빼고 해줘. 그거 싫어.",AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""복숭아"",""체리""]","[""과일 향수""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""체리""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""Peach"",""Cherry""]","[""Fruity perfume preference"",""Recommend fruity scents but exclude peach and cherry""]",False,False,False,False,False,False,2,2,1,2,avoid|additional,,,
UQ0155,딥티크 탐다오랑 오르페옹 중에 출근용으로 뭐가 더 나아?,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""딥티크 탐다오랑 오르페옹 중에 출근용""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[""day""],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""딥티크 탐다오 vs 딥티크 오르페옹 중 출근용으로 더 나은 것 문의""]",False,False,True,False,True,False,0,0,1,1,context|additional,,,
UQ0161,햇빛 받은 흰 셔츠 같은 느낌하고 싶은데 시트러스는 싫어.,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""시트러스""]","[""햇빛 받은 흰 셔츠""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""citrus"",""햇빛 받은 흰 셔츠 같은 느낌하고 싶은데 시트러스""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""citrus""]","[""햇빛 받은 흰 셔츠 같은 느낌""]",False,False,False,False,False,False,1,1,1,1,avoid|additional,,,
UQ0162,호텔 침구 같은 깨끗함! 근데 세제 냄새처럼 인위적이면 싫어.,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""세제 냄새""]","[""호텔 침구"",""깨끗함""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""soapy/detergent-like 인위적인 냄새""]","[""호텔 침구 같은 깨끗한 느낌""]",False,False,False,False,False,False,1,1,2,1,avoid|additional,,,
UQ0164,장미 꽃 향기는 좋은데 인위적인 향기는 아니었으면 좋겠음. 추천 좀,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""인위적인""]","[""장미 꽃 향기""]","[""Rose""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],"[""Rose""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""인위적인 향""]","[""장미 꽃 향기는 좋지만 인위적인 향처럼 느껴지지 않았으면 좋겠음""]",False,False,False,False,False,False,1,1,1,1,scent|avoid|additional,,,
UQ0166,카라멜 향기 달달하게 났으면 좋겠어. 초코 향이면 안돼!!,AVOID_MISMATCH,"[""Caramel""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""초코 향""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],"[""Caramel"",""Sweet""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""Chocolate""]",[],False,False,False,True,False,True,1,1,0,0,scent|avoid,,,
