expression,accords,reasoning,latency_sec,error
기분을 밝게 바꿔주는,fresh,‘기분을 밝게 바꿔주는’은 상쾌하고 기분을 환기시키는 느낌의 향으로 해석되어 ‘fresh’에 가장 가깝습니다.,1.262,
은은한 꽃향,floral,“은은한 꽃향”은 꽃 향의 분위기를 직접적으로 나타내므로 floral에 가장 가깝습니다.,2.253,
화려하기보다 차분한,fresh|aromatic|woody,"‘차분한’ 뉘앙스는 강한 단맛/스모키함보다는 산뜻하고 잔향이 정돈된 느낌의 ‘fresh’와 ‘aromatic’ 계열이 가장 가깝고, 전체 분위기를 부드럽게 잡아주는 ‘woody’까지 순서대로 추정됩니다.",1.428,
독특해서 기억에 남았으면,fresh,"‘독특해서 기억에 남았다’는 구체적인 향의 구성(예: 과일/스파이스/머스크 등)이 없어 향과 직접 연결되는 표현을 고르기 어렵지만, 전반적인 인상으로는 ‘fresh’에 가장 가깝게 해석될 수 있습니다.",1.038,
부드럽고 은은함,soft spicy|fresh,“부드럽고 은은함”은 강한 향보다는 완만하고 스무스한 인상을 연상시켜 soft spicy와 fresh를 우선으로 매칭했습니다.,0.934,
시간이 지나며 분위기가 변함,,표현이 향의 특정 노트(예: 과일/머스크/우디 등)와 직접 연결되지 않고 단순히 ‘시간 경과에 따른 변화’만 말해 향 표현으로 매칭하기 어렵습니다.,0.97,
깨끗하고 상쾌함,fresh,“깨끗하고 상쾌함”은 향이 전반적으로 가볍고 청량한 인상이라서 ‘fresh’에 가장 가깝습니다.,0.947,
시간이 지나면 은근히 달콤해짐,sweet|vanilla|caramel,"시간이 지나며 은근히 달콤해진다는 표현은 전반적으로 달콤 계열(특히 시간이 지나 향이 부드럽게 올라오는 느낌)로 가장 잘 대응되는 accord가 sweet이며, 그 뉘앙스상 vanilla와 caramel 계열도 함께 가깝습니다.",1.285,
남성적인 향,,"‘남성적인 향’은 향의 구체적 소재나 관능(예: 우디, 머스크, 가죽 등)을 지칭하지 않아 accord 목록 중 가장 가까운 것을 특정할 수 없습니다.",1.326,
너무 세게 남성성을 드러내지 않는 향,,제시된 표현은 향의 구체적인 향 계열(예: 꽃/과일/머스크 등)이 아니라 ‘남성성’에 대한 성격/이미지를 말해 향과 무관해 accord로 매칭할 수 없습니다.,1.027,
단정하고 산뜻한 느낌,fresh,‘단정하고 산뜻한 느낌’은 향에서 보통 가벼운 청량감의 ‘fresh’에 가장 가깝습니다.,1.054,
부드러운 단맛이 살짝 있음,sweet,‘부드러운 단맛’으로 달콤한 인상을 직접적으로 표현해 sweet에 가장 가깝습니다.,0.764,
평범한 남자 향수 느낌 피하기,,"특정 향 노트(예: 향신료, 우디, 시트러스 등)를 지칭하지 않고 ‘평범함을 피하라’는 뉘앙스의 문구라 향과 무관합니다.",1.016,
맑고 깨끗하게 시작,fresh|aquatic|ozonic,"‘맑고 깨끗하게 시작’은 공기처럼 상쾌하고 깨끗한 인상을 주는 표현이라 fresh와 가장 가깝고, 맑은 공기감/산뜻함까지 포함하면 aquatic·ozonic 쪽으로 추가 매칭할 수 있습니다.",1.322,
차분한 달콤함이 이어지는 향,sweet|gourmand|vanilla,‘차분한 달콤함’은 달콤한 디저트/바닐라 계열의 따뜻하고 부드러운 인상으로 가장 가깝습니다.,1.199,
묵직하고 풍부한 느낌,amber|gourmand,"‘묵직하고 풍부한’은 향의 무게감과 농후한 단맛/풍미 계열을 연상시켜 amber, gourmand에 가장 가깝습니다.",1.479,
사람들의 시선을 끄는 존재감,,"‘사람들의 시선을 끄는 존재감’은 향의 구체적인 원료/무드(예: 과일, 스파이스, 우디 등)를 나타내지 않아 향과 무관한 표현입니다.",1.145,
조용한 향보다 확실히 눈에 띄는 향,,"‘조용한 향보다 확실히 눈에 띄는 향’은 향의 구체적 소재/계열(예: 시트러스, 앰버, 우디 등)을 지칭하지 않아 accord 매칭이 불가능합니다.",1.293,
깊고 진한 분위기,amber|gourmand|balsamic,‘깊고 진한’의 뉘앙스가 어둡고 무게감 있는 앰버/바닐라·캬라멜 계열의 달콤한 풍부함 및 발사믹한 농후함에 가장 가깝습니다.,1.078,
선선한 밤에 어울리는 느낌,,‘선선한 밤에 어울리는 느낌’은 온도/분위기 표현이라 향의 구체적 특성(예: 향료/노트/질감)을 지칭하지 않아 목록에서 대응되는 accord를 고를 수 없습니다.,1.25,
진하고 고급스러운 느낌,amber|gourmand,‘진하고 고급스러운 느낌’은 대체로 달콤하고 묵직한 앰버/구르망 계열의 인상을 말하는 표현이라 가장 가깝습니다.,1.214,
자신감 있는 느낌,,주어진 표현은 향의 특징(예: 감귤/우디/스파이시 등)을 직접 묘사하지 않아 향과 무관하므로 빈 목록입니다.,0.961,
쌀쌀한 날 편안하게 느껴지는 단향,warm spicy|fresh,"‘쌀쌀한 날 편안하게’라는 뉘앙스에 가장 가까운 따뜻한 온기(soft/comfort) 이미지가 ‘warm spicy’이고, 전체적으로 강한 감각보다는 산뜻함이 함께 느껴져 ‘fresh’도 보완적으로 선택했습니다.",1.23,
따뜻한 차처럼 부드럽고,soft spicy|aromatic,"‘따뜻한 차처럼 부드럽고’는 차의 여운 같은 부드러운 향 느낌이어서 soft spicy와 가장 가깝고, 그 외 전반적인 향의 뉘앙스가 aromatic으로도 해석됩니다.",0.943,
달큰함,sweet,“달큰함”은 향에서의 단맛(sweet) 뉘앙스에 가장 가깝습니다.,1.234,
살짝 술기운 느낌,alcohol,‘술기운’은 향에서 알코올/주정의 뉘앙스에 가장 가깝습니다.,3.433,
너무 달지 않은,bitter|fresh,‘너무 달지 않은’은 단맛이 강하지 않고 다소 건조/자극적인 인상을 주어 bitter 쪽과 함께 fresh 계열로 가장 가깝습니다.,1.143,
너무 진하지 않은,fresh,"‘너무 진하지 않은’은 향의 강도가 약하다는 뉘앙스로, 대체로 산뜻함/가벼움에 해당하는 ‘fresh’에 가장 가깝습니다.",0.943,
우아한 향,floral|aromatic,"‘우아한 향’은 향 자체의 특정 재료를 지칭하지 않지만, 일반적으로 꽃향(floral)과 은은한 향(aromatic) 이미지에 가장 가깝습니다.",0.923,
봄꽃처럼 산뜻,fresh|floral,봄꽃처럼 산뜻하다는 표현이 ‘꽃의 플로랄’ 이미지와 ‘산뜻함(신선/프레시)’을 함께 떠올리게 해서 가장 가깝습니다.,1.372,
깨끗한 분위기,fresh,‘깨끗한 분위기’는 공기감이 맑고 상쾌한 느낌의 ‘fresh’와 가장 가깝습니다.,1.128,
여성스러운 분위기,floral|rose|violet,‘여성스러운 분위기’는 향에서 흔히 플로럴 계열의 부드럽고 여성적인 이미지를 떠올리게 해 해당 accord들을 가장 가깝게 매칭했습니다.,1.131,
격식 있는 자리에도 어울리는 깔끔한 향,aromatic|fresh|woody,‘깔끔한’과 ‘격식 있는 자리’의 인상을 바탕으로 산뜻한 아로마틱 계열과 깔끔한 우디 톤이 가장 가깝습니다.,1.005,
푸릇하고 신선한 분위기,green|fresh,‘푸릇하고 신선한 분위기’는 녹색 계열의 상쾌함과 신선함을 직접적으로 떠올리게 해서 ‘green’과 ‘fresh’가 가장 가깝습니다.,2.06,
살짝 중후한 분위기,,‘살짝 중후한 분위기’는 향의 구체적 요소(예: 우디/앰버/스파이시 등)가 없어 목록의 accord로 매칭할 수 없습니다.,1.23,
진한 꽃향보다 산뜻하고 단정한 향,fresh|floral|white floral,"‘산뜻하고 단정한’ 뉘앙스는 fresh, ‘꽃향’은 floral 계열, 그 중에서도 비교적 맑고 정돈된 느낌은 white floral에 가깝습니다.",1.066,
부드러운 오렌지꽃,floral|citrus,오렌지꽃이라는 표현이 꽃 향(Floral)과 오렌지의 상큼한 시트러스(Citrus) 뉘앙스를 함께 보여줍니다.,0.988,
밝은 작약 느낌,white floral|floral,“작약(피오니)”의 밝은 꽃 향 이미지는 화이트 플로럴과 플로럴 계열로 가장 가깝습니다.,1.202,
오래된 궁전처럼 웅장하고 신비로운 향,amber|animalic|woody,"“오래된 궁전처럼 웅장하고 신비로운” 분위기는 앰버의 고급스러운 잔향과 동물성/무스키한 무드, 그리고 오래된 목재(우디) 같은 배경감이 가장 가깝습니다.",1.266,
부드러운 단향,soft spicy,‘부드러운’의 뉘앙스가 과하지 않은 스파이시 계열(soft spicy)에 가장 가깝습니다.,1.22,
먹물 같은 어두운 느낌,,"먹물 같은 어두운 느낌은 향의 구체적인 질감/노트(예: 가죽, 스모키, 바닐라 등)를 직접 지칭하지 않아 accord로 매칭하기 어렵습니다.",1.31,
연기 같은 어두운 느낌,smoky|earthy|bitter,"‘연기 같은 어두운 느낌’은 흡연/연기 뉘앙스의 smoky가 가장 가깝고, 어두운 분위기는 earthy와 bitter 쪽의 감각이 함께 떠오릅니다.",1.107,
순하고 우아한 분위기,fresh|floral,‘순하고 우아한 분위기’는 자극적이지 않은 맑고 부드러운 느낌과 꽃의 세련된 이미지에 가깝습니다.,1.39,
갓 씻은 듯한 깨끗함,fresh|soapy,"‘갓 씻은 듯한 깨끗함’은 갓 샤워한 느낌의 청량함과 비누 같은 청결 뉘앙스라서 먼저 fresh, 다음으로 soapy에 가장 가깝습니다.",1.131,
보송한 느낌,,“보송한 느낌”은 향의 구체적 특성(예: powdery/soapy 같은)으로 특정되지 않아 목록의 어느 accord와도 확신 있게 매칭하기 어렵습니다.,1.016,
추운 날,fresh|conifer|earthy,"‘추운 날’은 차갑고 상쾌한 인상에 가깝고, 겨울 공기/냄새로 자주 연상되는 쪽이 fresh, conifer, earthy 계열이라서 이 순서로 가장 가까운 표현을 선택했습니다.",1.241,
격식 있는 자리,,‘격식 있는 자리’는 향의 특정한 냄새 성격이 아니라 상황/분위기 표현이라 accord 매칭이 불가능합니다.,1.529,
술 향이 진하고 깊음,alcohol|whiskey|rum,"‘술 향이 진하고 깊음’은 알코올 계열 뉘앙스를 가장 직접적으로 가리키며, 그 중 깊고 진한 느낌으로 위스키·럼 계열이 함께 연상됩니다.",1.47,
고급스럽게 느껴지면 좋겠어,balsamic|amber|aromatic,"‘고급스럽게’는 향 표현에서 흔히 따뜻하고 농도 있는 앰버/바살믹 계열과 함께 느껴지는 경우가 많아(최우선), 그에 더해 향긋한 아로마틱 뉘앙스를 함께 가장 가깝게 고릅니다.",1.238,
classic한 남자 향,,‘classic한 남자 향’은 향의 구체적 성격(노트/무드) 없이 성별·이미지 표현이라 accord로 매칭할 정보가 부족합니다.,1.48,
진한 술 향 중심,alcohol|rum|whiskey,"표현이 ‘진한 술 향 중심’이므로 가장 먼저 alcohol 계열로 보고, 그중에서도 술 향 뉘앙스가 강한 rum·whiskey로 추가 매칭했습니다.",1.01,
따뜻한 느낌,warm spicy,“따뜻한 느낌”은 향수에서 흔히 warm spicy 계열로 가장 가깝게 해석됩니다.,1.028,
값비싸 보이는 느낌,,"‘값비싸 보이는 느낌’은 향의 구체적인 소재/노트(예: floral, woody, vanilla 등)를 지칭하지 않아 목록의 accord로 매칭할 수 없습니다.",0.887,
처음 향수를 쓰는 사람도 부담 없이,,‘처음 향수를 쓰는 사람도 부담 없이’는 향의 성질(노트/무드)을 직접 지칭하지 않고 사용 상황을 말하는 문구라 해당 accord로 매칭할 수 없습니다.,1.098,
사계절 어디서나 잘 어울림,,해당 표현은 향의 구체적 특성(예: 과일/우디/플로럴 등)이 없어 향 표현으로 분류할 수 없습니다.,1.326,
