query_id,query_text,baseline_exact,extended_exact,change_type,baseline_scent_correct,extended_scent_correct,scent_change,baseline_gender_correct,extended_gender_correct,gender_change,baseline_intensity_correct,extended_intensity_correct,intensity_change,baseline_longevity_correct,extended_longevity_correct,longevity_change,baseline_avoid_correct,extended_avoid_correct,avoid_change
UQ0042,여름에 땀 많이 나는데 땀냄새랑 섞여서 이상해지지 않는거,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0043,향수 입문자한테 괜찮은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0044,면세점에서 사기 좋은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0045,헬스장에서 반응 좋은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0046,오늘 뿌리기 좋은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0047,남자가 쓰기 좋은 엄청 섹시한 느낌의 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0048,비누향이나 섬유유연제 향이 강하게 나는 향수 추천해줘,False,False,STILL_WRONG,False,False,SAME_WRONG,True,True,SAME_CORRECT,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0049,나한테 맞는 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0050,향수 입문자에게 괜찮은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0051,향수 입문용으로 조말론이나 메종 마르지엘라는 어때?,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0052,향수 사보려고 하는데 난 달콤한 향기는 별로 안 좋아하거든 좀 화한거 사고싶어,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0053,맑고 산뜻한거 갖고싶은데,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0054,홍차향 같은 향수도 있나? 근데 너무 음식같은 느낌 안 났으면 좋곘음,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0055,플로럴 계열인데 톡 쏘는 거 추천 받고싶음,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0056,아로마 계열이면 다 좋은데 너무 진한 향 아니고 은은한 게 좋아,False,False,STILL_WRONG,False,False,SAME_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0057,대학교 들어가는데 좀 어른스러운 느낌의 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0058,내 추구미 겨울 느낌나는 서늘한 여자임 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0059,무조건 달콤한 향이 좋아 달콤한데 약간 민트계열도 있었으면 좋겠어,False,False,STILL_WRONG,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0060,살같에서 날 것 같은 베이비 파우더 같은 거 가지고 싶어,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0061,흰 꽃에서만 나는 맑은 향에 시트러스 향 섞인 거 갖고싶어.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0062,풍성한 복숭아!!! 나는 복숭아 밭한다!!! 할 정도로 복숭아 향나는 폭닥한거,False,False,STILL_WRONG,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0063,쨍한 허브 비누향에 세제 잔뜩 쓴 것 같은 향 갖고 싶어,False,False,STILL_WRONG,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0064,차가운데 쨍한 향수 추천,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0065,은은하게 잔향 좋은 거. 향은 딱히 선호 없음 모름 잘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0066,자연스러운 향수 갖고싶음 은은한 살냄새 같은 걸로,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0067,중성적인 향수 원해. 약간 담백하고 부드러운데 엣지있는거?,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0068,장마철 호수에 떠있는 연꽃같은 느낌 원해,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0069,땀 냄새랑 섞여도 안 이상한 거. 바디스프레이처럼 쓸 수 있는 거 필요함,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0070,10만원 이내에서 살 수 있는 저렴한 시원한 향기 나는 향수,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0071,무조건 20만원 이내에서 조합 괜찮은 향수 2개. 중성적인 느낌으로!,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0072,이슬을 머금은 장미같은 향수 추천해줘,False,False,STILL_WRONG,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0073,첫 인상이 포근하고 릴랙싱한 향수를 가지고 싶어,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0074,비 오는 날에 뿌릴 만한 30대 여성 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0075,회사나 중요한 공식석상에서 뿌리기 적합한 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0076,산뜻하면서 과일냄새 나는 향수 사고싶어,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0077,지금 단종된 템버린즈 볼드 시트러스랑 비슷한 향수 추천해줘,False,False,STILL_WRONG,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0078,가볍고 부드러운 느낌의 향수,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0079,물 대신 과즙을 마시고 자란 꽃 같은 느낌과 최대한 비슷한 느낌의 향수,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0080,바다에 누워서 가만히 하늘을 올려다보고있는 듯한 느낌의 향수,False,False,STILL_WRONG,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0081,휴양지에 놀러갔을 때 어울릴만한 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0082,뿌리고 슥 지나갔을 때 향이 너무 좋아서 사람들이 다 돌아볼 것 같은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0083,귀엽고 산뜻한 20대 여자가 뿌리면 잘어울릴 향수 알려줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0084,40대 남성 데일리 향수 추천,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0085,여름에 남자가 쓰기 좋은 시원한 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0086,봄에 데일리로 쓰기 좋은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0087,가을에 잘 어울리는 우디 향수 추천해줘,True,True,STILL_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0088,출근할 때 부담 없이 뿌릴 수 있는 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0089,소개팅할 때 쓰기 좋은 남자 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0090,데이트할 때 반응 좋은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0091,회사에서 쓰기 좋은 은은한 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0092,향이 너무 세지 않은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0093,인기많은 남자 향수 추천해줘.,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0094,너무 흔하지 않으면서 섹시한 느낌의 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0095,햇살 내리쬐는 일본 여름같은 향수,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0096,중성적이면서 살짝 꿀 향이 나는 향수 찾고있어,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0097,마사지숍에서 날 것 같은 향수,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0098,양키캔들 핑크 샌즈 쓰고 있는데 이거 향 너무 좋아서 이거랑 비슷한 향수 갖고싶어,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0099,갓 세탁한 포근한 이불 같은 느낌의 향수 가지고싶어,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0100,샤넬 no5랑 믹스해서 사용하기 좋은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0101,봄에 쓰기 좋은 달달한 꽃 향수 사고싶어,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0102,아빠 선물용으로 실패 확률 낮은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0103,평소에 스트릿룩 많이 입는데 스트릿룩이랑 어울리는 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0104,향수 하나만 산다면 사계절용으로 뭐가 좋아?,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0105,시향 없이 블라인드 구매해도 괜찮은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0106,지속력 좋은 남자 향수 추천해줘,False,True,FIXED,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT
UQ0107,잔향이 좋은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0108,처음 맡았을 때 호불호 적은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0109,여자들이 좋아할 만한 남자 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0110,남자가 쓰기 좋은 머스크 향수 추천해줘,False,False,STILL_WRONG,False,False,SAME_WRONG,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0111,남자가 쓰기 좋은 파우더리 향수 추천해줘,False,True,FIXED,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0112,깨끗하고 포근한 느낌의 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0113,샤워하고 나온 것 같은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
