group,cell,cell_note,text,source,expect,lexicon_core_v1_17,matches_expect,note,pipeline_runs_with_results,pipeline_cores_3runs
꿀·잼,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),잼,hand,막힘,,Y,,,
꿀·잼,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),꿀 같은 거 추천해줘,hand,막힘,,Y,,,
꿀·잼,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,달콤한 과일 향이 진하고 하얀 꽃 향도 풍성했으면 좋겠어. 꿀처럼 부드러운 단향과 상큼함도 원해.,synth,통과,caramel|citrus|floral|sweet|white floral,Y,,,
꿀·잼,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,잘 익은 과일에 꿀을 뿌린 듯한 향을 찾고 있어. 화사한 흰 꽃이 섞이고 너무 무겁지는 않았으면 해.,synth,통과,floral|fruity|sweet|white floral,Y,,,
꿀·잼,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,달달한 과일 잼 같은 향을 찾는데 숲의 나무 향이 깊게 받쳐줬으면 해. 끝에는 감귤의 상큼함도 조금 있으면 좋아.,synth,통과,caramel|citrus|sweet|woody,Y,,,
이불·침구·침대,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,책장 받침대가 흔들려서 고쳐야 해,word:받침대,막힘,,Y,,0/3,
이불·침구·침대,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,부산까지 침대차 타고 갔어,word:침대차,막힘,,Y,,0/3,
이불·침구·침대,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,야간열차 침대칸 예매했다,word:침대칸,막힘,,Y,,0/3,
이불·침구·침대,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,이불킥 하고 싶은 느낌 알지,w81:이불킥,통과,powdery|soapy,Y,,3/3,powdery|soapy
이불·침구·침대,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,받침대 하나 사려는데 향수 진열용으로 쓸 거야,word:받침대,통과,powdery|soapy,Y,,3/3,powdery|soapy
이불·침구·침대,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,침대칸 냄새가 좀 답답했어,word:침대칸,통과,powdery|soapy,Y,,3/3,powdery|soapy
이불·침구·침대,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,침대 새로 사려고 알아보는 중이야,hand,막힘,,Y,,0/3,
이불·침구·침대,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,이불 빨아서 널어놨어,hand,막힘,,Y,,3/3,powdery|soapy
이불·침구·침대,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,침구 세트 어디서 사는 게 싸?,hand,막힘,,Y,,0/3,
이불·침구·침대,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,이불에서 쉰 냄새가 나는데 어떻게 없애?,hand,통과,powdery|soapy,Y,,3/3,powdery|soapy
이불·침구·침대,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,침대 밑에서 이상한 냄새가 나,hand,통과,powdery|soapy,Y,,3/3,powdery|soapy
이불·침구·침대,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,침구 정리하는 느낌으로 방을 치웠다,hand,통과,powdery|soapy,Y,,3/3,powdery|soapy
이불·침구·침대,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),이불,hand,막힘,,Y,,,
이불·침구·침대,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),침대,hand,막힘,,Y,,,
이불·침구·침대,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),침구 같은 거,hand,막힘,,Y,,,
이불·침구·침대,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,주말 오후에 따뜻한 햇살을 받으며 침대 위에 누워있는 듯한 느낌의 향수 추천해줘,survey,통과,powdery|soapy,Y,,,
이불·침구·침대,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,사계절 데일리로 쓸 빨래 향이면 좋겠어. 깨끗한 면이불처럼 편안하면서 살짝 보송한 꽃향도 있었으면 해.,synth,통과,fresh|powdery|soapy,Y,,,
이불·침구·침대,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,이불 냄새 같은 포근한 향 추천해줘,hand,통과,powdery|soapy,Y,,,
빨래·세탁,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,운동해서 빨래판 복근 만들고 싶다,word:빨래판,막힘,,Y,,0/3,
빨래·세탁,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,돈세탁 혐의로 수사받고 있대,word:돈세탁,막힘,,Y,,0/3,
빨래·세탁,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,빨래판에 문질러 빠는 건 옛날 방식이지,word:빨래판,막힘,,Y,,0/3,
빨래·세탁,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,세탁기 돌리면서 향수 생각났어,word:세탁기,통과,fresh|soapy,Y,,3/3,fresh|soapy
빨래·세탁,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,돈세탁이라는 말 어감이 이상한 느낌이야,word:돈세탁,통과,fresh|soapy,Y,,3/3,fresh|soapy
빨래·세탁,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,빨래판 복근 느낌 나게 운동하려면,word:빨래판,통과,fresh|soapy,Y,,3/3,fresh|soapy
빨래·세탁,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,빨래가 안 말라서 걱정이야,hand,막힘,,Y,,0/3,
빨래·세탁,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,세탁소에 코트 맡겼어,hand,막힘,,Y,,1/3, ; fresh|soapy
빨래·세탁,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,오늘 빨래 두 번 돌렸다,hand,막힘,,Y,,2/3, ; fresh|soapy ; soapy
빨래·세탁,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,빨래에서 쉰 냄새가 나는데 세제를 바꿔야 하나,hand,통과,fresh|soapy,Y,,3/3,fresh|soapy
빨래·세탁,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,세탁실에서 곰팡이 냄새가 나,hand,통과,fresh|soapy,Y,,3/3,fresh|soapy
빨래·세탁,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,빨래 널 때 느낌이 좋아,hand,통과,fresh|soapy,Y,,3/3,fresh|soapy
빨래·세탁,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),빨래,hand,막힘,,Y,,,
빨래·세탁,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),세탁,hand,막힘,,Y,,,
빨래·세탁,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),빨래 같은 거 추천,hand,막힘,,Y,,,
빨래·세탁,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,내가 원하는 향수는 향이 너무 강하지 않았으면 좋겠어. 그리고 빨래향 같이 자연스러운 향이면 좋겠어,survey,통과,fresh|soapy,Y,,,
빨래·세탁,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,갓 세탁한 흰 셔츠처럼 깨끗한 향을 찾고 있어. 오렌지꽃 느낌에 고소하고 부드러운 아몬드 향이 남으면 좋겠어.,synth,통과,fresh|soapy,Y,,,
빨래·세탁,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,단정하고 클래식한 향을 찾고 있어. 꽃 향과 깨끗한 세탁물 같은 느낌이 나고 포근한 분 향이 남았으면 좋겠어.,synth,통과,aquatic|fresh|soapy,Y,,,
산림,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,산림청 채용공고 언제 올라와?,word:산림청,막힘,,Y,,0/3,
산림,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,산림법 개정안이 통과됐대,word:산림법,막힘,,Y,,0/3,
산림,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,산림조합 대출 조건 알아보는 중,word:산림조합,막힘,,Y,,0/3,
산림,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,산림청 홈페이지 느낌이 옛날 같아,word:산림청,통과,woody,Y,,3/3,woody
산림,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,산림박물관 갔는데 나무 냄새가 좋더라,word:산림박물관,통과,woody,Y,,3/3,woody
산림,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,산림녹화 사업이 어떤 느낌인지 알려줘,word:산림녹화,통과,woody,Y,,3/3,woody
산림,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,주말에 산림욕 하러 갈까 해,hand,막힘,,Y,,3/3,conifer|foresty|fresh ; conifer|foresty|green ; foresty|fresh|woody
산림,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,산림이 우거진 데서 캠핑했어,hand,막힘,,Y,,3/3,conifer|earthy|foresty ; conifer|foresty|fresh
산림,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,산림 훼손이 심각하다고 하더라,hand,막힘,,Y,,1/3, ; earthy|foresty|green
산림,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,산림에서 나는 냄새가 좋아서 자주 가,hand,통과,woody,Y,,3/3,woody
산림,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,산림욕장 느낌이 어떤지 궁금해,hand,통과,woody,Y,,3/3,woody
산림,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,산림 향이 나는 방향제 있어?,hand,통과,woody,Y,,3/3,woody
산림,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),산림,hand,막힘,,Y,,,
산림,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),산림 같은 거,hand,막힘,,Y,,,
산림,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),산림 추천,hand,막힘,,Y,,,
산림,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,산림 향 나는 향수 추천해줘,hand,통과,woody,Y,,,
산림,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,산림 냄새 같은 느낌의 향수를 찾고 있어,hand,통과,woody,Y,,,
산림,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,깊은 산림에 들어간 느낌의 향수면 좋겠어,hand,통과,woody,Y,,,
분내,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,왜 그렇게 분내고 그래,w81:분내다,막힘,,Y,,0/3,
분내,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,도분내지 말고 차분히 얘기해,word:도분내,막힘,,Y,,0/3,
분내,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,분내는 사람이랑은 일 못 하겠어,w81:분내다,막힘,,Y,,0/3,
분내,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,분내는 느낌으로 말하지 마,w81:분내다,통과,musky|powdery,Y,,3/3,musky|powdery
분내,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,분내면서 향수 얘기를 하더라,w81:분내다,통과,musky|powdery,Y,,3/3,musky|powdery
분내,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,분내는 사람 특유의 냄새가 있어,w81:분내다,통과,musky|powdery,Y,,3/3,musky|powdery
분내,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,할머니 화장대에서 분내가 났다,hand,막힘,,Y,,1/3, ; animalic
분내,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,옛날 사진관에 가면 분내가 배어 있어,hand,막힘,,Y,,3/3,musky|powdery
분내,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,분내 때문에 재채기가 나,hand,막힘,,Y,,0/3,
분내,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,분내 나는 느낌이 싫어서 화장품을 바꿨어,hand,통과,musky|powdery,Y,,3/3,musky|powdery
분내,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,이 파운데이션은 분내 냄새가 심해,hand,통과,musky|powdery,Y,,3/3,musky|powdery
분내,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,분내 향이 나는 화장품은 피하고 싶어,hand,통과,musky|powdery,Y,,3/3,musky|powdery
분내,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),분내,hand,막힘,,Y,,,
분내,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),분내 같은 거,hand,막힘,,Y,,,
분내,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),분내 추천해줘,hand,막힘,,Y,,,
분내,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,분내 나는 향수 추천해줘,hand,통과,musky|powdery,Y,,,
분내,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,분내 같은 느낌의 향수를 찾고 있어,hand,통과,musky|powdery,Y,,,
분내,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,포근한 분내 향이 나는 향수면 좋겠어,hand,통과,musky|powdery,Y,,,
잔디·초록,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,초록마을에서 장 봐 왔어,word:초록마을,막힘,,Y,,0/3,
잔디·초록,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,초록물고기라는 영화 봤어?,word:초록물고기,막힘,,Y,,0/3,
잔디·초록,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,초록불에 길을 건넜다,w81:초록불,막힘,,Y,,0/3,
잔디·초록,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,초록불 기다리는 느낌으로 서 있었어,w81:초록불,통과,green,Y,,3/3,green
잔디·초록,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,초록마을 매장 냄새가 특이해,word:초록마을,통과,green,Y,,3/3,green
잔디·초록,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,초록물고기 분위기 같은 향수 있을까,word:초록물고기,통과,green,Y,,3/3,green
잔디·초록,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,잔디 깎는 기계를 빌렸어,hand,막힘,,Y,,3/3,earthy|fresh|green ; fresh|green
잔디·초록,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,초록색 옷을 하나 샀다,hand,막힘,,Y,,0/3,
잔디·초록,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,잔디밭에 앉아서 쉬었어,hand,막힘,,Y,,3/3,earthy|fresh|green ; fresh|green ; fresh|green|woody
잔디·초록,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,잔디밭 냄새 나는 데서 놀았어,hand,통과,green,Y,,3/3,green
잔디·초록,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,잔디 깎은 다음 냄새가 계속 남아,hand,통과,green,Y,,3/3,green
잔디·초록,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,초록 잎을 비비면 느낌이 좋아,hand,통과,green,Y,,3/3,green
잔디·초록,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),잔디,hand,막힘,,Y,,,
잔디·초록,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),초록,hand,막힘,,Y,,,
잔디·초록,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),잔디 같은 거 추천,hand,막힘,,Y,,,
잔디·초록,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,나무와 허브 향이 진하면서 레몬처럼 상큼했으면 좋겠어. 초록 잎과 톡 쏘는 향신료 느낌도 원해.,synth,통과,citrus|green|woody,Y,,,
잔디·초록,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,숲과 허브 정원을 걷는 듯한 향을 찾고 있어. 초록 잎 냄새가 선명하고 장미 향이 살짝 더해지면 좋겠어.,synth,통과,green|woody,Y,,,
잔디·초록,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,자연스럽고 상쾌한 향이면 좋겠어. 마른 나무와 초록 잎 향이 강하고 살짝 알싸한 느낌도 있었으면 해.,synth,통과,green|woody,Y,,,
껍질,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,바닷가에서 조개껍질 주웠어,word:조개껍질,막힘,coconut|tropical,N,껍질 은 막혔다. 같은 문장의 `바닷가`(표현 `휴양지`·조건 없음)가 coconut·tropical 을 낸다. 문장을 고치지 않고 남긴다 — 조건 없는 표면형 80개가 새는 경로의 실제 사례다,3/3,coconut|tropical
껍질,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,베개껍질을 새로 갈았다,word:베개껍질,막힘,,Y,,3/3,fresh|paper|soapy ; fresh|powdery|soapy ; soapy
껍질,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,졸려서 눈껍질이 무겁다,word:눈껍질,막힘,,Y,,0/3,
껍질,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,조개껍질에서 바다 냄새가 나,word:조개껍질,통과,citrus,Y,,3/3,citrus
껍질,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,베개껍질 느낌이 까슬까슬해,word:베개껍질,통과,citrus,Y,,3/3,citrus
껍질,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,눈껍질 무거운 느낌이 안 없어진다,word:눈껍질,통과,citrus,Y,,3/3,citrus
껍질,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,달걀 껍질 까느라 힘들었어,hand,막힘,,Y,,0/3,
껍질,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,바나나 껍질에 미끄러질 뻔했다,hand,막힘,,Y,,2/3, ; fruity
껍질,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,양파 껍질을 벗기다 울었어,hand,막힘,,Y,,0/3,
껍질,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,귤 껍질 냄새가 손에 배었어,hand,통과,citrus,Y,,3/3,citrus
껍질,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,마늘 껍질 까는 느낌이 싫어,hand,통과,citrus,Y,,3/3,citrus
껍질,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,생선 껍질 냄새가 집에 배었다,hand,통과,citrus,Y,,3/3,citrus
껍질,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),껍질,hand,막힘,,Y,,,
껍질,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),껍질 같은 거,hand,막힘,,Y,,,
껍질,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),껍질 추천해줘,hand,막힘,,Y,,,
껍질,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,갓 자른 자몽 껍질처럼 생생한 향이면 좋겠어. 시원하고 기분 좋아지지만 약간 씁쓸한 느낌도 있었으면 해.,synth,통과,citrus,Y,,,
껍질,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,인공적인 사탕 향 말고 실제 감귤 껍질 같은 향을 원해. 맑고 반짝이는 느낌에 은은한 나무 향도 있었으면 좋겠어.,synth,통과,citrus|woody,Y,,,
껍질,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,더운 여행지에서 쓸 상큼한 향을 찾고 있어. 쌉싸름한 오렌지 껍질과 탄산음료 같은 톡 쏘는 느낌이면 좋겠어.,synth,통과,citrus|coconut|tropical,Y,,,
시럽,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,그 사람 참 귀찬시럽다,word:귀찬시럽,막힘,,Y,,0/3,
시럽,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,거치장시럽게 왜 이렇게 짐이 많아,word:거치장시럽,막힘,,Y,,0/3,
시럽,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,징글시럽다 정말,word:징글시럽,막힘,,Y,,1/3, ; caramel|gourmand|sweet
시럽,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,귀찬시럽은 느낌이 딱 들었어,word:귀찬시럽,통과,sweet,Y,,3/3,sweet
시럽,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,거치장시럽다는 말이 향토적인 느낌이야,word:거치장시럽,통과,sweet,Y,,3/3,sweet
시럽,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,징글시럽은 냄새가 난다고 하더라,word:징글시럽,통과,sweet,Y,,3/3,sweet
시럽,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,카페에서 시럽 두 번 추가했어,hand,막힘,,Y,,2/3, ; caramel|coffee ; coffee|gourmand|sweet
시럽,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,팬케이크에 시럽을 부었다,hand,막힘,,Y,,3/3,caramel|gourmand|sweet
시럽,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,시럽 없는 커피로 주세요,hand,막힘,,Y,,3/3,bitter|coffee ; coffee ; coffee|gourmand
시럽,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,시럽 냄새가 손에 남았어,hand,통과,sweet,Y,,3/3,sweet
시럽,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,시럽 향이 들어간 커피는 별로야,hand,통과,sweet,Y,,3/3,caramel|sweet ; sweet
시럽,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,시럽 뿌린 느낌으로 달게 해 주세요,hand,통과,sweet,Y,,3/3,sweet
시럽,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),시럽,hand,막힘,,Y,,,
시럽,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),시럽 같은 거,hand,막힘,,Y,,,
시럽,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),시럽 추천해줘,hand,막힘,,Y,,,
시럽,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,시럽 같은 달콤한 향 추천해줘,hand,통과,caramel|sweet,Y,,,
시럽,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,시럽 냄새처럼 진하게 단 향수를 찾아,hand,통과,sweet,Y,,,
시럽,C2,향 요청 + 조건 낱말 있음 / 기대: 산다,시럽 향이 나는 향수면 좋겠어,hand,통과,sweet,Y,,,
깨끗한 계열,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,방을 깨끗한 상태로 유지하고 싶어,hand,막힘,,Y,,0/3,
깨끗한 계열,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,책상을 깔끔하게 정리했다,hand,막힘,,Y,,0/3,
