번호,갈래,문장,향수,채점 조건 C,생성에 쓴 자료,perfume_id,sentence_no,어색한가_YN,규칙위반_YN,설명이안됨_YN,메모
19,B,한여름에 쓸 진짜 자몽 같은 향을 찾고 있어. 달기보다 쌉싸름하고 상큼하면서 개성이 뚜렷했으면 좋겠어.,Guerlain / Aqua Allegoria Pamplelune,"citrus, aromatic, fresh spicy",Great for summer / Uplifting and joyful / Unique and interesting / Photorealistic and authentic grapefruit opening / Fresh and original / Exceptional longevity for a citrus fragran,57,1,,,,
20,B,무난한 향보다 호불호 갈릴 정도로 진한 향을 원해. 짙은 연기와 마른 나무가 겹치는 느낌이면 좋겠어.,Afnan / Supremacy Incense,"amber, smoky, fresh spicy",Good performance / Outstanding projection and lasting power / Insane sillage / Very good copy of Interlude man / Stellar drydown / Better value than Swiss Arabian Shaghaf Oud Abyad,64372,3,,,,
21,B,성숙한 느낌의 바닐라 향이면 좋겠어. 설탕처럼 단 향보다 꽃에서 나는 달콤함처럼 부드러웠으면 해.,Perris Monte Carlo / Vanille de Tahiti,"vanilla, sweet, floral","Realistic floral vanilla scent / Not overly boozy or spicy / Long-lasting on skin and clothes / No citrus topnotes / Creamy floral nectar, not sugary sweet / Unisex fragrance with ",61811,2,,,,
22,B,데이트나 가까운 자리에서 인상적인 향을 원해. 부드러운 가죽과 짙은 꽃향이 겹치고 성숙한 느낌이면 좋겠어.,Francesca Bianchi / The Lover's Tale,"leather, powdery, woody","Unique scent / Longevity / Strong sillage / Complex, evolving, and highly artistic composition / Erotic, sensual, and deeply intimate character / Elegant, vintage-style leather and",51499,2,,,,
23,B,매일 부담 없이 쓸 여성스러운 향이면 좋겠어. 은은한 꽃다발 느낌에 살짝 톡 쏘는 향이 섞였으면 해.,Avon / Today Tomorrow Always Forever,"white floral, musky, floral","Pretty color and heavy glass bottle / Orange blossom makes the floral scent nice / Soft musk note that is not overpowering / Versatile for daily and professional wear / Fresh, soft",14694,2,,,,
24,B,봄여름에 쓸 싱그러운 향이면 좋겠어. 햇볕 받은 정원처럼 초록 향이 풍성하고 감귤의 쌉싸름함도 있었으면 해.,Hermès / Un Jardin en Méditerranée,"aromatic, woody, citrus","Great for warmer seasons / High-quality, natural-smelling ingredients / Full-bodied undertones of evergreens / Masterfully blended green aromatic profile / Accurately captures Medi",19,3,,,,
25,B,회사에서 부담 없이 쓸 수 있는 단정한 향이면 좋겠어. 비누처럼 깨끗하면서 크림 같은 아몬드 향이 났으면 해.,Maison Martin Margiela / Flying,"citrus, white floral, floral","Addictive creamy almond and musk dry down / Authentic, high-quality neroli and orange blossom / Non-offensive, sophisticated office and daily scent / Versatile unisex appeal for ca",41188,2,,,,
26,B,달콤한 장미 향을 찾고 있는데 귀엽거나 소녀 같은 느낌은 싫어. 검은 열매와 흙내음이 섞여 깊었으면 해.,Sisley / Izia La Nuit,"rose, floral, fruity",Classy but not old-fashioned / Luxurious and sophisticated / Beautiful rose backed up with black currant and patchouli / Mysterious and darker aura / A balanced fruitiness that is ,64679,1,,,,
27,B,라벤더 향이 또렷하면서 은은하게 달콤한 향을 찾고 있어. 차분하고 고전적인 분위기면 좋겠어.,Caron / Pour Un Homme de Caron,"lavender, vanilla, aromatic","Classic scent from another era / Minimalist beauty through simple, elegant construction / Sharp lavender, musk, and vanilla components / Great for aromatherapy enthusiasts / Natura",3166,1,,,,
28,B,밤에 쓰기 좋은 따뜻한 과일 향을 원해. 사과의 달콤함과 매콤한 향이 섞이고 뒤에는 크림처럼 부드러웠으면 해.,Guess / Guess Seductive Noir Homme,"fresh spicy, aromatic, fruity","Decent value for money / Excellent value for beginning collectors / Solid performance and longevity for the price / Smooth, creamy, and pleasant tonka dry down / Perfect for evenin",56993,3,,,,
29,B,가죽 향을 좋아하지만 너무 거칠지 않은 걸 찾고 있어. 처음은 야성적이어도 나중에는 부드럽고 포근했으면 좋겠어.,L'Artisan Parfumeur / Dzing!,"sweet, leather, caramel","Unexpected and unique combination of notes / Soft, comforting, and pretty dry down / Cozy and not intimidating leather scent / Unisex fragrance / High-quality, satisfying niche col",1953,1,,,,
30,B,남녀 누구나 쓰기 좋은 깔끔한 향을 원해. 세탁한 옷과 깨끗한 피부가 떠오르고 너무 달지 않았으면 좋겠어.,Carner Barcelona / Besos,"powdery, musky, iris",Ultra-clean fresh laundry scent profile / Versatile unisex appeal for all seasons / Safe non-offensive office and daily wear / Sophisticated blend of iris and musk / Comforting cle,44281,3,,,,
