query_id,system,field,outcome,gold_item,pred_item,gold_key,pred_key,match_tier,excess_tokens,resolution_status
UQ0049,rule,additional,FN,나한테 맞는,,나한테 맞는,,,,EMPTY_PREDICTION
UQ0050,rule,additional,FN,향수 입문자,,향수 입문자,,,,EMPTY_PREDICTION
UQ0050,rule,additional,FN,괜찮은 향수,,괜찮은,,,,EMPTY_PREDICTION
UQ0051,rule,additional,FN,향수 입문용,,향수 입문용,,,,EMPTY_PREDICTION
UQ0051,rule,additional,FN,조말론,,조말론,,,,EMPTY_PREDICTION
UQ0051,rule,additional,FN,메종 마르지엘라,,메종 마르지엘라,,,,EMPTY_PREDICTION
UQ0052,rule,avoid,FN,달콤한 향기,,sweet,,,,EMPTY_PREDICTION
UQ0052,rule,additional,FN,화한거,,화한,,,,EMPTY_PREDICTION
UQ0053,rule,additional,FN,맑고 산뜻,,맑고 산뜻,,,,EMPTY_PREDICTION
UQ0054,rule,avoid,FN,너무 음식같은 느낌,,너무 음식같은,,,,EMPTY_PREDICTION
UQ0054,rule,additional,FN,홍차향,,홍차,,,,EMPTY_PREDICTION
UQ0055,rule,additional,FN,플로럴 계열,,floral,,,,EMPTY_PREDICTION
UQ0055,rule,additional,FN,톡 쏘는 거,,톡 쏘는,,,,EMPTY_PREDICTION
UQ0055,rule,scent,TP,floral,floral,floral,floral,EXACT,0.0,
UQ0056,rule,avoid,FN,너무 진한 향,,너무 진한,,,,EMPTY_PREDICTION
UQ0056,rule,additional,FN,아로마 계열,,아로마,,,,EMPTY_PREDICTION
UQ0056,rule,scent,FN,aromatic,,aromatic,,,,EMPTY_PREDICTION
UQ0057,rule,additional,FN,대학교 들어가는데,,대학교 들어가는데,,,,EMPTY_PREDICTION
UQ0057,rule,additional,FN,어른스러운,,어른스러운,,,,EMPTY_PREDICTION
UQ0058,rule,additional,FN,겨울 느낌,,winter,,,,EMPTY_PREDICTION
UQ0058,rule,additional,FN,서늘한 여자,,서늘한 여자,,,,EMPTY_PREDICTION
UQ0059,rule,additional,FN,무조건 달콤한 향,,무조건 달콤한,,,,EMPTY_PREDICTION
UQ0059,rule,additional,FN,약간 민트계열,,약간 민트,,,,EMPTY_PREDICTION
UQ0059,rule,scent,FN,Mint,,mint,,,,EMPTY_PREDICTION
UQ0060,rule,additional,FN,살같에서 날 것 같은,,살같에서 날 것 같은,,,,EMPTY_PREDICTION
UQ0060,rule,additional,FN,베이비 파우더,,베이비 파우더,,,,EMPTY_PREDICTION
UQ0061,rule,additional,FN,흰 꽃에서만 나는 맑은 향,,흰 꽃에서만 나는 맑은,,,,EMPTY_PREDICTION
UQ0061,rule,scent,TP,Citrus,citrus,citrus,citrus,EXACT,0.0,
UQ0062,rule,additional,FN,풍성한 복숭아,,풍성한 복숭아,,,,EMPTY_PREDICTION
UQ0062,rule,additional,FN,폭닥,,폭닥,,,,EMPTY_PREDICTION
UQ0062,rule,scent,FN,Peach,,peach,,,,EMPTY_PREDICTION
UQ0063,rule,additional,FN,쨍한 허브 비누향,,쨍한 허브 비누,,,,EMPTY_PREDICTION
UQ0063,rule,additional,FN,세제 잔뜩,,세제 잔뜩,,,,EMPTY_PREDICTION
UQ0063,rule,scent,FN,herbal,,herbal,,,,EMPTY_PREDICTION
UQ0063,rule,scent,FN,Soap,,soap,,,,EMPTY_PREDICTION
UQ0064,rule,additional,FN,차가운데,,차가운데,,,,EMPTY_PREDICTION
UQ0064,rule,additional,FN,쨍한,,쨍한,,,,EMPTY_PREDICTION
UQ0065,rule,additional,FN,잔향 좋은 거,,잔향 좋은,,,,EMPTY_PREDICTION
UQ0065,rule,additional,FN,선호 없음,,선호 없음,,,,EMPTY_PREDICTION
UQ0066,rule,additional,FN,자연스러운,,자연스러운,,,,EMPTY_PREDICTION
UQ0066,rule,additional,FN,은은한 살냄새,,은은한 살,,,,EMPTY_PREDICTION
UQ0067,rule,additional,FN,담백,,담백,,,,EMPTY_PREDICTION
UQ0067,rule,additional,FN,부드러운,,부드러운,,,,EMPTY_PREDICTION
UQ0067,rule,additional,FN,엣지있는,,엣지있는,,,,EMPTY_PREDICTION
UQ0068,rule,additional,FN,장마철,,장마철,,,,EMPTY_PREDICTION
UQ0068,rule,additional,FN,호수에 떠있는 연꽃,,호수에 떠있는 연꽃,,,,EMPTY_PREDICTION
UQ0069,rule,additional,FN,땀 냄새랑 섞여도 안 이상한 거,,땀 냄새랑 섞여도 안 이상한,,,,EMPTY_PREDICTION
UQ0069,rule,additional,FN,바디스프레이,,바디스프레이,,,,EMPTY_PREDICTION
UQ0070,rule,additional,FN,10만원 이내,,10만원 이내,,,,EMPTY_PREDICTION
UQ0070,rule,additional,FN,저렴한,,저렴한,,,,EMPTY_PREDICTION
UQ0070,rule,additional,FN,시원한,,fresh,,,,EMPTY_PREDICTION
UQ0071,rule,additional,FN,20만원 이내,,20만원 이내,,,,EMPTY_PREDICTION
UQ0071,rule,additional,FN,조합 괜찮은,,조합 괜찮은,,,,EMPTY_PREDICTION
UQ0071,rule,additional,FN,향수 2개,,향수 2개,,,,EMPTY_PREDICTION
UQ0072,rule,additional,FN,이슬을 머금은 장미,,이슬을 머금은 장미,,,,EMPTY_PREDICTION
UQ0072,rule,scent,FN,Rose,,rose,,,,EMPTY_PREDICTION
UQ0073,rule,additional,FN,첫 인상이 포근,,첫 인상이 포근,,,,EMPTY_PREDICTION
UQ0073,rule,additional,FN,릴랙싱,,릴랙싱,,,,EMPTY_PREDICTION
UQ0074,rule,additional,FN,비 오는 날,,비 오는 날,,,,EMPTY_PREDICTION
UQ0074,rule,additional,FN,30대,,30대,,,,EMPTY_PREDICTION
UQ0075,rule,additional,FN,회사,,회사,,,,EMPTY_PREDICTION
UQ0075,rule,additional,FN,중요한 공식석상,,중요한 공식석상,,,,EMPTY_PREDICTION
UQ0076,rule,additional,FN,산뜻,,산뜻,,,,EMPTY_PREDICTION
UQ0076,rule,additional,FN,과일냄새,,과일,,,,EMPTY_PREDICTION
UQ0077,rule,additional,FN,템버린즈 볼드 시트러스랑 비슷한 향수,,템버린즈 볼드 시트러스랑 비슷한,,,,EMPTY_PREDICTION
UQ0077,rule,scent,FP,,citrus,,citrus,,,
UQ0078,rule,additional,FN,가볍고,,light,,,,EMPTY_PREDICTION
UQ0078,rule,additional,FN,부드러운,,부드러운,,,,EMPTY_PREDICTION
UQ0079,rule,additional,FN,물 대신 과즙을 마시고 자란 꽃,,물 대신 과즙을 마시고 자란 꽃,,,,EMPTY_PREDICTION
UQ0080,rule,additional,FN,바다에 누워서,,바다에 누워서,,,,EMPTY_PREDICTION
UQ0080,rule,additional,FN,하늘을 올려다보고있는 듯,,하늘을 올려다보고있는 듯,,,,EMPTY_PREDICTION
UQ0080,rule,scent,FN,Sea Notes,,sea notes,,,,EMPTY_PREDICTION
UQ0081,rule,additional,FN,휴양지에 놀러갔을 때,,휴양지에 놀러갔을 때,,,,EMPTY_PREDICTION
UQ0082,rule,additional,FN,슥 지나갔을 때,,슥 지나갔을 때,,,,EMPTY_PREDICTION
UQ0082,rule,additional,FN,향이 너무 좋아서 사람들이 다 돌아볼 것 같은,,향이 너무 좋아서 사람들이 다 돌아볼 것 같은,,,,EMPTY_PREDICTION
UQ0083,rule,additional,FN,귀엽고,,귀엽고,,,,EMPTY_PREDICTION
UQ0083,rule,additional,FN,산뜻한,,산뜻한,,,,EMPTY_PREDICTION
UQ0083,rule,additional,FN,20대,,20대,,,,EMPTY_PREDICTION
UQ0084,rule,additional,FN,40대,,40대,,,,EMPTY_PREDICTION
UQ0084,rule,additional,FN,데일리 향수,,데일리,,,,EMPTY_PREDICTION
UQ0085,rule,additional,FN,시원한 향수,,fresh,,,,EMPTY_PREDICTION
UQ0086,rule,additional,FN,데일리로 쓰기 좋은,,데일리로 쓰기 좋은,,,,EMPTY_PREDICTION
UQ0087,rule,scent,TP,woody,woody,woody,woody,EXACT,0.0,
UQ0088,rule,additional,FN,출근,,출근,,,,EMPTY_PREDICTION
UQ0088,rule,additional,FN,부담 없이,,부담 없이,,,,EMPTY_PREDICTION
UQ0089,rule,additional,FN,소개팅,,소개팅,,,,EMPTY_PREDICTION
UQ0090,rule,additional,FN,데이트,,데이트,,,,EMPTY_PREDICTION
UQ0090,rule,additional,FN,반응 좋은,,반응 좋은,,,,EMPTY_PREDICTION
UQ0091,rule,additional,FN,회사,,회사,,,,EMPTY_PREDICTION
UQ0091,rule,additional,FN,은은한,,은은한,,,,EMPTY_PREDICTION
UQ0092,rule,avoid,FN,향이 너무 세,,향이 너무 세,,,,EMPTY_PREDICTION
UQ0093,rule,additional,FN,인기많은 남자,,인기많은 남자,,,,EMPTY_PREDICTION
UQ0094,rule,additional,FN,흔하지 않으면서,,흔하지 않으면서,,,,EMPTY_PREDICTION
UQ0094,rule,additional,FN,섹시한,,섹시한,,,,EMPTY_PREDICTION
UQ0095,rule,additional,FN,햇살 내리쬐는 일본 여름,,햇살 내리쬐는 일본 여름,,,,EMPTY_PREDICTION
UQ0096,rule,additional,FN,꿀 향,,꿀 향,,,,EMPTY_PREDICTION
UQ0097,rule,additional,FN,마사지숍,,마사지숍,,,,EMPTY_PREDICTION
UQ0098,rule,additional,FN,양키캔들 핑크 샌즈,,양키캔들 핑크 샌즈,,,,EMPTY_PREDICTION
UQ0099,rule,additional,FN,갓 세탁한 포근한 이불,,갓 세탁한 포근한 이불,,,,EMPTY_PREDICTION
UQ0100,rule,additional,FN,샤넬 no5랑 믹스해서 사용하기 좋은,,샤넬 no5랑 믹스해서 사용하기 좋은,,,,EMPTY_PREDICTION
UQ0101,rule,additional,FN,달달한 꽃,,달달한 꽃,,,,EMPTY_PREDICTION
UQ0102,rule,additional,FN,아빠 선물용,,아빠 선물용,,,,EMPTY_PREDICTION
UQ0102,rule,additional,FN,실패 확률 낮은,,실패 확률 낮은,,,,EMPTY_PREDICTION
UQ0103,rule,additional,FN,스트릿룩이랑 어울리는,,스트릿룩이랑 어울리는,,,,EMPTY_PREDICTION
UQ0104,rule,additional,FN,사계절용,,사계절용,,,,EMPTY_PREDICTION
UQ0105,rule,additional,FN,시향 없이,,시향 없이,,,,EMPTY_PREDICTION
UQ0105,rule,additional,FN,블라인드 구매,,블라인드 구매,,,,EMPTY_PREDICTION
UQ0107,rule,additional,FN,잔향이 좋은,,잔향이 좋은,,,,EMPTY_PREDICTION
UQ0108,rule,additional,FN,호불호 적은,,호불호 적은,,,,EMPTY_PREDICTION
UQ0109,rule,additional,FN,여자들이 좋아할 만한,,여자들이 좋아할 만한,,,,EMPTY_PREDICTION
UQ0110,rule,scent,FN,Musk,,musk,,,,EMPTY_PREDICTION
UQ0111,rule,scent,TP,powdery,powdery,powdery,powdery,EXACT,0.0,
UQ0112,rule,additional,FN,깨끗하고,,깨끗하고,,,,EMPTY_PREDICTION
UQ0112,rule,additional,FN,포근한,,포근한,,,,EMPTY_PREDICTION
UQ0113,rule,additional,FN,샤워하고 나온 것 같은,,샤워하고 나온 것 같은,,,,EMPTY_PREDICTION
UQ0114,rule,additional,FN,부드러운,,부드러운,,,,EMPTY_PREDICTION
UQ0114,rule,scent,TP,woody,woody,woody,woody,EXACT,0.0,
UQ0115,rule,additional,FN,호텔 로비 같은,,호텔 로비 같은,,,,EMPTY_PREDICTION
UQ0115,rule,additional,FN,고급스러운,,고급스러운,,,,EMPTY_PREDICTION
UQ0116,rule,avoid,FN,느끼,,느끼,,,,EMPTY_PREDICTION
UQ0116,rule,additional,FN,달달하지만,,달달하지만,,,,EMPTY_PREDICTION
UQ0117,rule,scent,TP,Citrus,citrus,citrus,citrus,EXACT,0.0,
UQ0118,rule,additional,FN,니치 향수 입문용,,니치 향수 입문용,,,,EMPTY_PREDICTION
UQ0119,rule,additional,FN,10만 원대,,10만 원대,,,,EMPTY_PREDICTION
UQ0120,rule,additional,FN,20만 원 이하,,20만 원 이하,,,,EMPTY_PREDICTION
UQ0120,rule,additional,FN,가성비,,가성비,,,,EMPTY_PREDICTION
UQ0121,rule,additional,FN,20대 후반,,20대 후반,,,,EMPTY_PREDICTION
UQ0122,rule,additional,FN,결혼하는 사람,,결혼하는 사람,,,,EMPTY_PREDICTION
UQ0122,rule,additional,FN,선물,,선물,,,,EMPTY_PREDICTION
UQ0123,rule,additional,FN,운동하고 뿌리면 좋을,,운동하고 뿌리면 좋을,,,,EMPTY_PREDICTION
UQ0124,rule,additional,FN,올리브영이나 백화점,,올리브영이나 백화점,,,,EMPTY_PREDICTION
UQ0124,rule,additional,FN,가장 핫,,가장 핫,,,,EMPTY_PREDICTION
UQ0124,rule,additional,FN,인기 많은,,인기 많은,,,,EMPTY_PREDICTION
UQ0125,rule,additional,FN,호불호 안 갈리고,,호불호 안 갈리고,,,,EMPTY_PREDICTION
UQ0125,rule,additional,FN,누구나 맡았을 때 '좋다'고,,누구나 맡았을 때 좋다 고,,,,EMPTY_PREDICTION
UQ0126,rule,additional,FN,향수 초보,,향수 초보,,,,EMPTY_PREDICTION
UQ0126,rule,additional,FN,실패 확률 제일 적고,,실패 확률 제일 적고,,,,EMPTY_PREDICTION
UQ0126,rule,additional,FN,다들 좋다고,,다들 좋다고,,,,EMPTY_PREDICTION
UQ0127,rule,additional,FN,제일 잘 나가냐,,제일 잘 나가냐,,,,EMPTY_PREDICTION
UQ0128,rule,additional,FN,호불호 안 갈리는,,호불호 안 갈리는,,,,EMPTY_PREDICTION
UQ0128,rule,additional,FN,여자친구 선물,,여자친구 선물,,,,EMPTY_PREDICTION
UQ0129,rule,additional,FN,비누 향,,비누,,,,EMPTY_PREDICTION
UQ0129,rule,additional,FN,세탁 건조기처럼 포근,,세탁 건조기처럼 포근,,,,EMPTY_PREDICTION
UQ0129,rule,additional,FN,깨끗한,,깨끗한,,,,EMPTY_PREDICTION
UQ0130,rule,additional,FN,향수병 디자인이 독특하거나 예술적인,,향수병 디자인이 독특하거나 예술적인,,,,EMPTY_PREDICTION
UQ0131,rule,scent,TP,woody,woody,woody,woody,EXACT,0.0,
UQ0132,rule,additional,FN,바다가 떠오르는,,바다가 떠오르는,,,,EMPTY_PREDICTION
UQ0132,rule,scent,FN,Sea Notes,,sea notes,,,,EMPTY_PREDICTION
UQ0133,rule,additional,FN,디자인이 엄청 고급스럽고 화려해서 선물용으로 소장 가치 있는 향수 병,,디자인이 엄청 고급스럽고 화려해서 선물용으로 소장 가치 있는 향수 병,,,,EMPTY_PREDICTION
UQ0134,rule,additional,FN,어떤 향수,,어떤,,,,EMPTY_PREDICTION
UQ0134,rule,additional,FN,인기가 많냐,,인기가 많냐,,,,EMPTY_PREDICTION
UQ0135,rule,additional,FN,SNS에서 인기 많은,,sns에서 인기 많은,,,,EMPTY_PREDICTION
UQ0136,rule,additional,FN,남들이 잘 안쓰는 독특한,,남들이 잘 안쓰는 독특한,,,,EMPTY_PREDICTION
UQ0137,rule,scent,FN,green,,green,,,,EMPTY_PREDICTION
UQ0137,rule,scent,FN,herbal,,herbal,,,,EMPTY_PREDICTION
UQ0139,rule,additional,FN,시크한,,시크한,,,,EMPTY_PREDICTION
UQ0139,rule,scent,FN,smoky,,smoky,,,,EMPTY_PREDICTION
UQ0139,rule,scent,FN,Leather,,leather,,,,EMPTY_PREDICTION
UQ0141,rule,additional,FN,남친한테 향수 선물,,남친한테 향수 선물,,,,EMPTY_PREDICTION
UQ0141,rule,additional,FN,제일 유명한,,제일 유명한,,,,EMPTY_PREDICTION
UQ0141,rule,additional,FN,5개,,5개,,,,EMPTY_PREDICTION
UQ0142,rule,additional,FN,밀폐된 공간,,밀폐된 공간,,,,EMPTY_PREDICTION
UQ0142,rule,additional,FN,안 어지러울만한 거,,안 어지러울만한,,,,EMPTY_PREDICTION
UQ0143,rule,additional,FN,카리스마,,카리스마,,,,EMPTY_PREDICTION
UQ0143,rule,additional,FN,딱딱한,,딱딱한,,,,EMPTY_PREDICTION
UQ0144,rule,additional,FN,5만원 이내,,5만원 이내,,,,EMPTY_PREDICTION
UQ0144,rule,additional,FN,백화점 향수,,백화점,,,,EMPTY_PREDICTION
UQ0145,rule,additional,FN,천연 향신료,,천연 향신료,,,,EMPTY_PREDICTION
UQ0145,rule,additional,FN,성분 좋은,,성분 좋은,,,,EMPTY_PREDICTION
UQ0146,rule,additional,FN,가격 상관 없음,,가격 상관 없음,,,,EMPTY_PREDICTION
UQ0146,rule,additional,FN,리한나가 쓰는 향수,,리한나가 쓰는,,,,EMPTY_PREDICTION
UQ0148,rule,avoid,FN,바닐라,,vanilla,,,,EMPTY_PREDICTION
UQ0148,rule,additional,FN,달콤한 향,,sweet,,,,EMPTY_PREDICTION
UQ0148,rule,scent,FP,,vanilla,,vanilla,,,
UQ0149,rule,avoid,FN,남자 스킨 냄새,,남자 스킨,,,,EMPTY_PREDICTION
UQ0149,rule,additional,FN,시원한 향,,fresh,,,,EMPTY_PREDICTION
UQ0150,rule,avoid,FN,무겁거나,,heavy,,,,EMPTY_PREDICTION
UQ0150,rule,avoid,FN,중후한,,중후한,,,,EMPTY_PREDICTION
UQ0150,rule,scent,TP,woody,woody,woody,woody,EXACT,0.0,
UQ0151,rule,avoid,FN,화장품 냄새,,화장품,,,,EMPTY_PREDICTION
UQ0151,rule,additional,FN,꽃향,,꽃향,,,,EMPTY_PREDICTION
UQ0152,rule,avoid,FN,패출리,,patchouli,,,,EMPTY_PREDICTION
UQ0153,rule,avoid,FN,인센스,,incense,,,,EMPTY_PREDICTION
UQ0153,rule,avoid,FN,절 냄새,,절 냄새,,,,EMPTY_PREDICTION
UQ0153,rule,additional,FN,다양한 종류로 추천,,다양한 종류로 추천,,,,EMPTY_PREDICTION
UQ0154,rule,avoid,FN,복숭아,,peach,,,,EMPTY_PREDICTION
UQ0154,rule,avoid,FN,체리,,cherry,,,,EMPTY_PREDICTION
UQ0154,rule,additional,FN,과일 향수,,과일,,,,EMPTY_PREDICTION
UQ0155,rule,additional,FN,딥티크 탐다오랑 오르페옹 중에 출근용,,딥티크 탐다오랑 오르페옹 중에 출근용,,,,EMPTY_PREDICTION
UQ0156,rule,additional,FN,블루 드 샤넬보다 덜 흔한 느낌,,블루 드 샤넬보다 덜 흔한,,,,EMPTY_PREDICTION
UQ0157,rule,additional,FN,조말론인데 조금 더 성숙한 느낌으로 바꾸고 싶어.,,조말론인데 조금 더 성숙한 느낌으로 바꾸고 싶어,,,,EMPTY_PREDICTION
UQ0158,rule,additional,FN,새벽 바닷가,,새벽 바닷가,,,,EMPTY_PREDICTION
UQ0158,rule,additional,FN,소금 냄새가 너무 강하진 않았으면,,소금 냄새가 너무 강하진 않았으면,,,,EMPTY_PREDICTION
UQ0159,rule,additional,FN,비 오는 숲,,비 오는 숲,,,,EMPTY_PREDICTION
UQ0159,rule,additional,FN,흙냄새보다는 젖은 나무 냄새,,흙냄새보다는 젖은 나무,,,,EMPTY_PREDICTION
UQ0160,rule,additional,FN,차가운 금속같은 이미지,,차가운 금속같은 이미지,,,,EMPTY_PREDICTION
UQ0160,rule,additional,FN,너무 날카롭지 않았으면,,너무 날카롭지 않았으면,,,,EMPTY_PREDICTION
UQ0161,rule,avoid,FN,시트러스,,citrus,,,,EMPTY_PREDICTION
UQ0161,rule,additional,FN,햇빛 받은 흰 셔츠,,햇빛 받은 흰 셔츠,,,,EMPTY_PREDICTION
UQ0161,rule,scent,FP,,citrus,,citrus,,,
UQ0162,rule,avoid,FN,세제 냄새,,세제,,,,EMPTY_PREDICTION
UQ0162,rule,additional,FN,호텔 침구,,호텔 침구,,,,EMPTY_PREDICTION
UQ0162,rule,additional,FN,깨끗함,,깨끗함,,,,EMPTY_PREDICTION
UQ0163,rule,additional,FN,꿀 같은 향,,꿀 같은,,,,EMPTY_PREDICTION
UQ0164,rule,avoid,FN,인위적인,,인위적인,,,,EMPTY_PREDICTION
UQ0164,rule,additional,FN,장미 꽃 향기,,장미 꽃,,,,EMPTY_PREDICTION
UQ0165,rule,scent,FN,Rose,,rose,,,,EMPTY_PREDICTION
UQ0165,rule,scent,FN,Jasmine,,jasmine,,,,EMPTY_PREDICTION
UQ0166,rule,avoid,FN,초코 향,,chocolate,,,,EMPTY_PREDICTION
