"perfume_id","sentence_no","sentence"
41188,3,"남녀 누구나 쓰기 좋고 포근한 향을 원해. 깨끗한 면옷 느낌에 은은한 꽃향과 고소한 단향이 섞였으면 좋겠어."
6693,1,"상큼한 사과 향이 확실하게 나면서 여성스럽고 예쁜 느낌의 향을 찾고 있어. 꽃향도 화사하게 섞이면 좋겠어."
6693,2,"과일향 중심인데 너무 어린 느낌은 싫어. 아삭한 사과와 풍성한 꽃향이 어우러지는 밝은 향이면 좋겠어."
6693,3,"기분 좋아지는 달콤한 과일 향을 원해. 사과가 중심이고 시간이 지나면 깨끗한 꽃비누 같은 느낌이 나면 좋겠어."
6,1,"추운 날 어울리는 신비롭고 어두운 향을 찾고 있어. 은근한 단맛이 있으면서 고전적이고 우아한 분위기면 좋겠어."
6,2,"겨울에 코트 입고 뿌릴 만한 묵직한 향이면 좋겠어. 차갑고 금속적인 첫 느낌 뒤에 부드러운 단향이 남았으면 해."
6,3,"요즘 향수처럼 가볍기보다 옛날 영화 같은 고전적인 향을 원해. 어둡고 몽환적이면서 살짝 달콤했으면 좋겠어."
1352,1,"상큼하고 달콤한 베리 향을 찾고 있어. 딸기 샴푸처럼 발랄하면서도 너무 유치하지 않은 느낌이면 좋겠어."
1352,2,"기분이 확 좋아지는 과즙 가득한 향이면 좋겠어. 잘 익은 붉은 열매 느낌에 은근히 세련된 분위기도 있었으면 해."
1352,3,"달콤한 과일 향을 좋아하는데 단순한 사탕 냄새는 싫어. 새콤한 베리와 포근한 단향이 함께 느껴졌으면 좋겠어."
14649,1,"봄여름 낮에 쓸 산뜻한 꽃향을 찾고 있어. 자몽처럼 톡 튀는 상큼함에 맑은 재스민 향이 섞이면 좋겠어."
14649,2,"초록 잎을 스친 듯 깨끗하고 생기 있는 향이면 좋겠어. 새콤한 과일과 가벼운 흰 꽃향이 함께 났으면 해."
14649,3,"답답한 꽃향 말고 바람처럼 가볍고 밝은 향을 원해. 상큼한 자몽에 싱그러운 풀과 꽃 느낌이 있었으면 좋겠어."
85038,1,"겨울에 어울리는 섹시하고 달콤한 향을 찾고 있어. 따뜻하고 진한 단향에 부드럽고 관능적인 분위기면 좋겠어."
85038,2,"낮에도 밤에도 쓸 수 있는 여성스러운 겨울 향이면 좋겠어. 달콤하고 포근하면서 살짝 매혹적인 느낌을 원해."
85038,3,"차가운 날씨에 잘 어울리는 진한 단향을 찾고 있어. 인형처럼 매끈한 달콤함과 따뜻한 분위기가 있었으면 해."
56994,1,"매일 부담 없이 쓸 수 있는 아주 은은한 향을 찾고 있어. 부드럽고 단정하면서 남들과 조금 다른 느낌이면 좋겠어."
56994,2,"가까이에서만 살짝 느껴지는 조용한 향이 좋아. 깨끗하고 우아하면서 복잡하지 않은 분위기였으면 해."
56994,3,"향수 뿌린 티가 많이 나지 않는 자연스러운 향을 원해. 가볍고 섬세하면서 차분한 느낌이면 좋겠어."
79178,1,"봄여름에 잘 어울리는 밝고 여성스러운 꽃향을 찾고 있어. 햇살 같은 따뜻함과 공기처럼 가벼운 느낌이면 좋겠어."
79178,2,"고급스럽지만 어렵지 않은 꽃향을 원해. 노란 꽃의 부드러운 달콤함에 맑고 화사한 분위기가 있었으면 좋겠어."
79178,3,"사람들이 편하게 좋아할 만한 우아한 향이면 좋겠어. 밝은 꽃향이 풍성하면서도 답답하지 않고 산뜻했으면 해."
23480,1,"달콤한 바닐라에 잘 익은 자두 향이 섞인 향수를 찾고 있어. 여성스럽고 매혹적이지만 너무 무겁진 않았으면 해."
23480,2,"매일 쓰기 좋은 과일 단향을 원해. 촉촉한 자두와 부드러운 바닐라가 어우러지고 살결처럼 포근하면 좋겠어."
23480,3,"흔한 바닐라 향보다 조금 독특했으면 해. 달콤한 자두 과즙이 먼저 느껴지고 부드러운 단향으로 이어지면 좋겠어."
39030,1,"회사에서 쓰기 좋은 단정하고 고급스러운 향을 찾고 있어. 부드러운 꽃향에 깨끗한 비누 느낌이 있었으면 좋겠어."
39030,2,"전문적이고 세련된 분위기를 주는 여성스러운 향이면 좋겠어. 크림 같은 꽃향과 포근한 깨끗함을 원해."
39030,3,"어디에나 잘 어울리는 우아한 향을 찾고 있어. 햇살을 머금은 꽃처럼 밝으면서 시간이 지나면 비누처럼 깨끗했으면 해."
56402,1,"고소한 아몬드 우유 같은 부드러운 향을 찾고 있어. 살결에 자연스럽게 붙는 듯 포근하고 관능적이면 좋겠어."
56402,2,"사계절 쓰기 좋은 은은한 향이면 좋겠어. 크림 같은 아몬드 향에 깨끗하고 따뜻한 살냄새가 섞였으면 해."
56402,3,"달달한 아몬드 향을 좋아하지만 디저트처럼 무거운 건 싫어. 부드럽고 우아하면서 가까이서 은근히 느껴지면 좋겠어."
6759,1,"첫 향은 깨끗하고 상쾌하면서 시간이 지나면 은근히 달콤해지는 남성적인 향을 찾고 있어."
6759,2,"너무 세게 남성성을 드러내지 않는 향이면 좋겠어. 단정하고 산뜻하면서 부드러운 단맛이 살짝 있었으면 해."
6759,3,"평범한 남자 향수 느낌은 피하고 싶어. 맑고 깨끗하게 시작하면서 차분한 달콤함이 이어지는 향이면 좋겠어."
6097,1,"단순하지만 기분 좋은 달콤한 향을 찾고 있어. 따뜻한 나무 냄새와 포근한 살냄새가 진하게 느껴지면 좋겠어."
6097,2,"비싸 보이면서 어렵지 않은 향이면 좋겠어. 부드러운 나무 향에 따뜻하고 달큰한 살냄새가 섞였으면 해."
6097,3,"약간 고전적인 분위기도 괜찮으니 편안하고 포근한 향을 원해. 나무와 살결 같은 따뜻한 향이 중심이면 좋겠어."
113627,1,"솜사탕과 마시멜로처럼 달콤하지만 답답하지 않은 향을 찾고 있어. 폭신하고 깨끗한 느낌이면 좋겠어."
113627,2,"사무실에서도 쓸 수 있는 가벼운 단향이면 좋겠어. 구름처럼 보송하고 달콤하면서 공기감이 있었으면 해."
113627,3,"여성스럽고 귀여운 분위기의 향을 원해. 설탕과 마시멜로 느낌이 나지만 끈적하지 않고 깨끗했으면 좋겠어."
100813,1,"가을겨울 데이트에 쓸 차분한 향을 찾고 있어. 장작 연기와 마른 나무 향이 자연스럽게 느껴지면 좋겠어."
100813,2,"남녀 모두 잘 어울리는 세련된 겨울 향이면 좋겠어. 은은한 연기 냄새와 삼나무 같은 건조한 향을 원해."
100813,3,"추운 날 가까운 자리에서 맡기 좋은 향을 찾고 있어. 따뜻한 나무와 실제 불을 피운 듯한 연기 향이 있었으면 해."
1953,1,"가죽 향을 좋아하지만 너무 거칠지 않은 걸 찾고 있어. 처음은 야성적이어도 나중에는 부드럽고 포근했으면 좋겠어."
1953,2,"평범하지 않고 이야기가 느껴지는 향이면 좋겠어. 오래된 가죽과 마른 풀 같은 느낌 뒤에 편안함이 남았으면 해."
1953,3,"남녀 구분 없이 쓸 수 있는 독특한 가죽 향을 원해. 처음엔 거칠고 동물적인데 점점 부드러워지면 좋겠어."
66891,1,"봄여름에 시원하게 쓸 파인애플 향을 찾고 있어. 달콤하고 과즙이 풍부하면서 밝고 장난스러운 느낌이면 좋겠어."
66891,2,"더운 날 뿌리기 좋은 상큼한 과일 향이면 좋겠어. 잘 익은 파인애플이 확 느껴지고 분위기는 가벼웠으면 해."
66891,3,"젊고 활기찬 느낌의 향을 원해. 새콤달콤한 파인애플이 중심이고 누구나 편하게 좋아할 만했으면 좋겠어."
4575,1,"어둡고 신비로운 향을 찾고 있어. 가죽과 나무, 약초 같은 향이 섞이고 끝에는 달콤한 나무진 느낌이 남으면 좋겠어."
4575,2,"처음엔 탄 나무나 연기처럼 거칠어도 괜찮아. 시간이 지나면서 부드럽고 달큰한 수지 향으로 변했으면 좋겠어."
4575,3,"숲속 오래된 가죽 가방 같은 묵직한 향을 원해. 흙과 약초, 연기 느낌이 있으면서 따뜻한 단맛도 있었으면 해."
34696,1,"처음에 상큼한 감귤 향이 강하게 터지고 이후에는 연기 낀 나무 향으로 바뀌는 남성적인 향을 찾고 있어."
34696,2,"밝은 과일 향으로 시작하지만 너무 가볍지 않았으면 해. 시간이 지나면 그을린 나무 같은 묵직함이 남으면 좋겠어."
34696,3,"존재감 있는 상큼한 향을 원해. 첫 향은 톡 쏘는 감귤 느낌이고 뒤에는 건조하고 연기 나는 나무 향이면 좋겠어."
