perfume_id,sentence_no,sentence
78755,3,남국에서 마시는 과일 음료 같은 향이면 좋겠어. 달달한 코코넛과 화사한 꽃 향도 함께 느껴지면 해.
1158,1,꽃향이 풍성하면서 레몬이나 귤처럼 상큼했으면 좋겠어. 전체적으로 가볍고 깨끗한 느낌이면 해.
1158,2,봄에 쓰기 좋은 화사한 꽃 향을 찾고 있어. 감귤의 산뜻함이 섞이고 무겁거나 달지 않았으면 좋겠어.
1158,3,생화와 상큼한 과일을 같이 떠올리게 하는 향이면 좋겠어. 맑고 산뜻해서 부담 없이 쓰고 싶어.
56098,1,달콤한 과일 향이 진하고 포근한 살냄새가 났으면 좋겠어. 보송한 분 향과 바닐라도 같이 원해.
56098,2,잘 익은 과일과 바닐라 크림 같은 달달한 향을 찾고 있어. 피부에 붙는 부드러운 향이면 좋겠어.
56098,3,과일 사탕처럼 달콤하지만 포근했으면 좋겠어. 화장품 분 같은 향과 깨끗한 체취 느낌도 있었으면 해.
37574,1,바닐라 향이 진하면서 레몬처럼 상큼하고 알싸했으면 좋겠어. 깊은 향나무와 하얀 꽃 향도 같이 원해.
37574,2,달콤한 바닐라와 감귤의 산뜻함이 같이 있는 향을 찾고 있어. 묵직한 나무 향도 선명했으면 좋겠어.
37574,3,처음에는 상큼하고 톡 쏘는데 뒤로 갈수록 달콤했으면 좋겠어. 진한 나무와 흰 꽃 향도 함께 나면 해.
30991,1,따뜻하고 깊은 향에 보송한 분냄새가 강했으면 좋겠어. 나무 향과 포근한 살냄새도 같이 원해.
30991,2,화장품 분처럼 부드럽지만 묵직한 향을 찾고 있어. 마른 나무 냄새와 따뜻한 피부 느낌이 있으면 좋겠어.
30991,3,포근하고 차분한 향이면 좋겠어. 보송한 느낌이 중심이고 나무와 살냄새가 은근하게 오래 남았으면 해.
51393,1,따뜻하고 깊은 향에 달콤한 바닐라가 느껴졌으면 좋겠어. 럼주 같은 술 향도 은근하게 나면 해.
51393,2,바닐라와 달콤한 술을 함께 떠올리게 하는 향을 찾고 있어. 보송하고 나무 같은 느낌도 조금 원해.
51393,3,겨울에 어울리는 포근한 단향이면 좋겠어. 바닐라가 중심이고 달큰한 술 향과 나무 냄새도 있으면 해.
1067,1,따뜻한 향신료 냄새가 강하고 나무 향도 깊었으면 좋겠어. 쌉싸름한 커피 향까지 느껴지면 해.
1067,2,커피와 따뜻한 향신료를 같이 떠올리게 하는 묵직한 향을 찾고 있어. 흙내음 나는 나무 향도 원해.
1067,3,가을겨울에 쓰기 좋은 진한 향이면 좋겠어. 매콤한 느낌과 볶은 커피 냄새가 나고 나무 향도 있었으면 해.
17665,1,나무 향과 따뜻한 향신료 느낌이 아주 진했으면 좋겠어. 럼주와 가죽 냄새도 묵직하게 느껴지면 해.
17665,2,술이 밴 나무통과 오래된 가죽을 떠올리게 하는 향을 원해. 따뜻하고 매콤한 느낌도 강했으면 좋겠어.
17665,3,깊고 거친 분위기의 향을 찾고 있어. 마른 나무와 가죽이 중심이고 달큰한 술 향도 은근히 나면 해.
68182,1,바닐라 향이 진하고 달콤한데 나무 냄새도 강했으면 좋겠어. 보송한 분 향과 흰 꽃 향도 같이 원해.
68182,2,달콤한 바닐라와 마른 나무가 어우러진 향을 찾고 있어. 부드러운 분냄새가 포근하게 남으면 좋겠어.
68182,3,따뜻한 단향이 중심이지만 묵직한 나무 느낌도 있었으면 해. 화사한 흰 꽃과 보송함도 살짝 원해.
10131,1,깨끗하고 포근한 살냄새가 강하면서 따뜻하고 깊은 느낌도 있었으면 좋겠어. 나무 향도 은근히 원해.
10131,2,피부에 자연스럽게 붙는 부드러운 향을 찾고 있어. 포근하지만 살짝 야성적인 느낌과 나무 냄새도 있으면 해.
10131,3,체취처럼 은은하게 남는 향이 중심이면 좋겠어. 따뜻하고 묵직하면서 과일의 달콤함도 조금 있었으면 해.
39123,1,나무와 허브 향이 강하고 레몬처럼 상큼했으면 좋겠어. 달콤한 과일과 하얀 꽃 향도 살짝 원해.
39123,2,숲속에서 과일을 먹는 듯한 향을 찾고 있어. 나무 냄새가 중심이고 감귤의 산뜻함과 꽃향도 있으면 해.
39123,3,차분한 나무 향인데 밝고 상쾌했으면 좋겠어. 향긋한 풀과 과일 향이 나고 흰 꽃도 은근히 느껴지면 해.
55558,1,톡 쏘는 알싸함이 강하고 허브 냄새도 선명했으면 좋겠어. 나무 향과 레몬 같은 상큼함도 함께 원해.
55558,2,상쾌하고 매콤한 느낌의 향을 찾고 있어. 숲의 나무 냄새가 받쳐주고 감귤 향도 살짝 나면 좋겠어.
55558,3,깔끔하면서 시원한 향이면 좋겠어. 향신료 같은 알싸함이 중심이고 허브와 나무 향도 함께 있었으면 해.
98848,1,나무 향이 진하고 레몬 같은 상큼함도 강했으면 좋겠어. 젖은 흙 느낌과 라벤더 향도 함께 원해.
98848,2,숲과 감귤을 같이 떠올리게 하는 향을 찾고 있어. 나무 냄새가 중심이고 차분한 꽃과 알싸함도 있으면 해.
98848,3,마른 나무와 상큼한 과일 향이 선명했으면 좋겠어. 흙내음과 라벤더 같은 편안한 꽃향도 살짝 원해.
3976,1,나무 향이 진하고 보송한 분냄새도 강했으면 좋겠어. 포근한 살냄새와 제비꽃 같은 은은한 꽃향도 원해.
3976,2,차분한 숲 향에 화장품 분 같은 부드러움이 섞였으면 좋겠어. 깨끗한 피부 향도 은근하게 나면 해.
3976,3,마른 나무 냄새가 중심인데 포근하고 보송했으면 좋겠어. 은은한 보랏빛 꽃 향도 함께 느껴지면 좋아.
49144,1,계피처럼 따뜻하고 매콤한 향이 강하면서 달콤한 과일 향도 풍성했으면 좋겠어. 나무 향도 원해.
49144,2,잘 익은 과일에 계피를 뿌린 듯한 향을 찾고 있어. 달달하면서 따뜻하고 나무 냄새가 깊게 남으면 해.
49144,3,가을겨울에 어울리는 달콤한 향이면 좋겠어. 계피 향이 선명하고 과일과 마른 나무 느낌도 함께 원해.
