source_row,query_text
78,"이번에 데이트를 하게 됬는데 지금은 여름이고 난 겨울용 향수밖에 없어. 현재 메인으로 쓰고있는 향수는 러쉬의 트와일라잇 향수고, 최애향수야. 은은한 머스크향도 좋아하고 플로럴향도 포함되어있는 여름용 향수 몇개 추천해줘."
79,"친구한테 향수를 선물해주고싶어, 탑, 미들 노트는 각각 프룻, 헤비 플로럴이고 잔향은 은은한 바닐라였으면 좋겠어. 가을이 다와가지만 여름에 대한 미련이 살짝 남은듯한 그런 느낌인 향수 추천해줘"
80,"약간 달달하지만, 인공적인 향이 나지 않고, 또 너무 강하진 않은 타인이 맡았을 때 부담스럽지 않은 향이 났으면 좋겠어요 또 지속력은 오래가면 좋을 것 같아 아 그리고 러쉬에서 맡은 20만원 정도 하는 향수 되게 향 좋았는데 이름이 기억 안 나 그거도 되게 달달했던거 같은데 좋은 향이었어 "
81,예
82,"향은 달달하고 프루티한데 은은하게 오래가는 향수 추천해줘,"
83,여름에 잘 어울리는 상쾌하고 리프레싱한 향수 추천해줘. 과일향이 나면 좋을 것 같아. 가격대는 30만원대까지 괜찮아.
84,다른사람이 향을 맡았을 때 거슬리지 않고 푸근하고 상큼한 향의 향수
85,"너는 조향사야. 나는 평소에 머스크, 시트러스를 선호하는 편인데, 여름에 사용할 무겁지 않은 향수 추천해줘. "
86,"바닐라, 코코넛 향이 나는 향수를 추천해 줘. 백화점에서 직접 살 수 있는 브랜드 향수면 좋겠어. 향수 노트와 연상되는 이미지, 브랜드, 가격을 정리해서 최대한 많이 나열해 줘."
87,"남성용 향수 추천해줘
나는 20살 남성이고 땀이 많은 편이야 땀나는데 향수냄새까지 하면 더 불쾌한 냄새가 난다고 해서 잘 알아보고 사려고해 

가능한 모든 웹페이지를 찾아보고 후기, 특성 을 잘 알아보고 추천해줘"
88,"3만원에서 10만원 사이 가격대의 향수를 추천해줘.
데이트할 때 상대방에게 나의 향을 각인시키기 위해 일상적으로 뿌려도 거부감 없고, 부담스럽지 않은 향이었으면 좋겠어.
또한 서점과 어울리는 차분하면서 안정되는 향이 좋아.
그리고 너무 여성스러운 이미지의 향보다는 중성적이거나 남성적인 향에 가까운 것이 좋아"
89,너무 인위적이지않은 코튼향 추천좀여
90,여름에 쓸 시원한 향이나 시트러스 계열의 향수를 찾고 있어. 10만원 이하의 인터넷 구매 가능한 시원한 향이나 시트러스 계열의 향수를 추천해줄래?
91,"내가 자주 사용하는 모스키노 토이2 EDP 향수가 있는데, 조금 더 저렴한 브랜드 중 이 향이랑 가장 비슷한 향 추천해줘"
92,플로럴과 시트러스 향을 위주로 여름에 잘 쓸 수 있는 향수를 추천해줘. 차분하고 성숙한 분위기가 나면 좋겠어. 근데 향이 너무 세서 머리가 아프지 않아야 해. 지속력은 길고 가격은 15만원 안으로 추천해줘.
93,"여름 장마가 올 때, 상쾌한 향기가 나는 향수를 찾고 싶어"
94,시트러스 계열의 약간 워터리한 노트를 가진 향수 추천해줄래?
95,난 꽃향이랑 약간 상큼한거 좋아해 가격 상관없이 대중적으로 인기 있는 향수 5개 추천해줘 깨끗하고 부드러운 이미지로 찾아도 돼
96,달콤한데 너무 어리거나 무겁지 않고 상큼한 과일느낌나는 향수 추천해줘. 약간 플로럴한 느낌도 있었으면 좋겠어
97,가을에 맞는 코튼향인데 남자가 사용해도 괜찮을법한 코튼 향수 추천해줘
98,지속력이 좋지만 향이 너무 진하지 않고 플로럴 계열이면서 인공적이지 않고 산뜻한 느낌을 주는 향수를 추천해줘
99,"프롬프트 : 27세 한국인 남성이 사용할 예정이고, 이 사람은 키가 크고 체격이 큰 편이라서 부드러운 인상은 아니야. 또한 여름에 주로 사용할 예정이여서 시원한 분위기가 좋을 것 같아. 리뷰들을 고려해서 적합하고 대중적인 향수 3가지를 추천해."
100,우디향이나 머스크향 같은 묵직한 향을 좋아해. 가격대는 10만원 대의 냄새 지속시간이 긴 향수들 5가지 추천해줘.
101,"은은하고 깨끗한 냄새. 독하지 않아야 함. 자연물 냄새(풀, 꽃, 과즙)가 좋아용"
102,네
103,"데일리하게 뿌릴 수 있는 향수
근데 아침에 뿌리고 나가도 하루종일 유지되는거
계속 뿌리기 귀찮음"
104,음 나는 머스크는 싫어 그리고 장미향도 싫어 그리구 나는 데일리로 사계절 내내 쓰고 싶어 무난하게 호불호 없는 향수 추천해줘
105,"코코넛 향 나는거 추천해줘. 막 달달한 느낌도 아니고 무거운 느낌도 아닌거 같은데, 한번 뿌리면 8시간 이상은 유지되었으면 좋겠어. 바닐라나 막 패션 후르츠같은 완전 단 느낌도 아니야. 그냥 샴푸나 바디워시에서 코코넛 향 되어있는 그런 느낌의 향수를 원해."
106,주말 오후에 따뜻한 햇살을 받으며 침대 위에 누워있는 듯한 느낌의 향수 추천해줘
107,우디 머스크향인데 플로럴 살짝 들어가서 중성적이면서도 여성적인 향수 근데 또 다른 사람들이 흔하게 쓰는 향수가 아니어야 함 잔향도 길게 나야하고 향수 지속성이 길어야함 
108,"마냥 나이들어보이지 않지만 너무 대학생같지 않았으면 좋겠는데, 강한 플로럴 계열은 싫고, 차분한데 숲같은 느낌이 좋아. 근데 담백한 과일계열도 좀 들어갔으면 좋겠어. 중성적인 느낌이 좋아."
109,내 이미지와 내가 좋아하는 향이 매치가 안 될 때는 어떻게 원만하게 합의볼 수 있을까?
110,내 스타일과 어울리는 향수를 추천해줘
111,향수에 대해 아무것도 모르는 향수 초보자가 사용할만한 향수 뭐가 있을까? 추천해줘. 참고로 난 너무 쌘 향은 싫어해
112,섬유유연제 같은 인공적인 향이안나면서 뿌렸을때 어느정도 향이 느껴지는 허브계열 향이 나는 향수를 추천해줘
113,가을에 어울리는 우디 계열 향수 추천해줘
114,"시트러스, 우디, 프레시, 머스크"
115,나한테 어울리는 향수 찾아줘
116,"향수를 하나 사고 싶은데 추천해줘. 평소에 사용할 수 있는 데일리 향수를 원하기 때문에 향은 많이 강하지 않은, 일상에서 사용할 수 있는 코튼향 또는 플로럴 향이었으면 좋겠어. 그렇지만 지속력은 최소 1시간은 되었으면 좋겠고, 가격도 10만원은 넘기지 않았으면 하고, 작은 용량 패키지가 있는 상품을 원해."
117,여름에 잘 어울리는 향수는?
118,"최근에 공연장에서 나랑 비슷한 어떤 또래 사람이 지나갔는데, 향수 향이 무척 좋았어. 그래서 물어봤더니 크리드 - 어벤투스 향수를 사용한다고 했는데, 가격이 좀 많이 비싸. 혹시 이와 비슷한 계열의 향을 가지면서 동시에 가격이 상대적으로 저렴한 향수가 있는지 궁금해."
119,"너무 진하지 않으면서, 흔하지 않으면서, 유니크한 향수. "
120,네
121,"20~30대 남성이 일상용으로 사용하기 좋은 향수를 찾고 있어. 화이트머스크 및 비누 향이 나는 향수를 찾고 있는데, 향이 너무 강하거나 자극적이지 않았으면 좋겠어."
122,"플로럴 계열의 향을 좋아하고, 향이 너무 강하거나 무겁지 않았으면 좋겠어요. 은은하게 퍼지면서도 잔향이 오래 남아 금방 사라지지 않는 향을 원해요. 너무 흔하거나 뻔한 향보다는 은근히 분위기 있고 호감 가는 느낌이면 좋겠고, 무엇보다 지속력이 좋은 향수를 추천받고 싶어요."
123,향수 살건데 여름에 어울리는 시원한 느낌이지만 너무 가볍지는 않았으면 좋겠고 꽃향이나 코를 찌르는 향 대신 부드럽고 잔향 좋은 향수 3개 추천해줘
124,나랑 가장 잘 어울리는 향수가 궁금해
125,"내가 향수는 좋아하지만 코가 예민해서 인공적인 향이나 과한 향수 냄새를 싫어해. 그래서 지속력은 좋으면서 잔잔하고 청량하면서 달달한 향이 나는 향수를 추천해줘 꽃향도 좋아. 단, 우드,장미,머스크,복숭아 향은 싫어"
126,네
127,약간 나의 분위기랑 맞은 향은 뭘까
128,흔하지 않으면서도 여성스러운 향. 달달한 느낌보다는 우디한 계열. 성숙하면서도 20대 중반의 밝은 느낌을 담았으면 좋겠음. 지속력이 강하기를 바람.
129,묵직한데 아저씨같지는 않은 향수
130,"시원한 향, 남성용, 땀 흘려도 괜찮은 향수가 필요합니다. 어떤 종류가 있나요?"
131,산뜻하고 숲속에 온 거 같은 피톤치드 가득한 느낌이 나는 향을 원해. 향수 추천해줘
132,"첫 향은 달콤한데, 성숙하면서 좀 묵직한 꽃향의 향수"
133,"나는 머스크 계열 향을 좋아하고 무겁지 않고 가벼운데 잔향은 오래 남는 포근한 느낌이 좋아. 상큼한 향도 괜찮아. 
내 취향에 맞춰서 향수 추천해줘"
134,가볍고 향 맡으면 머리 안아픈 향을 추천해줘
135,냄새 좋은거
136,네.
137,내가 원하는 향수는 향이 너무 강하지 않았으면 좋겠어. 향이 강해서 머리가 아픈적이 있었거든. 그리고 빨래향 같이 자연스러운 향이 좋아서 그런 계열의 향이었으면 좋겠어. 
138,은은하게 나는 향수. 깔끔하고 정갈한 냄새가 났으면 좋겠음. 레몬향이나 과일향에 가까운 향.
139,예
140,"나는 딥티크 롬브르단로와 비슷하게 장미 향수가 좋은데, 롬브르단로의 물향과 흙 냄새가 나는게 좋아. 근데 이렇게 플로럴 + 물 의 향조를 가진 향수들은 너무 여리거나 플로럴에 치중되어 있어서 마음에 들지 않아. 내가 좋아할만한 향수가 있을까? 파우더리하거나 머스크 향은 좋아하지 않아. 또 마음에 들었던 비슷한 향조의 향수로는 아쿠아디파르마 매그놀리아와 로에베 수틸레사가 있어."
141,머스크를 베이스로 하는 대중적인 향수 3개 추천해줘
142,중성적인 향수면서 가볍지 않은 향수 추천해줘.
143,무화과 향이 나는 여성스러운향 추천해줘
144,"중성적인 향을 좋아하는데, 너무 플로럴한 향이 아닌 시원한 향. 조말론 씨솔트 향도 좋은데 조금 다른 향이면 좋겠어 아쿠아 디파르마 미르토도 있어"
145,숲향 나는 향수 추천좀
146,향이 강하지 않으면서 고급스럽고 오래 지속되는 향
147,"최근 내가 어른스러워보이고싶어서, 커리어우먼에게 날 것 같은 멋진 느낌으로 너무 달달하지 않은 향수 추천해줘. 근데 남자 전용으로 for men이라고 나온 향수는 제외해줘. 만약 확인 가능하다면 잔향이오래 남을 수 있는 바텀 노트로 구성된 제품은 별도로 체크해줘"
148,넴
149,은은하게 시원한 자연의 향이 느껴지면 좋겠어
150,여자가 되는 향수를 추천해줘.
151,"무화과처럼 달달한 향이 나지만, 너무 달달하기만 하진 않고 인위적이지 않은 은은한 향이 나는 향수 추천해줘."
152,"인위적이지 않고, 자연 베이스 향이었으면 좋겠음 .플로헐 계열을 좋아하고 너무 풀 냄새가 강하지 않았으면 함. 호불호가 크게 없되 흔하지는 않은 향."
153,넵
154,향긋하고 약간 달콤 그리고 시원한느낌 은은한 향
155,"가벼운 우디향과 머스크 향을 좋아해. 너무 무겁지 않고 산뜻한 느낌이면 좋을 것 같아. 가벼운 풀냄새도 괜찮고, 달달한 쪽은 바닐라 쪽도 좋아해"
156,평소에 은은하게 좋은향을 좋아해. 꽃 냄새인데 은은하게 좋은 냄새를 원해. 
