expression,representative_expression,expression_type,query_count,query_ids,example_query_text,source_relation,source_term,source_families,source_sections,evidence_note
시트러스,시트러스,DIRECT_SCENT,2,UQ0061|UQ0117,흰 꽃에서만 나는 맑은 향에 시트러스 향 섞인 거 갖고싶어.,MATCHED,시트러스,Aromatic Fougère|Citrus,0. 분류 기준 / Family 명칭|원천 문서 table line 1610|핵심 이미지,원천 문서 명시 표현/표기 변형과 정규화 일치
깨끗하고,깨끗한 물,SENSORY,2,UQ0112|UQ0193,깨끗하고 포근한 느낌의 향수 추천해줘,RELATED,깨끗한 물,Water,한국 후기식 생활 비유,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
좋은 냄새,좋은 냄새,SENSORY,2,UQ0027|UQ0031,지나갈 때 은은하게 좋은 냄새가 나는 정도의 향수를 찾고 있어.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
비누향,비누향,SOURCE,2,UQ0048|UQ0190,비누향이나 섬유유연제 향이 강하게 나는 향수 추천해줘,MATCHED,비누향,,원천 문서 table line 1611,원천 문서 명시 표현/표기 변형과 정규화 일치
20대 후반,20대,CONTEXT,2,UQ0033|UQ0121,내가 20대 후반인데 너무 어려 보이지 않으면서 세련된 향수를 찾고 있어.,RELATED,20대,,원천 문서 line 1692,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
30대,30대,CONTEXT,2,UQ0074|UQ0178,비 오는 날에 뿌릴 만한 30대 여성 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
겨울,겨울,CONTEXT,2,UQ0136|UQ0182,겨울용 남자 향수가 필요한데 남들이 잘 안쓰는 독특한걸 찾고 싶어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
봄,봄,CONTEXT,2,UQ0086|UQ0101,봄에 데일리로 쓰기 좋은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
소개팅,소개팅,CONTEXT,2,UQ0025|UQ0089,소개팅할 때 부담스럽지 않으면서 좋은 인상을 줄 수 있는 향수 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
향수 입문자,향수 입문자,CONTEXT,2,UQ0043|UQ0050,향수 입문자한테 괜찮은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
지속력 좋은,지속력·강도,PERFORMANCE,2,UQ0106|UQ0178,지속력 좋은 남자 향수 추천해줘,RELATED,지속력·강도,,원천 문서 line 1687,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
절 냄새,절 냄새,AVOID,2,UQ0011|UQ0153,나무 냄새 나는데 너무 절 냄새만 나면 안됨,MATCHED,절 냄새,Woods,호불호·부정 표현,원천 문서 명시 표현/표기 변형과 정규화 일치
괜찮은 향수,괜찮은 향수,OTHER,2,UQ0043|UQ0050,향수 입문자한테 괜찮은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
반응 좋은,반응 좋은,OTHER,2,UQ0045|UQ0090,헬스장에서 반응 좋은 향수 추천해줘,NOT_FOUND,,,,동형 표현의 문맥 오탐을 제외한 뒤 원천 근거를 찾지 못함
저렴한,저렴한,OTHER,2,UQ0070|UQ0198,10만원 이내에서 살 수 있는 저렴한 시원한 향기 나는 향수,NOT_FOUND,,,,동형 표현의 문맥 오탐을 제외한 뒤 원천 근거를 찾지 못함
가죽 향,가죽 같은,DIRECT_SCENT,1,UQ0139,은은한 스모키함이나 가죽 향이 감도는 시크한 느낌의 남자 향수 찾아줘,RELATED,가죽 같은,Dry Woods,핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
과일 향수,과일 사탕,DIRECT_SCENT,1,UQ0154,"과일 향수 추천하는데 복숭아, 체리는 빼고 해줘. 그거 싫어.",RELATED,과일 사탕|과일 샴푸,Fruity,한국 후기식 생활 비유,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
그린 계열,그린 계열,DIRECT_SCENT,1,UQ0168,바질 냄새 싫어. 바질 냄새 안나는 그린 계열 향수 추천 해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
그린 노트,그린 노트의 느낌,DIRECT_SCENT,1,UQ0137,그린 노트나 허브 향 나는 향수 추천해 줄래?,RELATED,그린 노트의 느낌,,원천 문서 table line 1526,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
머스크,머스크,DIRECT_SCENT,1,UQ0110,남자가 쓰기 좋은 머스크 향수 추천해줘,MATCHED,머스크,Soft Floral,원천 문서 table line 1610|핵심 이미지,원천 문서 명시 표현/표기 변형과 정규화 일치
무화과 노트,무화과,DIRECT_SCENT,1,UQ0189,무화과 노트 좋아하는데 그중에 제일 유명한 거 뭐야,RELATED,무화과,Fruity,핵심 이미지,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
베티버,베티버,DIRECT_SCENT,1,UQ0191,베티버가 뭔지 궁금한데 베티버 들어간 향수 추천해줘,MATCHED,베티버,Woods,핵심 이미지,원천 문서 명시 표현/표기 변형과 정규화 일치
스모키함,스모키한,DIRECT_SCENT,1,UQ0139,은은한 스모키함이나 가죽 향이 감도는 시크한 느낌의 남자 향수 찾아줘,RELATED,스모키한,Dry Woods|Woody Amber,불/연기 표현|원천 문서 line 1107|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
시트러스 계열,시트러스,DIRECT_SCENT,1,UQ0002,시트러스 계열의 깔끔한 향의 향수가 있어?,RELATED,시트러스,Aromatic Fougère|Citrus,0. 분류 기준 / Family 명칭|원천 문서 table line 1610|핵심 이미지,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
시프레 계열,시프레,DIRECT_SCENT,1,UQ0184,시프레 계열이 뭔지 모르겠는데 대표적인 거 몇 개만 알려주겠니?,RELATED,시프레,Mossy Woods,0. 분류 기준 / Family 명칭,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
아로마 계열,아로마 계열,DIRECT_SCENT,1,UQ0056,아로마 계열이면 다 좋은데 너무 진한 향 아니고 은은한 게 좋아,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
아이리스,아이리스,DIRECT_SCENT,1,UQ0187,아이리스가 세련됐다던데 입문용으로 괜찮은 거 있어?,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
약간 민트계열,약간 민트계열,DIRECT_SCENT,1,UQ0059,무조건 달콤한 향이 좋아 달콤한데 약간 민트계열도 있었으면 좋겠어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
오렌지 블로썸,오렌지,DIRECT_SCENT,1,UQ0199,오렌지 블로썸 위주인 향수는 어떤게 있을까?,RELATED,오렌지,Citrus,핵심 이미지,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
커피 노트,커피 노트,DIRECT_SCENT,1,UQ0181,커피 노트가 들어간 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
플로럴,플로럴,DIRECT_SCENT,1,UQ0180,플로럴인데 파우더리하지 않고 잔향 오래가는 거 추천해줘,MATCHED,플로럴,Floral,0. 분류 기준 / Family 명칭|원천 문서 table line 1610,원천 문서 명시 표현/표기 변형과 정규화 일치
플로럴 계열,플로럴,DIRECT_SCENT,1,UQ0055,플로럴 계열인데 톡 쏘는 거 추천 받고싶음,RELATED,플로럴,Floral,0. 분류 기준 / Family 명칭|원천 문서 table line 1610,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
허브 향,허브 같은,DIRECT_SCENT,1,UQ0137,그린 노트나 허브 향 나는 향수 추천해 줄래?,RELATED,허브 같은|허브 화분,Aromatic Fougère|Green,한국 후기식 생활 비유|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
화이트 머스크,머스크,DIRECT_SCENT,1,UQ0167,머스크말고 화이트 머스크 향이 나는 향수로 추천해줘.,RELATED,머스크,Soft Floral,원천 문서 table line 1610|핵심 이미지,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
가볍고,가벼운,SENSORY,1,UQ0078,가볍고 부드러운 느낌의 향수,RELATED,가벼운,Aromatic Fougère|Citrus|Floral|Water,깨끗한 워터 계열|네롤리/쁘띠그레인/오렌지블라섬 계열 — 신설|맑은 플로럴/뮤게/프리지아 쪽|모던 푸제르 쪽|핵심 형용사|확장 형용사·감각어,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
깨끗한,깨끗한,SENSORY,1,UQ0129,비누 향이나 세탁 건조기처럼 포근하고 깨끗한 향 나는 남자 향수 찾고 있어요,MATCHED,깨끗한,Aromatic Fougère|Floral|Fruity|Soft Floral|Water,깨끗한 워터 계열|맑은 플로럴/뮤게/프리지아 쪽|모던 푸제르 쪽|사과/배 계열|핵심 형용사,원천 문서 명시 표현/표기 변형과 정규화 일치
깨끗한 냄새,깨끗한,SENSORY,1,UQ0012,깨끗한 냄새 없나?,RELATED,깨끗한,Aromatic Fougère|Floral|Fruity|Soft Floral|Water,깨끗한 워터 계열|맑은 플로럴/뮤게/프리지아 쪽|모던 푸제르 쪽|사과/배 계열|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
깨끗함,깨끗한,SENSORY,1,UQ0162,호텔 침구 같은 깨끗함! 근데 세제 냄새처럼 인위적이면 싫어.,RELATED,깨끗한,Aromatic Fougère|Floral|Fruity|Soft Floral|Water,깨끗한 워터 계열|맑은 플로럴/뮤게/프리지아 쪽|모던 푸제르 쪽|사과/배 계열|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
달달하지만,너무 달달한,SENSORY,1,UQ0116,달달하지만 너무 느끼하지 않은 향수 추천해줘,RELATED,너무 달달한,Floral Amber,호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
달달한 꽃,달달한,SENSORY,1,UQ0101,봄에 쓰기 좋은 달달한 꽃 향수 사고싶어,RELATED,달달한,Amber|Fruity|Soft Amber,바닐라/통카 쪽으로 갈 때|베리 계열|원천 문서 line 1316|원천 문서 line 1320|원천 문서 line 1326|원천 문서 line 1330|원천 문서 line 1453|원천 문서 line 1457|원천 문서 line 1460|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
달콤한 향,달콤한,SENSORY,1,UQ0148,"향추 추천해줘. 달콤한 향은 좋은데, 바닐라는 싫어.",RELATED,달콤한,Amber|Floral Amber|Fruity,당도 표현|원천 문서 line 1325|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
맑고 산뜻,산뜻한,SENSORY,1,UQ0053,맑고 산뜻한거 갖고싶은데,RELATED,산뜻한,Citrus|Floral|Fruity|Green|Woods,맑은 플로럴/뮤게/프리지아 쪽|사과/배 계열|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
무거운 향,무거운,SENSORY,1,UQ0182,겨울용 무거운 향인데 사무실에서도 부담없이 사용할 수 있는 향수 알려줘,RELATED,무거운,Amber|Floral Amber,무게·밀도 표현|호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
무조건 달콤한 향,은근히 달콤한,SENSORY,1,UQ0059,무조건 달콤한 향이 좋아 달콤한데 약간 민트계열도 있었으면 좋겠어,RELATED,은근히 달콤한,Floral,확장 형용사·감각어,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
부드럽,부드럽게 감기는,SENSORY,1,UQ0032,향수 냄새가 강하면 머리가 아파서 최대한 부드럽고 편안한 향을 찾고 있어.,RELATED,부드럽게 감기는,Soft Floral,질감 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
산뜻,산뜻한,SENSORY,1,UQ0076,산뜻하면서 과일냄새 나는 향수 사고싶어,RELATED,산뜻한,Citrus|Floral|Fruity|Green|Woods,맑은 플로럴/뮤게/프리지아 쪽|사과/배 계열|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
산뜻한,산뜻한,SENSORY,1,UQ0083,귀엽고 산뜻한 20대 여자가 뿌리면 잘어울릴 향수 알려줘,MATCHED,산뜻한,Citrus|Floral|Fruity|Green|Woods,맑은 플로럴/뮤게/프리지아 쪽|사과/배 계열|핵심 형용사,원천 문서 명시 표현/표기 변형과 정규화 일치
세탁 건조기처럼 포근,포근한,SENSORY,1,UQ0129,비누 향이나 세탁 건조기처럼 포근하고 깨끗한 향 나는 남자 향수 찾고 있어요,RELATED,포근한,Amber|Floral Amber|Fruity|Soft Amber|Soft Floral|Woods,바닐라/통카 쪽으로 갈 때|복숭아/살구 계열|샌달우드 쪽|온도·무게 표현|원천 문서 line 1305|원천 문서 line 1325|원천 문서 table line 1612|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
시간이 지나면 포근,포근한,SENSORY,1,UQ0171,처음에는 상쾌한데 시간이 지나면 포근하게 남는 향수 추천해줘.,RELATED,포근한,Amber|Floral Amber|Fruity|Soft Amber|Soft Floral|Woods,바닐라/통카 쪽으로 갈 때|복숭아/살구 계열|샌달우드 쪽|온도·무게 표현|원천 문서 line 1305|원천 문서 line 1325|원천 문서 table line 1612|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
시원한,시원한,SENSORY,1,UQ0070,10만원 이내에서 살 수 있는 저렴한 시원한 향기 나는 향수,MATCHED,시원한,Aromatic Fougère|Citrus|Floral|Green|Water,깨끗한 워터 계열|맑은 플로럴/뮤게/프리지아 쪽|바다/마린 계열|핵심 형용사,원천 문서 명시 표현/표기 변형과 정규화 일치
시원한 향,시원한,SENSORY,1,UQ0149,"시원한 향은 좋은데, 남자 스킨 냄새는 진짜 별로야. 안 그런 거 있어?",RELATED,시원한,Aromatic Fougère|Citrus|Floral|Green|Water,깨끗한 워터 계열|맑은 플로럴/뮤게/프리지아 쪽|바다/마린 계열|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
시원한 향수,시원한,SENSORY,1,UQ0085,여름에 남자가 쓰기 좋은 시원한 향수 추천해줘,RELATED,시원한,Aromatic Fougère|Citrus|Floral|Green|Water,깨끗한 워터 계열|맑은 플로럴/뮤게/프리지아 쪽|바다/마린 계열|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
쨍한,쨍한,SENSORY,1,UQ0064,차가운데 쨍한 향수 추천,MATCHED,쨍한,Citrus,껍질 표현|레몬/라임 계열|핵심 형용사,원천 문서 명시 표현/표기 변형과 정규화 일치
차가운 금속같은 이미지,차가운,SENSORY,1,UQ0160,차가운 금속같은 이미지인데 향 자체는 너무 날카롭지 않았으면 좋겠어.,RELATED,차가운,Citrus|Water,깨끗한 워터 계열|레몬/라임 계열|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
차가운데,차가운,SENSORY,1,UQ0064,차가운데 쨍한 향수 추천,RELATED,차가운,Citrus|Water,깨끗한 워터 계열|레몬/라임 계열|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
처음에는 상쾌,상쾌한,SENSORY,1,UQ0171,처음에는 상쾌한데 시간이 지나면 포근하게 남는 향수 추천해줘.,RELATED,상쾌한,Citrus|Water,핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
첫 인상이 포근,포근한,SENSORY,1,UQ0073,첫 인상이 포근하고 릴랙싱한 향수를 가지고 싶어,RELATED,포근한,Amber|Floral Amber|Fruity|Soft Amber|Soft Floral|Woods,바닐라/통카 쪽으로 갈 때|복숭아/살구 계열|샌달우드 쪽|온도·무게 표현|원천 문서 line 1305|원천 문서 line 1325|원천 문서 table line 1612|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
청량,청량한,SENSORY,1,UQ0170,청량한데 남자 향수 냄새는 안났으면 좋겠음. 뭔말인지 알지?,RELATED,청량한,Aromatic Fougère|Citrus|Fruity|Green|Water,라벤더·허브 표현|레몬/라임 계열|베르가못/자몽 계열|사과/배 계열|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
톡 쏘는 거,톡 쏘는,SENSORY,1,UQ0055,플로럴 계열인데 톡 쏘는 거 추천 받고싶음,RELATED,톡 쏘는,Citrus|Fruity,껍질 표현|레몬/라임 계열|베리 계열|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
편안한 향,편안한,SENSORY,1,UQ0032,향수 냄새가 강하면 머리가 아파서 최대한 부드럽고 편안한 향을 찾고 있어.,RELATED,편안한,Woods,핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
포근한,포근한,SENSORY,1,UQ0112,깨끗하고 포근한 느낌의 향수 추천해줘,MATCHED,포근한,Amber|Floral Amber|Fruity|Soft Amber|Soft Floral|Woods,바닐라/통카 쪽으로 갈 때|복숭아/살구 계열|샌달우드 쪽|온도·무게 표현|원천 문서 line 1305|원천 문서 line 1325|원천 문서 table line 1612|핵심 형용사,원천 문서 명시 표현/표기 변형과 정규화 일치
폭닥,폭닥한,SENSORY,1,UQ0062,풍성한 복숭아!!! 나는 복숭아 밭한다!!! 할 정도로 복숭아 향나는 폭닥한거,RELATED,폭닥한,Soft Amber|Soft Floral,원천 문서 line 1305|원천 문서 line 1318|원천 문서 line 1326|원천 문서 line 1455|원천 문서 table line 1518|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
풍성한 복숭아,복숭아,SENSORY,1,UQ0062,풍성한 복숭아!!! 나는 복숭아 밭한다!!! 할 정도로 복숭아 향나는 폭닥한거,RELATED,복숭아|풍성한,Amber|Floral|Floral Amber|Fruity,무게·밀도 표현|핵심 이미지|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
화한거,화한거,SENSORY,1,UQ0052,향수 사보려고 하는데 난 달콤한 향기는 별로 안 좋아하거든 좀 화한거 사고싶어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
흰 꽃에서만 나는 맑은 향,흰 꽃에서만 나는 맑은 향,SENSORY,1,UQ0061,흰 꽃에서만 나는 맑은 향에 시트러스 향 섞인 거 갖고싶어.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
갓 깎은 잔디밭에 누워 있는,갓 깎은 잔디밭에 누워 있는,SCENE,1,UQ0183,갓 깎은 잔디밭에 누워 있는 느낌이 날 수 있는 향수가 있을까?,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
갓 세탁한 포근한 이불,포근한 이불,SCENE,1,UQ0099,갓 세탁한 포근한 이불 같은 느낌의 향수 가지고싶어,RELATED,포근한 이불,Soft Amber,한국 후기식 생활 비유,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
따뜻한 차 한 잔,따뜻한,SCENE,1,UQ0195,따뜻한 차 한 잔 마시면서 창밖에 비 오는 걸 보는 느낌의 향수 추천해줘.,RELATED,따뜻한,Amber|Floral|Floral Amber|Soft Amber|Woods|Woody Amber,바닐라/통카 쪽으로 갈 때|샌달우드 쪽|핵심 형용사|화이트 플로럴 쪽에서 자주 붙는 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
마사지숍,마사지숍,SCENE,1,UQ0097,마사지숍에서 날 것 같은 향수,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
물 대신 과즙을 마시고 자란 꽃,물 대신 과즙을 마시고 자란 꽃,SCENE,1,UQ0079,물 대신 과즙을 마시고 자란 꽃 같은 느낌과 최대한 비슷한 느낌의 향수,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
바다가 떠오르는,바다 냄새 나는,SCENE,1,UQ0132,바다가 떠오르는 여름용 남자 향수가 필요해,RELATED,바다 냄새 나는,Water,바다/마린 계열,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
바다에 누워서,바다 냄새 나는,SCENE,1,UQ0080,바다에 누워서 가만히 하늘을 올려다보고있는 듯한 느낌의 향수,RELATED,바다 냄새 나는,Water,바다/마린 계열,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
비 오는 숲,비 오는 숲,SCENE,1,UQ0159,비 오는 숲 같은데 흙냄새보다는 젖은 나무 냄새가 강했으면 좋겠어.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
비가 온 뒤,비가 온 뒤,SCENE,1,UQ0001,비가 온 뒤의 숲같은 향을 찾고 있어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
새벽 바닷가,새벽 바닷가,SCENE,1,UQ0158,새벽 바닷가 같은 느낌인데 소금 냄새가 너무 강하진 않았으면 좋겠어.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
샤워하고 나온 것 같은,샤워하고 나온 것 같은,SCENE,1,UQ0113,샤워하고 나온 것 같은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
숲,숲,SCENE,1,UQ0001,비가 온 뒤의 숲같은 향을 찾고 있어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
오래된 목조 도서관,오래된 냄새,SCENE,1,UQ0172,오래된 목조 도서관에 들어갔을 때 나는 냄새 같은 향수가 있을까?,RELATED,오래된 냄새,Mossy Woods,호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
오래된 헌책방 냄새,오래된 냄새,SCENE,1,UQ0186,오래된 헌책방 냄새 같은 향수 있어?,RELATED,오래된 냄새,Mossy Woods,호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
이슬을 머금은 장미,이슬을 머금은 장미,SCENE,1,UQ0072,이슬을 머금은 장미같은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
장마철,장마철,SCENE,1,UQ0068,장마철 호수에 떠있는 연꽃같은 느낌 원해,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
창밖에 비 오는 걸 보는,창밖에 비 오는 걸 보는,SCENE,1,UQ0195,따뜻한 차 한 잔 마시면서 창밖에 비 오는 걸 보는 느낌의 향수 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
포근한 니트,포근한,SCENE,1,UQ0194,포근한 니트 같은 느낌인데 달달하지 않은 향수 있을까?,RELATED,포근한,Amber|Floral Amber|Fruity|Soft Amber|Soft Floral|Woods,바닐라/통카 쪽으로 갈 때|복숭아/살구 계열|샌달우드 쪽|온도·무게 표현|원천 문서 line 1305|원천 문서 line 1325|원천 문서 table line 1612|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
