term,candidate_term,note_type,source_org,source_title,source_url,source_type,evidence_type,evidence_summary,supports_relation,retrieved_at,version
Black Currant,Blackcurrant,,IFF,LMR Compendium,https://www.iff.com/scent/lmr-compendium/,OFFICIAL_WEB,NATURAL_INGREDIENT_FAMILY,"IFF lists multiple Blackcurrant Bud natural materials from Ribes nigrum, supporting a concept-to-material-family distinction.",SAME_CONCEPT,2026-09-01,v0.2
White Musk,Musk-Like,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,PRIMARY_DESCRIPTOR_DEFINITION,IFRA defines Musk-Like broadly and applies it as the primary descriptor to 62 diverse ingredient rows with varied secondary facets.,FAMILY,2026-09-01,v0.2
White Musk,Musk-Like,,IFF,Edenolide,https://www.iff.com/scent/ingredients-compendium/edenolide/,OFFICIAL_WEB,OLFACTIVE_PROFILE,"IFF describes Edenolide as a powdery, creamy, warm white musk and says it contributes soft musk qualities, supporting White Musk as a specific musk profile rather than the whole class.",FAMILY,2026-09-01,v0.2
Oud,Agarwood,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 5 Agarwood oil/extract variants across 3 CAS values, all with Woody, Animal Like and Smoky descriptors.",SAME_CONCEPT,2026-09-01,v0.2
Oud,Agarwood,,Givaudan,Agarwood Oil Thailand,https://www.givaudan.com/fragrance-beauty/fragrance-ingredients-business/natural-ingredients/agarwood-oil-thailand,OFFICIAL_WEB,OFFICIAL_PRODUCT_CONTEXT,"Givaudan's Agarwood Oil page explains Aquilaria resin as agarwood and uses oud for the prized perfumery concept on that same material page; this supports term-level equivalence, not identity with one oil.",SAME_CONCEPT,2026-09-01,v0.2
Cedar,Cedarwood,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,IFRA contains 19 Cedarwood principal-name variants across 10 CAS values and 48 Cedarwood descriptor rows.,FAMILY,2026-09-01,v0.2
Cedar,Cedarwood,,Givaudan,Cedarwood Virginia Oil USA,https://www.givaudan.com/fragrance-beauty/fragrance-ingredients-business/natural-ingredients/cedarwood-virginia-oil-usa,OFFICIAL_WEB,NATURAL_INGREDIENT_VARIANT,"Givaudan identifies Virginia cedarwood oil as Juniperus virginiana, CAS 8000-27-9, with a woody, spicy and dry profile.",FAMILY,2026-09-01,v0.2
Cedar,Cedarwood,,IFF,Cedarwood Oil Extra,https://www.iff.com/scent/ingredients-compendium/cedarwood-oil-extra/,OFFICIAL_WEB,NATURAL_INGREDIENT_VARIANT,"IFF identifies Cedarwood Oil Extra as Cupressus funebris wood oil with distinct CAS values and a cedarwood, balsamic-sweet description.",FAMILY,2026-09-01,v0.2
Cedar,Cedarwood,,IFF,LMR Compendium,https://www.iff.com/scent/lmr-compendium/,OFFICIAL_WEB,NATURAL_INGREDIENT_VARIANT,"IFF separately lists Cedarwood Oil Atlas from Cedrus atlantica, demonstrating another botanical cedarwood material under the woody family.",FAMILY,2026-09-01,v0.2
Musk,Musk-Like,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_CANONICALIZATION,"IFRA's Musk-Like entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: These materials belong to an important fragrance note – while they are not obtained from animals, they are created to have an animal-like quality, often powdery and sometimes warm and sweet.",SAME_CONCEPT,2026-09-01,v0.2
Jasmine,Jasmine absolute | Jasmine CO2 extract | Jasmine concrete | Jasmine concrete (waxes twice extracted) | Jasmine oil,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 5 directly retrieved material-form candidate(s) for the note base, including: Jasmine absolute, Jasmine CO2 extract, Jasmine concrete, Jasmine concrete (waxes twice extracted), Jasmine oil. This supports FAMILY only.",FAMILY,2026-09-01,v0.2
Tonka Bean,Tonka bean absolute | Tonka bean extract | Tonka bean resinoid | Tonka bean tincture,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 4 directly retrieved material-form candidate(s) for the note base, including: Tonka bean absolute, Tonka bean extract, Tonka bean resinoid, Tonka bean tincture. This supports FAMILY only.",FAMILY,2026-09-01,v0.2
Mandarin Orange,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Mandarin Orange'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Orange Blossom,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Orange Blossom'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Leather,Leathery,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_RELATION,"IFRA uses 'Leathery' as a descriptor on 34 ingredient rows, but does not state that 'Leather' is an official synonym or identical note concept.",RELATED,2026-09-01,v0.2
Cardamom,Cardamom seed absolute | Cardamom seed CO2 extract | Cardamom seed distillate | Cardamom seed extract | Cardamom seed oil,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 5 directly retrieved material-form candidate(s) for the note base, including: Cardamom seed absolute, Cardamom seed CO2 extract, Cardamom seed distillate, Cardamom seed extract, Cardamom seed oil. This supports FAMILY only.",FAMILY,2026-09-01,v0.2
Pink Pepper,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Pink Pepper'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Oakmoss,Oakmoss absolute | Oakmoss absolute (low atranol & chloratranol) | Oakmoss extract,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 3 directly retrieved material-form candidate(s) for the note base, including: Oakmoss absolute, Oakmoss absolute (low atranol & chloratranol), Oakmoss extract. This supports FAMILY only.",FAMILY,2026-09-01,v0.2
Lily-of-the-Valley,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Lily-of-the-Valley'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Ylang-Ylang,"Ylang ylang absolute | Ylang ylang oil | Ylang ylang oil (low para cresol methylether) | Ylang ylang oil extra | Ylang ylang oil I | Ylang ylang oil II | Ylang ylang oil III | Ylang ylang oil, rectified",,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 8 directly retrieved material-form candidate(s) for the note base, including: Ylang ylang absolute, Ylang ylang oil, Ylang ylang oil (low para cresol methylether), Ylang ylang oil extra, Ylang ylang oil I. This supports FAMILY only.",FAMILY,2026-09-01,v0.2
Ambergris,Ambergris tincture,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 1 directly retrieved material-form candidate(s) for the note base, including: Ambergris tincture. This supports FAMILY only.",FAMILY,2026-09-01,v0.2
Agarwood (Oud),Agarwood,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,INHERITED_OFFICIAL_EQUIVALENCE,IFRA lists Agarwood oil/extract variants; Stage 18 official evidence already established Oud as the perfumery name paired with Agarwood. The combined label states both names.,SAME_CONCEPT,2026-09-01,v0.2
Freesia,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Freesia'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Black Pepper,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Black Pepper'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Mint,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Mint'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Pepper,"Pepper oil black, terpene-free",,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 1 directly retrieved material-form candidate(s) for the note base, including: Pepper oil black, terpene-free. This supports FAMILY only.",FAMILY,2026-09-01,v0.2
Moss,Mossy,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_RELATION,"IFRA uses 'Mossy' as a descriptor on 22 ingredient rows, but does not state that 'Moss' is an official synonym or identical note concept.",RELATED,2026-09-01,v0.2
Guaiac Wood,"Guaiac wood oil | Guaiac wood oil saponified | Guaiac wood oil, rectified",,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 3 directly retrieved material-form candidate(s) for the note base, including: Guaiac wood oil, Guaiac wood oil saponified, Guaiac wood oil, rectified. This supports FAMILY only.",FAMILY,2026-09-01,v0.2
Woodsy Notes,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Woodsy Notes'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Olibanum,"Olibanum absolute | Olibanum extract | Olibanum oil | Olibanum oil, rectified | Olibanum resinoid",,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 5 directly retrieved material-form candidate(s) for the note base, including: Olibanum absolute, Olibanum extract, Olibanum oil, Olibanum oil, rectified, Olibanum resinoid. This supports FAMILY only.",FAMILY,2026-09-01,v0.2
Lily of the Valley,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Lily of the Valley'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Ambroxan,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Ambroxan'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Aldehydes,Aldehydic,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_CANONICALIZATION,"IFRA's Aldehydic entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: Aldehydes vary: the more diluted they become, the greater the difference in smell. An overarching description is one of clean ironed linen. Aldehydes can be split into more specific profiles, such as citrus or ozonic. They are organic compounds found in natural oils (e.g. orange oil or rose oil) and are used at relatively low doses.",SAME_CONCEPT,2026-09-01,v0.2
Jasmine Sambac,Jasmine sambac absolute | Jasmine sambac CO2 extract | Jasmine sambac oil | Jasmine sambac tincture,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 4 directly retrieved material-form candidate(s) for the note base, including: Jasmine sambac absolute, Jasmine sambac CO2 extract, Jasmine sambac oil, Jasmine sambac tincture. This supports FAMILY only.",FAMILY,2026-09-01,v0.2
Spices,Spicy,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_CANONICALIZATION,"IFRA's Spicy entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: These ingredients belong to a broad spicy family, characterized by many spicy notes from cinnamon to other culinary spices such as pepper, nutmeg and clove. They sometimes have a sweet note and impart warm nuances to a complex fragrance.",SAME_CONCEPT,2026-09-01,v0.2
Violet Leaf,Violet leaf absolute | Violet leaf extract,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 2 directly retrieved material-form candidate(s) for the note base, including: Violet leaf absolute, Violet leaf extract. This supports FAMILY only.",FAMILY,2026-09-01,v0.2
Orchid,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Orchid'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Virginia Cedar,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Virginia Cedar'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Cashmere Wood,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Cashmere Wood'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Clary Sage,Clary sage absolute | Clary sage extract | Clary sage oil,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 3 directly retrieved material-form candidate(s) for the note base, including: Clary sage absolute, Clary sage extract, Clary sage oil. This supports FAMILY only.",FAMILY,2026-09-01,v0.2
Fruity Notes,Fruity,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_CANONICALIZATION,"IFRA's Fruity entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: Fruity notes belong to the non-citrus fruit family. This is a very large family that includes many fruit notes such as banana, apple and mango. Some fruit fragrance materials have smells that are not one fruit but multi-faceted, with a complex fruity character.",SAME_CONCEPT,2026-09-01,v0.2
Cashmeran,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Cashmeran'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Cloves,Clove,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_CANONICALIZATION,"IFRA applies the descriptor 'Clove' to 14 ingredient rows; the source term differs only by notes-label, plural, spacing, or hyphen form.",SAME_CONCEPT,2026-09-01,v0.2
White Flowers,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'White Flowers'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Spicy Notes,Spicy,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_CANONICALIZATION,"IFRA's Spicy entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: These ingredients belong to a broad spicy family, characterized by many spicy notes from cinnamon to other culinary spices such as pepper, nutmeg and clove. They sometimes have a sweet note and impart warm nuances to a complex fragrance.",SAME_CONCEPT,2026-09-01,v0.2
Sea Notes,Marine,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,DESCRIPTOR_RELATION,"IFRA uses 'Marine' as a descriptor on 23 ingredient rows, but does not state that 'Sea Notes' is an official synonym or identical note concept.",RELATED,2026-09-01,v0.2
Praline,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Praline'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Orris Root,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Orris Root'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Bulgarian Rose,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Bulgarian Rose'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Sugar,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Sugar'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Vanille,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Vanille'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
elemi,"Elemi absolute | Elemi CO2 extract | Elemi oil | ELEMI oil (low methyleugenol) | Elemi oil, rectified | Elemi resinoid",,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 6 directly retrieved material-form candidate(s) for the note base, including: Elemi absolute, Elemi CO2 extract, Elemi oil, ELEMI oil (low methyleugenol), Elemi oil, rectified. This supports FAMILY only.",FAMILY,2026-09-01,v0.2
Turkish Rose,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Turkish Rose'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Fig,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Fig'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Bitter Orange,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Bitter Orange'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Lotus,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Lotus'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Amberwood,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Amberwood'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Suede,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Suede'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Litchi,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Litchi'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
Green Apple,,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,NO_DIRECT_EQUIVALENCE,A conservative audit of IFRA principal names and descriptors found no exact official equivalence or verified material-family relation for 'Green Apple'; allowed official evidence is insufficient.,UNRESOLVED,2026-09-01,v0.2
