entry_id,expression,aliases,expression_type,target_field,candidate_type,candidate_name,rank,required,match_condition,rationale,evidence_tier,corpus_support,standardness,status,source_query_ids,source_type,verification_status,relation_type
kr.scene.hotel,호텔,호텔|호텔 어메니티|호텔 냄새|로비|어메니티,SCENE,NO_MAPPING,ACCORD,soapy,1,optional,,"팀 문서의 생활 비유에 '호텔 어메니티' 가 있다. 비누와 샴푸의 인상이 중심이다. [30] ai_summary 배수 1.29x. 해당군 1,163개 중 15개. 문턱 미달 → 필수에서 보조로 내렸다. [30] 필수 후보가 0개가 되어 spec §4.3 의 '단독 매핑 금지' 규칙을 충족하지 못한다. 근거가 더 생길 때까지 NO_MAPPING 으로 둔다. [39] 재계산(측정기록11) — 문턱 미달 (배수 1.29)",TEAM,1720.0,standard,candidate,,TEAM_DOC,BELOW_THRESHOLD,EVOKES
kr.scene.hotel,호텔,호텔|호텔 어메니티|호텔 냄새|로비|어메니티,SCENE,NO_MAPPING,ACCORD,white floral,2,optional,,호텔 어메니티에 흔한 흰 꽃 계열을 담은 보조 후보다. 출처 없이 고른 것이다. [30] ai_summary 배수 1.10x·14위. 문턱 미달 → 필수에서 보조로 내렸다. [30] 필수 후보가 0개가 되어 spec §4.3 의 '단독 매핑 금지' 규칙을 충족하지 못한다. 근거가 더 생길 때까지 NO_MAPPING 으로 둔다. [39] 배수 1.10 · 14위로 문턱 미달 [39] N4 판정 '약함' (배수 1.10 · 14위). 승격도 강등도 하지 않는다 (판정 기준 2번-2),LLM,39497.0,standard,candidate,,LLM_PROPOSAL,BELOW_THRESHOLD,EVOKES
kr.dial.sweet,달달,달달|달달한|달큰한|달콤한|달콤하고|캐러멜|캐러멜 같은|candy|달큰하게|달큰해|달콤하게|달콤해,SENSORY,STAGE2_BRIDGE,ACCORD,sweet,1,core,,달달하다는 미각 형용사가 후각으로 전이된 표현이며 sweet accord 이름과 뜻이 같다. 다만 sweet 단독으로는 코퍼스가 너무 넓어 순위가 나오지 않는다. [30] ai_summary 배수 1.26x·16위(순환)로 지지됨.,VERIFIED,60625.0,dialect,candidate,UQ0004|UQ0194,NAME_IDENTITY,CIRCULAR_UNTESTABLE,ASSOCIATED_WITH
kr.dial.sweet,달달,달달|달달한|달큰한|달콤한|달콤하고|캐러멜|캐러멜 같은|candy|달큰하게|달큰해|달콤하게|달콤해,SENSORY,STAGE2_BRIDGE,ACCORD,caramel,2,core,,단맛을 좁히기 위한 짝이다. vanilla 를 쓰면 결과가 너무 넓어 caramel 을 골랐다. 출처 없이 고른 것이므로 사람 검토가 필요하다. [30] ai_summary 배수 1.61x·1위로 지지됨. [39] N4 배수 1.61 · 1위로 지지. 사람 검토로 TEAM 승격 (판정 기준 2번-1),TEAM,4008.0,dialect,candidate,UQ0004|UQ0194,TEAM_JUDGMENT,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.nomap.fragrant,향긋한,향긋한|향긋하고|향긋함|향긋,SENSORY,NO_MAPPING,,,1,,,표준국어대사전 정의가 '은근히 향기로운 느낌이 있다' 로 묘사 내용이 없는 순수 평가어다. 어떤 향인지 지정하지 않으므로 accord 를 붙이지 않는다. DECISIONS.md N1 의 결정과 같다.,VERIFIED,,standard,active,,NO_MAPPING_DECISION,NOT_APPLICABLE,NOT_RELATED
kr.nomap.plain,무난한,무난한|무난하고|데일리한|부담없는|튀지 않는|부담 없는|부담없이|부담 없이|튀지않는|튀지 않고|튀지않고,OTHER,NO_MAPPING,,,1,,,팀 문서가 이 표현에 대해 '14개 패밀리 어디에도 없던 표현인데 질문 글 최빈어' 이며 '(매핑 근거 미확보)' 라고 직접 적어두었다. 문서의 판단을 그대로 따른다.,VERIFIED,,standard,active,,TEAM_DOC,NOT_APPLICABLE,NOT_RELATED
kr.nomap.luxurious,고급스러운,고급스러운|고급진|우아한|세련된|고급스러워|고급지고|고급지게|우아하게|우아하고|우아해,IMAGE,NO_MAPPING,,,1,,,팀 문서에 7번 나오는데 Soft Floral·Amber 등 서로 다른 계열에 흩어져 있다. 특정 향 방향을 지정하지 않는 이미지어이므로 accord 를 붙이지 않는다.,TEAM,,standard,active,UQ0115|UQ0193,TEAM_DOC,NOT_APPLICABLE,NOT_RELATED
kr.nomap.urban,도시적인,도시적인|도시적|모던한,IMAGE,NO_MAPPING,,,1,,,팀 문서의 성숙도·이미지 축에 속한 표현이다. 향의 내용이 아니라 인상을 말하므로 accord 를 붙이지 않는다.,TEAM,,standard,active,,TEAM_DOC,NOT_APPLICABLE,NOT_RELATED
kr.nomap.sexy,섹시한,섹시한|관능적인|퇴폐적인|Sexy,IMAGE,NO_MAPPING,,,1,,,"팀 문서에서 Amber·Woody Amber 계열 형용사로 나오지만, 파일럿 계획 §11 이 결과가 stereotype 으로 수렴하는 것을 중단 기준으로 두고 있다. 사람 판정을 받기 전에는 매핑하지 않는다.",TEAM,,standard,active,UQ0094,TEAM_DOC,NOT_APPLICABLE,NOT_RELATED
kr.nomap.natural,자연스러운,자연스러운|자연스럽게|내추럴한|자연스러워,SENSORY,NO_MAPPING,,,1,,,"팀 문서에서 두 역할로 쓰인다. 자연성 축에서는 '인공적인' 의 반대말이고, Woods 계열에서는 목재 형용사다. 두 역할이 달라 단일 방향을 지정할 수 없다. 문맥 분기 규칙을 정한 뒤 재검토한다.",TEAM,,standard,active,UQ0066,TEAM_DOC,NOT_APPLICABLE,NOT_RELATED
kr.image.white_flower,하얀 꽃,하얀 꽃|흰 꽃|하얀꽃|흰꽃|화이트 플라워|화이트플라워,SOURCE,STAGE2_BRIDGE,ACCORD,white floral,1,core,,팀 문서 Floral 장 핵심 이미지에 '화이트 플라워' 가 있고 생활 비유에 '하얀 꽃' 이 있다. 흰 꽃 인상의 중심 accord 다. 코퍼스 검증은 아직 하지 않았다,TEAM,39497.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
kr.image.white_flower,하얀 꽃,하얀 꽃|흰 꽃|하얀꽃|흰꽃|화이트 플라워|화이트플라워,SOURCE,STAGE2_BRIDGE,ACCORD,floral,2,core,,"white floral 을 단독으로 쓸 수 없으므로 짝이 되는 후보다 (spec §4.3 규칙 ①). 코퍼스에서 white floral 향수의 46.1% 가 floral 을 함께 갖는다 (배수 1.28, 함께 18,198개). 의미상 white floral 은 floral 의 하위 인상이다",TEAM,46586.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
kr.source.wood,나무,고목|나무|목재|백단향|숲|연필 깎은|연필깎은|연필심|우디|우디한|톱밥|편백,SOURCE,STAGE2_BRIDGE,ACCORD,woody,1,core,,팀 문서 Woods 장 핵심 형용사에 '나무 같은'·'우디한' 이 있고 목재 질감 표현에 '연필심 같은'·'톱밥 같은'·'목재 가구 같은' 이 있다. 직역 대응이라 추론 단계가 없다,TEAM,81432.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
kr.source.skin_powder,로션 같은,로션 같은|로션같은|베이비 파우더|베이비파우더|분가루|살 냄새|살냄새|아기분|코튼 같은|코튼같은,SOURCE,STAGE2_BRIDGE,ACCORD,musky,1,core,,팀 문서 Soft Floral 장 '머스크/아이리스가 강할 때' 절에 '분내 나는'·'살냄새 같은'·'아기분 같은'·'로션 같은'·'코튼 같은' 이 있다,TEAM,41154.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
kr.source.skin_powder,로션 같은,로션 같은|로션같은|베이비 파우더|베이비파우더|분가루|살 냄새|살냄새|아기분|코튼 같은|코튼같은,SOURCE,STAGE2_BRIDGE,ACCORD,powdery,2,core,,짝 accord (spec §4.3 규칙 ①). 측정기록 2번 — musky 보유 향수의 70.9% 가 powdery 를 함께 갖는다. 같은 절이 아이리스(분내)를 함께 다루므로 의미도 맞는다. soapy 를 쓰지 않은 이유는 musky∩soapy 가 400개뿐이라 너무 좁기 때문이다,TEAM,62885.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
kr.sens.tangy,상큼한,상큼|새콤|톡 쏘는|과즙|껍질|톡쏘는,SOURCE,STAGE2_BRIDGE,ACCORD,citrus,1,core,,팀 문서 Citrus 장 핵심 형용사·과즙 표현·껍질 표현에서 가져왔다. 직역 대응이라 추론 단계가 없다. `사탕`·`오일리한`·`반짝이는` 은 시트러스를 가리키지 않아 뺐다,TEAM,59969.0,standard,candidate,,TEAM_DOC,UNMEASURED,EVOKES
