term,term_type,canonical_term,relation_type,parent_term,iframapped_term,decision,confidence,evidence_count,notes,version
Agarwood (Oud),NOTE,Agarwood,SAME_CONCEPT,,Agarwood,CONFIRMED_CANONICALIZATION,HIGH,2,OFFICIAL_PAIRED_NAMING: official evidence supports a canonical term-level equivalence.,v0.2
Freesia,NOTE,Freesia,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Black Pepper,NOTE,Black Pepper,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Mint,NOTE,Mint,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Pepper,NOTE,Pepper,FAMILY,,"Pepper oil black, terpene-free",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Moss,NOTE,Moss,RELATED,Mossy,Mossy,RELATED_DESCRIPTOR,MEDIUM,1,"RELATED_DESCRIPTOR_ONLY: IFRA contains a closely related descriptor, but official equivalence to the note concept is not explicit.",v0.2
Guaiac Wood,NOTE,Guaiac Wood,FAMILY,,"Guaiac wood oil | Guaiac wood oil saponified | Guaiac wood oil, rectified",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Woodsy Notes,NOTE,Woodsy Notes,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Olibanum,NOTE,Olibanum,FAMILY,,"Olibanum absolute | Olibanum extract | Olibanum oil | Olibanum oil, rectified | Olibanum resinoid",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Lily of the Valley,NOTE,Lily of the Valley,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Ambroxan,NOTE,Ambroxan,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Aldehydes,NOTE,Aldehydic,SAME_CONCEPT,,Aldehydic,CONFIRMED_CANONICALIZATION,HIGH,1,OFFICIAL_GRAMMATICAL_EQUIVALENCE: official evidence supports a canonical term-level equivalence.,v0.2
Jasmine Sambac,NOTE,Jasmine Sambac,FAMILY,,Jasmine sambac absolute | Jasmine sambac CO2 extract | Jasmine sambac oil | Jasmine sambac tincture,MATERIAL_FAMILY_CANDIDATE,MEDIUM,2,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Spices,NOTE,Spicy,SAME_CONCEPT,,Spicy,CONFIRMED_CANONICALIZATION,HIGH,1,OFFICIAL_CATEGORY_EQUIVALENCE: official evidence supports a canonical term-level equivalence.,v0.2
Violet Leaf,NOTE,Violet Leaf,FAMILY,,Violet leaf absolute | Violet leaf extract,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Orchid,NOTE,Orchid,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Virginia Cedar,NOTE,Virginia Cedar,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Cashmere Wood,NOTE,Cashmere Wood,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Clary Sage,NOTE,Clary Sage,FAMILY,,Clary sage absolute | Clary sage extract | Clary sage oil,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Fruity Notes,NOTE,Fruity,SAME_CONCEPT,,Fruity,CONFIRMED_CANONICALIZATION,HIGH,1,NOTES_SUFFIX_DESCRIPTOR: official evidence supports a canonical term-level equivalence.,v0.2
Cashmeran,NOTE,Cashmeran,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Cloves,NOTE,Clove,SAME_CONCEPT,,Clove,CONFIRMED_CANONICALIZATION,HIGH,1,PLURAL_DESCRIPTOR: official evidence supports a canonical term-level equivalence.,v0.2
White Flowers,NOTE,White Flowers,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Spicy Notes,NOTE,Spicy,SAME_CONCEPT,,Spicy,CONFIRMED_CANONICALIZATION,HIGH,1,NOTES_SUFFIX_DESCRIPTOR: official evidence supports a canonical term-level equivalence.,v0.2
Sea Notes,NOTE,Sea Notes,RELATED,Marine,Marine,RELATED_DESCRIPTOR,MEDIUM,1,"RELATED_DESCRIPTOR_ONLY: IFRA contains a closely related descriptor, but official equivalence to the note concept is not explicit.",v0.2
Praline,NOTE,Praline,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Orris Root,NOTE,Orris Root,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Bulgarian Rose,NOTE,Bulgarian Rose,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Sugar,NOTE,Sugar,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Vanille,NOTE,Vanille,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
elemi,NOTE,elemi,FAMILY,,"Elemi absolute | Elemi CO2 extract | Elemi oil | ELEMI oil (low methyleugenol) | Elemi oil, rectified | Elemi resinoid",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Turkish Rose,NOTE,Turkish Rose,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Fig,NOTE,Fig,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Bitter Orange,NOTE,Bitter Orange,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Lotus,NOTE,Lotus,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Amberwood,NOTE,Amberwood,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Suede,NOTE,Suede,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Litchi,NOTE,Litchi,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Green Apple,NOTE,Green Apple,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Milk,NOTE,Milk,RELATED,Milky,Milky,RELATED_DESCRIPTOR,MEDIUM,1,"RELATED_DESCRIPTOR_ONLY: IFRA contains a closely related descriptor, but official equivalence to the note concept is not explicit.",v0.2
Damask Rose,NOTE,Damask Rose,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Powdery Notes,NOTE,Powdery,SAME_CONCEPT,,Powdery,CONFIRMED_CANONICALIZATION,HIGH,1,NOTES_SUFFIX_DESCRIPTOR: official evidence supports a canonical term-level equivalence.,v0.2
Frankincense,NOTE,Frankincense,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Ylang Ylang,NOTE,Ylang Ylang,FAMILY,,"Ylang ylang absolute | Ylang ylang oil | Ylang ylang oil (low para cresol methylether) | Ylang ylang oil extra | Ylang ylang oil I | Ylang ylang oil II | Ylang ylang oil III | Ylang ylang oil, rectified",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Red Berries,NOTE,Red Berries,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Styrax,NOTE,Styrax,FAMILY,,"Styrax absolute | Styrax absolute (low sytrene) | Styrax absolute, Honduras | Styrax distillate | Styrax essence pyrogenated | Styrax extract | Styrax oil | Styrax oil, Honduras",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Lilac,NOTE,Lilac,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Madagascar Vanilla,NOTE,Madagascar Vanilla,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Birch,NOTE,Birch,FAMILY,,"Birch tar oil, rectified",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"STAGE17_MATERIAL_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Blackberry,NOTE,Blackberry,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Anise,NOTE,Anise,FAMILY,,Anise seed oil,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"STAGE17_MATERIAL_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Civet,NOTE,Civet,FAMILY,,Civet absolute | Civet tincture,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Amalfi Lemon,NOTE,Amalfi Lemon,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Green Tea,NOTE,Green Tea,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Juniper Berries,NOTE,Juniper Berries,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Cacao,NOTE,Cacao,FAMILY,,Cacao absolute | Cacao extract | Cacao oil,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Blood Orange,NOTE,Blood Orange,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Agarwood,NOTE,Agarwood,FAMILY,,"Agarwood extract | Agarwood extract, Vietnamese | Agarwood oil | Agarwood oil, Indonesia | Agarwood oil, Vietnamese",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Palisander Rosewood,NOTE,Palisander Rosewood,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Smoke,NOTE,Smoky,SAME_CONCEPT,,Smoky,CONFIRMED_CANONICALIZATION,HIGH,1,OFFICIAL_GRAMMATICAL_EQUIVALENCE: official evidence supports a canonical term-level equivalence.,v0.2
Yuzu,NOTE,Yuzu,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Sweet Notes,NOTE,Sweet,SAME_CONCEPT,,Sweet,CONFIRMED_CANONICALIZATION,HIGH,1,NOTES_SUFFIX_DESCRIPTOR: official evidence supports a canonical term-level equivalence.,v0.2
Haitian Vetiver,NOTE,Haitian Vetiver,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Cypriol Oil or Nagarmotha,NOTE,Cypriol Oil or Nagarmotha,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Ambrette (Musk Mallow),NOTE,Ambrette (Musk Mallow),UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Water Lily,NOTE,Water Lily,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Green Leaves,NOTE,Green Leaves,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Ozonic notes,NOTE,Ozonic,SAME_CONCEPT,,Ozonic,CONFIRMED_CANONICALIZATION,HIGH,1,NOTES_SUFFIX_DESCRIPTOR: official evidence supports a canonical term-level equivalence.,v0.2
Bourbon Vanilla,NOTE,Bourbon Vanilla,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Castoreum,NOTE,Castoreum,FAMILY,,Castoreum absolute | Castoreum concrete | Castoreum extract | Castoreum resinoid | Castoreum tincture,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Ambrette,NOTE,Ambrette,FAMILY,,Ambrette tincture,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Red Apple,NOTE,Red Apple,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Calabrian bergamot,NOTE,Calabrian bergamot,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
oak moss,NOTE,oak moss,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Opoponax,NOTE,Opoponax,FAMILY,,Opoponax absolute | Opoponax CO2 extract | Opoponax extract | Opoponax oil | Opoponax resinoid,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Peru Balsam,NOTE,Peru Balsam,FAMILY,,Peru balsam distillate,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Watery Notes,NOTE,Watery,SAME_CONCEPT,,Watery,CONFIRMED_CANONICALIZATION,HIGH,1,NOTES_SUFFIX_DESCRIPTOR: official evidence supports a canonical term-level equivalence.,v0.2
Water Notes,NOTE,Water Notes,RELATED,Watery,Watery,RELATED_DESCRIPTOR,MEDIUM,1,"RELATED_DESCRIPTOR_ONLY: IFRA contains a closely related descriptor, but official equivalence to the note concept is not explicit.",v0.2
Herbal Notes,NOTE,Herbal,SAME_CONCEPT,,Herbal,CONFIRMED_CANONICALIZATION,HIGH,1,NOTES_SUFFIX_DESCRIPTOR: official evidence supports a canonical term-level equivalence.,v0.2
Star Anise,NOTE,Star Anise,FAMILY,,Star anise CO2 extract | Star anise extract | Star anise oil | Star anise oil terpeneless | Star anise oil terpenes,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Resins,NOTE,Resins,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Hazelnut,NOTE,Hazelnut,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Salt,NOTE,Salt,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Red Fruits,NOTE,Red Fruits,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Black Tea,NOTE,Black Tea,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Davana,NOTE,Davana,FAMILY,,Davana oil,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Tolu Balsam,NOTE,Tolu Balsam,FAMILY,,"Tolu, balsam, extract | Tolu, balsam, resinoid",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Immortelle,NOTE,Immortelle,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Whipped Cream,NOTE,Whipped Cream,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Angelica,NOTE,Angelica,FAMILY,,Angelica root oil | Angelica seed absolute | Angelica seed extract | Angelica seed oil,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"STAGE17_MATERIAL_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
African Orange Flower,NOTE,African Orange Flower,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Pomegranate,NOTE,Pomegranate,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Fir,NOTE,Fir,FAMILY,,Fir absolute,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Citron,NOTE,Citron,FAMILY,,"Citron oil | Citron oil, rectified",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Sicilian Lemon,NOTE,Sicilian Lemon,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Grass,NOTE,Grass,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Fruits,NOTE,Fruits,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Cognac,NOTE,Cognac,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Atlas Cedar,NOTE,Atlas Cedar,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Papyrus,NOTE,Papyrus,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Marshmallow,NOTE,Marshmallow,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Flowers,NOTE,Flowers,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Sea water,NOTE,Sea water,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Brazilian Rosewood,NOTE,Brazilian Rosewood,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
White Amber,NOTE,White Amber,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Pink Grapefruit,NOTE,Pink Grapefruit,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Sweet Orange,NOTE,Sweet Orange,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
