accord,perfume_share,perfume_count,ifra_term,ifra_level,proposed_family,proposed_family_ko,family_basis,rationale,review_required,alt_families,review_reason,human_decision,human_family,human_note
leather,0.0819,10809,,,WOODY,우디,WHEEL,휠 Dry Woods 가 가죽 노트를 포함,True,AMBER,휠 Dry Woods 가 가죽을 포함하지만 상업 분류는 Amber 쪽이 많다,,,
aquatic,0.0672,8872,,,AQUATIC,아쿠아틱,WHEEL,휠 Water,False,,,,,
herbal,0.0652,8607,Herbal,PRIMARY,GREEN,그린·아로마틱,WHEEL,IFRA PRIMARY Herbal,False,,,,,
lavender,0.0632,8336,Lavender,SECONDARY,GREEN,그린·아로마틱,WHEEL,IFRA SECONDARY Lavender. 휠 Aromatic Fougere 대표 원료,False,,,,,
oud,0.0629,8298,Agarwood,ALIAS_CANDIDATE,WOODY,우디,WHEEL,IFRA alias 후보 Agarwood. 목질,False,,,,,
violet,0.0577,7614,Violet,SECONDARY,FLORAL,플로럴,WHEEL,IFRA SECONDARY Violet,False,,,,,
iris,0.0565,7451,Iris,SECONDARY,FLORAL,플로럴,WHEEL,IFRA SECONDARY Iris,True,MUSK,식물학적으로는 꽃이지만 향 인상은 파우더리,,,
smoky,0.0561,7407,Smoky,PRIMARY,WOODY,우디,WHEEL,IFRA PRIMARY Smoky. 휠 Dry Woods 축,True,AMBER,Dry Woods 축과 인센스(Amber) 축 양쪽에 걸린다,,,
lactonic,0.0532,7015,Lactonic,SECONDARY,GOURMAND,구르망,IFRA,IFRA SECONDARY Lactonic. 우유·크림 인상,True,FLORAL,우유·크림 인상이지만 흰꽃의 락톤에서도 나온다,,,
yellow floral,0.053,6986,,,FLORAL,플로럴,WHEEL,노란꽃 계열. 휠 Floral 하위,False,,,,,
tropical,0.0494,6512,,,FRUITY,프루티,WHEEL,열대 과일 인상,False,,,,,
mossy,0.0468,6173,Mossy,SECONDARY,WOODY,우디,WHEEL,IFRA SECONDARY Mossy. 휠 Mossy Woods 직결,False,,,,,
ozonic,0.0438,5777,Ozonic,PRIMARY,AQUATIC,아쿠아틱,WHEEL,IFRA PRIMARY Ozonic. 휠 Water 축,False,,,,,
tobacco,0.0331,4372,Tobacco,SECONDARY,AMBER,앰버·스파이시,WHEEL,IFRA SECONDARY Tobacco. 휠 Amber 축,False,,,,,
marine,0.0328,4326,Marine,PRIMARY,AQUATIC,아쿠아틱,WHEEL,IFRA PRIMARY Marine. 휠 Water,False,,,,,
cinnamon,0.0323,4259,Cinnamon,SECONDARY,AMBER,앰버·스파이시,WHEEL,IFRA SECONDARY Cinnamon,False,,,,,
caramel,0.0304,4008,Caramel,SECONDARY,GOURMAND,구르망,IFRA,IFRA SECONDARY Caramel,False,,,,,
tuberose,0.0298,3931,Tuberose,SECONDARY,FLORAL,플로럴,WHEEL,IFRA SECONDARY Tuberose,False,,,,,
nutty,0.0274,3619,Nutty,SECONDARY,GOURMAND,구르망,IFRA,IFRA SECONDARY Nutty,False,,,,,
aldehydic,0.027,3556,Aldehydic,PRIMARY,MUSK,머스크·파우더리,IFRA,IFRA PRIMARY Aldehydic,True,CITRUS,IFRA secondary->primary 분포가 Green 38 / Floral 25 / Citrus 17% 로 흩어진다,,,
honey,0.0263,3467,Honey,PRIMARY,GOURMAND,구르망,IFRA,IFRA PRIMARY Honey,True,AMBER,단맛 축이지만 휠에서는 Amber 쪽 원료,,,
almond,0.0261,3438,Almond,SECONDARY,GOURMAND,구르망,IFRA,IFRA SECONDARY Almond,False,,,,,
coconut,0.0248,3269,Coconut,SECONDARY,GOURMAND,구르망,IFRA,IFRA SECONDARY Coconut,False,,,,,
salty,0.0191,2520,,,AQUATIC,아쿠아틱,WHEEL,해양 인상,False,,,,,
metallic,0.0169,2235,Metallic,SECONDARY,MUSK,머스크·파우더리,IFRA,IFRA SECONDARY Metallic. 무기질 인상,False,,,,,
cacao,0.0154,2035,,,GOURMAND,구르망,IFRA,카카오,False,,,,,
sour,0.0145,1912,Sour,SECONDARY,CITRUS,시트러스,WHEEL,IFRA SECONDARY Sour. 산미,False,,,,,
conifer,0.0139,1828,,,GREEN,그린·아로마틱,WHEEL,침엽수. 휠 Green / Aromatic 축,False,,,,,
coffee,0.0138,1815,Coffee,SECONDARY,GOURMAND,구르망,IFRA,IFRA SECONDARY Coffee,False,,,,,
cherry,0.0137,1803,Cherry,SECONDARY,FRUITY,프루티,WHEEL,IFRA SECONDARY Cherry,False,,,,,
soapy,0.013,1720,Soapy,SECONDARY,MUSK,머스크·파우더리,IFRA,IFRA SECONDARY Soapy. 청결·파우더리 축,False,,,,,
chocolate,0.0118,1554,Chocolate,SECONDARY,GOURMAND,구르망,IFRA,IFRA SECONDARY Chocolate,False,,,,,
anis,0.0107,1418,,,GREEN,그린·아로마틱,WHEEL,IFRA PRIMARY Anisic. 허브 축,False,,,,,
rum,0.0088,1166,Rum,SECONDARY,AMBER,앰버·스파이시,WHEEL,주정·수지 인상,False,,,,,
bitter,0.0078,1034,Bitter,SECONDARY,CITRUS,시트러스,WHEEL,IFRA SECONDARY Bitter. 감귤 껍질의 쓴맛,False,,,,,
whiskey,0.0061,808,,,AMBER,앰버·스파이시,WHEEL,주정 인상,False,,,,,
camphor,0.006,793,,,GREEN,그린·아로마틱,WHEEL,IFRA PRIMARY Camphoraceous,False,,,,,
mineral,0.0058,770,,,AQUATIC,아쿠아틱,WHEEL,무기질·바위 인상,False,,,,,
savory,0.005,654,,,GREEN,그린·아로마틱,WHEEL,허브·향신 축,False,,,,,
terpenic,0.0042,557,Terpenic,SECONDARY,CITRUS,시트러스,WHEEL,IFRA SECONDARY Terpenic. 감귤 껍질 테르펜,False,,,,,
cannabis,0.0029,388,,,GREEN,그린·아로마틱,WHEEL,허브 축,False,,,,,
beeswax,0.0026,349,,,AMBER,앰버·스파이시,WHEEL,밀랍. 수지 축,False,,,,,
Champagne,0.0024,311,,,FRUITY,프루티,WHEEL,발포 과실 인상,False,,,,,
wine,0.0018,236,Wine,SECONDARY,FRUITY,프루티,WHEEL,IFRA SECONDARY Wine,False,,,,,
sand,0.0016,215,,,AQUATIC,아쿠아틱,WHEEL,해변 인상,False,,,,,
alcohol,0.0012,154,,,GOURMAND,구르망,IFRA,주정,False,,,,,
gourmand,0.0011,151,Gourmand,PRIMARY,GOURMAND,구르망,IFRA,IFRA PRIMARY Gourmand 정확 일치,False,,,,,
oily,0.001,132,Oily,SECONDARY,GOURMAND,구르망,IFRA,IFRA SECONDARY Oily,False,,,,,
coca-cola,0.0007,90,,,FRUITY,프루티,WHEEL,감귤·향신 발포 인상,False,,,,,
vodka,0.0007,87,,,GOURMAND,구르망,IFRA,주정,False,,,,,
paper,0.0004,58,,,WOODY,우디,WHEEL,종이 = 목질 파생,False,,,,,
clay,0.0003,43,,,WOODY,우디,WHEEL,흙·점토,False,,,,,
plastic,0.0003,39,Plastic,SECONDARY,UNMAPPED,,NONE,향 계열로 볼 근거 없음,False,,,,,
vinyl,0.0003,37,,,UNMAPPED,,NONE,향 계열로 볼 근거 없음,False,,,,,
asphault,0.0002,29,,,UNMAPPED,,NONE,향 계열로 볼 근거 없음,False,,,,,
gasoline,0.0002,25,,,UNMAPPED,,NONE,향 계열로 볼 근거 없음,False,,,,,
rubber,0.0002,21,,,UNMAPPED,,NONE,향 계열로 볼 근거 없음,False,,,,,
milky,0.0002,20,Milky,SECONDARY,GOURMAND,구르망,IFRA,IFRA SECONDARY Milky,False,,,,,
industrial glue,0.0001,12,,,UNMAPPED,,NONE,향 계열로 볼 근거 없음,False,,,,,
hot iron,0.0001,10,,,UNMAPPED,,NONE,향 계열로 볼 근거 없음,False,,,,,
sake,0.0001,9,,,GOURMAND,구르망,IFRA,주정,False,,,,,
spice,0.0001,8,,,AMBER,앰버·스파이시,WHEEL,향신료 총칭,False,,,,,
bacon,0.0001,7,,,GOURMAND,구르망,IFRA,훈연 식품 인상. IFRA Food Like 축,False,,,,,
varnish,0.0,5,,,UNMAPPED,,NONE,향 계열로 볼 근거 없음,False,,,,,
Pear,0.0,4,Pear,SECONDARY,FRUITY,프루티,WHEEL,IFRA SECONDARY Pear,False,,,,,
meat,0.0,4,,,GOURMAND,구르망,IFRA,식품 인상. IFRA Food Like 축,False,,,,,
bbq,0.0,3,,,GOURMAND,구르망,IFRA,훈연 식품 인상,False,,,,,
tennis ball,0.0,3,,,UNMAPPED,,NONE,향 계열로 볼 근거 없음,False,,,,,
wet plaster,0.0,2,,,UNMAPPED,,NONE,향 계열로 볼 근거 없음,False,,,,,
brown scotch tape,0.0,1,,,UNMAPPED,,NONE,향 계열로 볼 근거 없음,False,,,,,
foresty,0.0,1,,,WOODY,우디,WHEEL,숲 인상,False,,,,,
